2 	  45.33	  -0.16	   3.02
	 -0.552	 -0.132	 -0.823
	  0.070	 -0.991	  0.112
	 -0.831	  0.004	  0.556

3 	  35.05	  -1.20	   2.55
	  0.130	  0.012	 -0.991
	 -0.142	  0.990	 -0.007
	  0.981	  0.142	  0.131

4 	  38.34	   6.08	   0.07
	  0.833	  0.553	  0.003
	 -0.410	  0.613	  0.675
	  0.372	 -0.564	  0.737

5 	  39.69	   8.10	  11.43
	 -0.528	 -0.296	 -0.796
	  0.021	  0.932	 -0.360
	  0.849	 -0.207	 -0.486

6 	  49.48	   6.63	  12.04
	  0.887	 -0.421	  0.186
	  0.258	  0.787	  0.560
	 -0.384	 -0.451	  0.806

7 	  38.18	  -6.94	  -0.51
	  0.730	 -0.681	 -0.052
	  0.445	  0.532	 -0.720
	  0.519	  0.503	  0.691

8 	  40.27	  -9.23	  10.53
	 -0.540	  0.251	 -0.803
	 -0.002	  0.954	  0.299
	  0.842	  0.162	 -0.515

9 	  50.29	  -5.77	  11.58
	  0.817	  0.542	  0.195
	 -0.467	  0.821	 -0.330
	 -0.341	  0.179	  0.923

2 	  45.33	  -0.14	   3.02
	 -0.563	 -0.134	 -0.816
	  0.072	 -0.991	  0.113
	 -0.823	  0.005	  0.567

3 	  35.05	  -1.20	   2.55
	  0.130	  0.013	 -0.991
	 -0.142	  0.990	 -0.006
	  0.981	  0.142	  0.131

4 	  38.32	   6.08	   0.07
	  0.833	  0.553	  0.004
	 -0.411	  0.613	  0.675
	  0.372	 -0.564	  0.737

5 	  39.67	   8.10	  11.44
	 -0.528	 -0.296	 -0.796
	  0.021	  0.933	 -0.360
	  0.849	 -0.206	 -0.486

6 	  49.46	   6.63	  12.06
	  0.888	 -0.421	  0.185
	  0.257	  0.786	  0.561
	 -0.384	 -0.453	  0.805

7 	  38.18	  -6.93	  -0.51
	  0.731	 -0.680	 -0.052
	  0.445	  0.532	 -0.720
	  0.518	  0.503	  0.691

8 	  40.27	  -9.23	  10.51
	 -0.540	  0.252	 -0.803
	 -0.001	  0.954	  0.300
	  0.842	  0.162	 -0.515

9 	  50.29	  -5.75	  11.58
	  0.817	  0.542	  0.195
	 -0.467	  0.821	 -0.330
	 -0.341	  0.179	  0.923

2 	  45.32	  -0.14	   3.01
	 -0.565	 -0.138	 -0.813
	  0.072	 -0.990	  0.119
	 -0.822	  0.009	  0.569

3 	  35.05	  -1.20	   2.55
	  0.130	  0.013	 -0.991
	 -0.142	  0.990	 -0.006
	  0.981	  0.142	  0.131

4 	  38.32	   6.08	   0.07
	  0.833	  0.553	  0.003
	 -0.410	  0.613	  0.675
	  0.372	 -0.564	  0.737

5 	  39.67	   8.12	  11.44
	 -0.528	 -0.296	 -0.796
	  0.021	  0.933	 -0.360
	  0.849	 -0.207	 -0.485

6 	  49.48	   6.61	  12.06
	  0.888	 -0.421	  0.186
	  0.258	  0.787	  0.560
	 -0.385	 -0.451	  0.805

7 	  38.18	  -6.93	  -0.51
	  0.731	 -0.680	 -0.053
	  0.444	  0.533	 -0.720
	  0.518	  0.503	  0.692

8 	  40.27	  -9.21	  10.53
	 -0.540	  0.251	 -0.803
	 -0.002	  0.954	  0.299
	  0.842	  0.163	 -0.515

9 	  50.29	  -5.77	  11.58
	  0.817	  0.542	  0.195
	 -0.467	  0.821	 -0.330
	 -0.342	  0.178	  0.923

2 	  45.35	  -0.19	   3.01
	 -0.556	 -0.144	 -0.819
	  0.063	 -0.989	  0.131
	 -0.829	  0.021	  0.558

3 	  35.05	  -1.20	   2.55
	  0.132	  0.010	 -0.991
	 -0.144	  0.990	 -0.009
	  0.981	  0.143	  0.132

4 	  38.32	   6.08	   0.05
	  0.833	  0.553	  0.002
	 -0.410	  0.613	  0.676
	  0.373	 -0.564	  0.736

5 	  39.69	   8.12	  11.43
	 -0.528	 -0.297	 -0.796
	  0.022	  0.932	 -0.361
	  0.849	 -0.208	 -0.485

6 	  49.48	   6.61	  12.04
	  0.887	 -0.422	  0.187
	  0.259	  0.788	  0.558
	 -0.385	 -0.449	  0.806

7 	  38.18	  -6.93	  -0.51
	  0.731	 -0.680	 -0.054
	  0.444	  0.533	 -0.720
	  0.519	  0.502	  0.691

8 	  40.29	  -9.23	  10.53
	 -0.540	  0.250	 -0.803
	 -0.002	  0.954	  0.298
	  0.842	  0.162	 -0.515

9 	  50.29	  -5.77	  11.58
	  0.817	  0.542	  0.196
