2 	  33.13	  -8.26	  22.83
	  0.755	  0.654	 -0.046
	 -0.657	  0.753	 -0.039
	  0.011	  0.059	  0.998

3 	  43.54	  -1.44	  -1.18
	  0.567	  0.446	  0.692
	 -0.439	  0.874	 -0.207
	 -0.699	 -0.185	  0.690

4 	  36.51	   5.91	  -3.83
	  0.567	  0.821	  0.064
	 -0.456	  0.246	  0.855
	  0.687	 -0.514	  0.513

5 	  42.45	   9.90	   5.68
	  0.610	  0.182	  0.771
	 -0.670	 -0.403	  0.624
	  0.425	 -0.897	 -0.124

6 	  48.74	   1.67	   6.98
	  0.376	 -0.921	  0.101
	  0.440	  0.270	  0.856
	 -0.818	 -0.276	  0.505

7 	  37.25	  -8.63	  -4.22
	  0.746	 -0.634	 -0.203
	  0.298	  0.591	 -0.749
	  0.595	  0.499	  0.630

8 	  44.46	 -10.69	   4.73
	  0.751	  0.027	  0.660
	  0.653	 -0.175	 -0.736
	  0.094	  0.984	 -0.149

9 	  48.41	  -0.90	   3.16
	  0.019	  0.943	 -0.330
	 -0.671	 -0.233	 -0.704
	 -0.742	  0.234	  0.629

2 	  33.13	  -8.26	  22.85
	  0.755	  0.654	 -0.046
	 -0.657	  0.753	 -0.039
	  0.011	  0.059	  0.998

3 	  43.59	  -1.42	  -1.21
	  0.563	  0.447	  0.694
	 -0.441	  0.873	 -0.208
	 -0.701	 -0.188	  0.688

4 	  36.58	   5.92	  -3.88
	  0.567	  0.821	  0.064
	 -0.458	  0.248	  0.853
	  0.685	 -0.513	  0.516

5 	  42.47	   9.91	   5.64
	  0.606	  0.182	  0.774
	 -0.673	 -0.402	  0.621
	  0.425	 -0.897	 -0.122

6 	  48.76	   1.67	   6.98
	  0.377	 -0.920	  0.101
	  0.435	  0.269	  0.859
	 -0.820	 -0.278	  0.500

7 	  37.30	  -8.63	  -4.25
	  0.748	 -0.632	 -0.204
	  0.297	  0.593	 -0.749
	  0.594	  0.500	  0.630

8 	  44.53	 -10.67	   4.69
	  0.751	  0.030	  0.660
	  0.654	 -0.174	 -0.736
	  0.091	  0.984	 -0.150

9 	  48.45	  -0.88	   3.15
	  0.017	  0.944	 -0.330
	 -0.670	 -0.234	 -0.704
	 -0.742	  0.233	  0.628

2 	  33.13	  -8.24	  22.83
	  0.754	  0.655	 -0.046
	 -0.657	  0.752	 -0.039
	  0.011	  0.059	  0.998

3 	  43.65	  -1.39	  -1.25
	  0.563	  0.448	  0.694
	 -0.445	  0.872	 -0.204
	 -0.698	 -0.193	  0.689

4 	  36.58	   5.94	  -3.88
	  0.566	  0.821	  0.064
	 -0.457	  0.247	  0.854
	  0.686	 -0.513	  0.515

5 	  42.47	   9.93	   5.64
	  0.606	  0.181	  0.774
	 -0.672	 -0.404	  0.620
	  0.426	 -0.896	 -0.123

6 	  48.78	   1.71	   6.98
	  0.380	 -0.920	  0.099
	  0.432	  0.268	  0.861
	 -0.821	 -0.283	  0.496

7 	  37.32	  -8.63	  -4.31
