2 	  33.21	  -8.30	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.013	  0.049	  0.998

3 	  42.26	  -0.26	   1.39
	  0.613	 -0.239	  0.752
	  0.044	  0.962	  0.270
	 -0.789	 -0.133	  0.599

4 	  38.11	   6.36	  -0.18
	  0.600	  0.774	  0.204
	 -0.695	  0.376	  0.612
	  0.398	 -0.509	  0.763

5 	  37.25	  10.02	   9.46
	  0.114	  0.087	  0.990
	 -0.809	 -0.570	  0.142
	  0.577	 -0.817	  0.006

6 	  40.96	   9.81	  16.84
	  0.207	 -0.045	  0.977
	 -0.368	  0.922	  0.120
	 -0.907	 -0.384	  0.174

7 	  37.78	  -6.96	  -0.83
	  0.688	 -0.719	  0.096
	  0.610	  0.501	 -0.614
	  0.394	  0.481	  0.783

8 	  37.99	 -11.23	   7.89
	  0.099	 -0.257	  0.961
	  0.870	 -0.446	 -0.209
	  0.483	  0.857	  0.180

9 	  42.15	 -11.55	  15.87
	  0.299	 -0.023	  0.954
	  0.342	  0.936	 -0.084
	 -0.891	  0.351	  0.287

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.003
	 -0.239	  0.969	 -0.053
	 -0.014	  0.049	  0.998

3 	  42.28	  -0.26	   1.39
	  0.612	 -0.240	  0.753
	  0.044	  0.961	  0.271
	 -0.790	 -0.133	  0.599

4 	  38.11	   6.36	  -0.18
	  0.599	  0.774	  0.205
	 -0.696	  0.376	  0.612
	  0.397	 -0.510	  0.763

5 	  37.25	  10.02	   9.46
	  0.113	  0.086	  0.990
	 -0.808	 -0.571	  0.142
	  0.578	 -0.816	  0.005

6 	  40.96	   9.81	  16.86
	  0.206	 -0.045	  0.977
	 -0.369	  0.921	  0.120
	 -0.906	 -0.385	  0.173

7 	  37.79	  -6.96	  -0.83
	  0.688	 -0.719	  0.096
	  0.610	  0.501	 -0.613
	  0.394	  0.480	  0.783

8 	  38.00	 -11.20	   7.91
	  0.099	 -0.257	  0.961
	  0.872	 -0.443	 -0.208
	  0.479	  0.859	  0.181

9 	  42.15	 -11.55	  15.87
	  0.298	 -0.023	  0.954
	  0.341	  0.936	 -0.084
	 -0.892	  0.350	  0.286

2 	  33.21	  -8.30	  22.82
	  0.971	  0.239	  0.003
	 -0.240	  0.969	 -0.053
	 -0.014	  0.049	  0.998

3 	  42.28	  -0.25	   1.39
	  0.612	 -0.239	  0.753
	  0.042	  0.961	  0.271
	 -0.790	 -0.134	  0.598

4 	  38.11	   6.36	  -0.16
	  0.599	  0.774	  0.206
	 -0.696	  0.375	  0.612
	  0.397	 -0.510	  0.763

5 	  37.25	  10.02	   9.46
	  0.113	  0.085	  0.990
	 -0.808	 -0.572	  0.141
	  0.579	 -0.815	  0.005

6 	  40.94	   9.81	  16.86
	  0.206	 -0.045	  0.977
	 -0.370	  0.921	  0.120
	 -0.906	 -0.386	  0.173

7 	  37.79	  -6.96	  -0.83
	  0.688	 -0.719	  0.096
	  0.610	  0.502	 -0.613
	  0.393	  0.481	  0.783

8 	  38.00	 -11.21	   7.89
	  0.099	 -0.258	  0.961
	  0.875	 -0.438	 -0.208
	  0.474	  0.861	  0.183

9 	  42.17	 -11.55	  15.87
	  0.297	 -0.023	  0.954
	  0.340	  0.936	 -0.083
	 -0.892	  0.349	  0.285

2 	  33.19	  -8.30	  22.82
	  0.971	  0.238	  0.003
	 -0.239	  0.969	 -0.053
	 -0.014	  0.049	  0.998

3 	  42.28	  -0.26	   1.39
	  0.611	 -0.240	  0.754
	  0.042	  0.961	  0.272
	 -0.791	 -0.135	  0.597

4 	  38.11	   6.36	  -0.16
	  0.599	  0.774	  0.207
	 -0.697	  0.375	  0.611
	  0.397	 -0.510	  0.763

5 	  37.25	  10.02	   9.46
	  0.112	  0.085	  0.990
	 -0.808	 -0.573	  0.140
	  0.579	 -0.815	  0.005

6 	  40.94	   9.81	  16.86
	  0.206	 -0.045	  0.977
	 -0.370	  0.921	  0.120
	 -0.906	 -0.386	  0.173

7 	  37.81	  -6.94	  -0.83
	  0.689	 -0.718	  0.096
	  0.610	  0.503	 -0.612
	  0.391	  0.481	  0.784

8 	  38.04	 -11.21	   7.89
	  0.099	 -0.260	  0.960
	  0.876	 -0.435	 -0.208
	  0.472	  0.862	  0.185

9 	  42.17	 -11.53	  15.87
	  0.295	 -0.022	  0.955
	  0.338	  0.937	 -0.083
	 -0.894	  0.347	  0.284

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.003
	 -0.239	  0.969	 -0.053
	 -0.014	  0.049	  0.998

3 	  42.29	  -0.25	   1.39
	  0.611	 -0.239	  0.754
	  0.041	  0.961	  0.272
	 -0.791	 -0.136	  0.597

4 	  38.11	   6.38	  -0.16
	  0.598	  0.774	  0.207
	 -0.698	  0.374	  0.611
	  0.396	 -0.510	  0.763

5 	  37.27	  10.02	   9.46
	  0.113	  0.086	  0.990
	 -0.811	 -0.568	  0.141
	  0.575	 -0.818	  0.006

6 	  40.96	   9.81	  16.86
	  0.204	 -0.045	  0.978
	 -0.369	  0.922	  0.119
	 -0.907	 -0.385	  0.172

