2 	  33.05	  -6.89	  22.76
	  0.141	  0.989	 -0.033
	 -0.990	  0.142	  0.002
	  0.007	  0.032	  0.999

3 	  45.60	  -0.40	   1.09
	  0.536	  0.170	  0.827
	 -0.125	  0.984	 -0.122
	 -0.835	 -0.037	  0.548

4 	  41.66	   7.05	  -2.02
	  0.772	  0.614	  0.164
	 -0.601	  0.619	  0.506
	  0.210	 -0.490	  0.846

5 	  43.54	  10.02	  10.16
	  0.565	 -0.011	  0.825
	 -0.659	 -0.608	  0.443
	  0.498	 -0.793	 -0.350

6 	  51.63	   4.92	  11.99
	  0.716	 -0.671	  0.191
	  0.165	  0.423	  0.891
	 -0.683	 -0.607	  0.407

7 	  40.36	  -6.10	  -2.81
	  0.756	 -0.568	 -0.324
	  0.378	  0.783	 -0.493
	  0.535	  0.251	  0.807

8 	  41.99	 -10.07	   8.89
	  0.504	 -0.110	  0.856
	  0.487	 -0.783	 -0.386
	  0.714	  0.611	 -0.341

9 	  51.75	  -4.76	  11.72
	  0.707	  0.693	  0.137
	 -0.301	  0.464	 -0.834
	 -0.646	  0.548	  0.531

2 	  33.05	  -6.89	  22.76
	  0.141	  0.989	 -0.033
	 -0.990	  0.142	  0.002
	  0.007	  0.032	  0.999

3 	  45.54	  -0.40	   1.12
	  0.532	  0.172	  0.828
	 -0.126	  0.984	 -0.124
	 -0.837	 -0.038	  0.545

4 	  41.64	   7.05	  -2.00
	  0.771	  0.614	  0.165
	 -0.602	  0.618	  0.506
	  0.210	 -0.490	  0.846

5 	  43.54	  10.02	  10.18
	  0.566	 -0.011	  0.824
	 -0.659	 -0.607	  0.443
	  0.497	 -0.793	 -0.351

6 	  51.63	   4.92	  12.01
	  0.717	 -0.670	  0.190
	  0.165	  0.423	  0.891
	 -0.682	 -0.608	  0.407

7 	  40.34	  -6.10	  -2.81
	  0.756	 -0.569	 -0.323
	  0.379	  0.783	 -0.493
	  0.534	  0.250	  0.807

8 	  41.99	 -10.07	   8.89
	  0.505	 -0.110	  0.856
	  0.486	 -0.783	 -0.387
	  0.714	  0.610	 -0.342

9 	  51.73	  -4.75	  11.72
	  0.706	  0.694	  0.136
	 -0.302	  0.463	 -0.833
	 -0.646	  0.548	  0.532

2 	  33.05	  -6.89	  22.76
	  0.141	  0.989	 -0.033
	 -0.990	  0.142	  0.001
	  0.006	  0.032	  0.999

3 	  45.53	  -0.40	   1.12
	  0.532	  0.172	  0.829
	 -0.126	  0.984	 -0.124
	 -0.838	 -0.038	  0.545

4 	  41.62	   7.07	  -1.99
	  0.771	  0.615	  0.166
	 -0.603	  0.617	  0.505
	  0.209	 -0.490	  0.846

5 	  43.52	  10.02	  10.20
	  0.566	 -0.012	  0.824
	 -0.659	 -0.608	  0.443
	  0.497	 -0.793	 -0.351

6 	  51.63	   4.92	  12.01
	  0.717	 -0.671	  0.188
	  0.167	  0.422	  0.891
	 -0.681	 -0.608	  0.407

7 	  40.34	  -6.10	  -2.79
	  0.756	 -0.569	 -0.323
	  0.380	  0.783	 -0.493
	  0.534	  0.250	  0.807

8 	  41.98	 -10.07	   8.91
	  0.506	 -0.110	  0.855
	  0.486	 -0.783	 -0.387
	  0.714	  0.611	 -0.342

9 	  51.73	  -4.73	  11.72
	  0.706	  0.695	  0.135
	 -0.304	  0.463	 -0.833
