2 	  32.61	  -6.86	  22.97
	 -0.106	  0.990	 -0.089
	 -0.994	 -0.107	 -0.005
	 -0.014	  0.088	  0.996

3 	  45.12	   0.11	   3.06
	  0.130	  0.062	  0.989
	  0.106	  0.991	 -0.077
	 -0.986	  0.115	  0.122

4 	  40.55	   7.07	  -4.34
	  0.511	  0.788	  0.344
	 -0.860	  0.462	  0.216
	  0.011	 -0.407	  0.913

5 	  38.25	   8.67	   8.28
	  0.214	  0.112	  0.970
	 -0.139	 -0.980	  0.143
	  0.967	 -0.165	 -0.195

6 	  44.16	  10.71	  18.93
	  0.441	 -0.132	  0.887
	 -0.814	  0.357	  0.458
	 -0.378	 -0.925	  0.050

7 	  41.15	  -7.58	  -4.34
	  0.776	 -0.617	  0.130
	  0.630	  0.753	 -0.191
	  0.020	  0.230	  0.973

8 	  38.20	  -9.79	   7.88
	  0.178	 -0.212	  0.961
	  0.055	 -0.973	 -0.225
	  0.982	  0.093	 -0.162

9 	  44.28	 -11.88	  19.12
	  0.411	  0.206	  0.888
	  0.774	  0.435	 -0.459
	 -0.481	  0.876	  0.019

2 	  32.61	  -6.84	  22.96
	 -0.100	  0.991	 -0.088
	 -0.995	 -0.101	 -0.006
	 -0.015	  0.087	  0.996

3 	  45.11	   0.02	   3.08
	  0.135	  0.064	  0.989
	  0.108	  0.991	 -0.079
	 -0.985	  0.117	  0.127

4 	  40.50	   6.98	  -4.31
	  0.512	  0.788	  0.341
	 -0.859	  0.463	  0.218
	  0.014	 -0.405	  0.914

5 	  38.23	   8.60	   8.31
	  0.216	  0.115	  0.969
	 -0.137	 -0.980	  0.147
	  0.967	 -0.164	 -0.196

6 	  44.16	  10.69	  18.93
	  0.442	 -0.131	  0.887
	 -0.813	  0.359	  0.458
	 -0.378	 -0.924	  0.052

7 	  40.96	  -7.68	  -4.24
	  0.771	 -0.625	  0.123
	  0.636	  0.745	 -0.201
	  0.033	  0.233	  0.972

8 	  38.09	  -9.84	   7.98
	  0.180	 -0.210	  0.961
	  0.044	 -0.974	 -0.222
	  0.982	  0.083	 -0.166

9 	  44.21	 -11.92	  19.16
	  0.419	  0.209	  0.883
	  0.777	  0.421	 -0.468
	 -0.470	  0.883	  0.014

2 	  32.61	  -6.86	  22.96
	 -0.097	  0.991	 -0.088
	 -0.995	 -0.098	 -0.006
	 -0.015	  0.087	  0.996

3 	  45.04	  -0.04	   3.06
	  0.146	  0.067	  0.987
	  0.108	  0.990	 -0.083
	 -0.983	  0.118	  0.137

4 	  40.45	   6.93	  -4.29
	  0.515	  0.787	  0.339
	 -0.857	  0.465	  0.221
	  0.017	 -0.405	  0.914

5 	  38.21	   8.60	   8.35
	  0.219	  0.117	  0.969
	 -0.136	 -0.979	  0.149
	  0.966	 -0.164	 -0.198

6 	  44.16	  10.69	  18.95
	  0.442	 -0.131	  0.887
	 -0.813	  0.359	  0.458
	 -0.379	 -0.924	  0.053

7 	  40.92	  -7.70	  -4.22
	  0.770	 -0.627	  0.120
	  0.637	  0.743	 -0.205
	  0.039	  0.234	  0.971

8 	  38.07	  -9.84	   8.02
	  0.182	 -0.210	  0.960
	  0.042	 -0.974	 -0.221
	  0.982	  0.081	 -0.168

