2 	  46.48	  -0.95	   4.96
	 -0.276	 -0.953	 -0.122
	  0.368	 -0.223	  0.903
	 -0.888	  0.204	  0.412

3 	  44.63	  -0.56	   1.71
	  0.692	  0.298	  0.657
	 -0.499	  0.856	  0.136
	 -0.522	 -0.423	  0.741

4 	  38.48	   6.45	  -1.37
	  0.705	  0.697	  0.130
	 -0.673	  0.599	  0.433
	  0.224	 -0.393	  0.892

5 	  41.89	   9.51	   9.90
	  0.770	  0.138	  0.623
	 -0.317	 -0.765	  0.561
	  0.553	 -0.629	 -0.545

6 	  51.66	   5.13	  12.41
	  0.706	 -0.458	  0.540
	  0.264	  0.878	  0.399
	 -0.658	 -0.140	  0.740

7 	  38.36	  -7.65	  -1.48
	  0.773	 -0.634	  0.001
	  0.612	  0.746	 -0.260
	  0.164	  0.202	  0.965

8 	  42.10	 -10.04	   9.91
	  0.835	  0.009	  0.550
	  0.225	 -0.918	 -0.327
	  0.502	  0.396	 -0.769

9 	  51.47	  -6.73	  11.83
	  0.760	  0.452	  0.467
	 -0.214	  0.852	 -0.478
	 -0.614	  0.263	  0.744

2 	  46.41	  -1.16	   4.89
	 -0.429	 -0.899	 -0.090
	  0.283	 -0.229	  0.931
	 -0.858	  0.374	  0.353

3 	  44.65	  -0.60	   1.65
	  0.698	  0.295	  0.652
	 -0.497	  0.855	  0.145
	 -0.515	 -0.426	  0.744

4 	  38.51	   6.43	  -1.41
	  0.710	  0.693	  0.123
	 -0.667	  0.606	  0.434
	  0.226	 -0.391	  0.892

5 	  41.92	   9.49	   9.84
	  0.769	  0.140	  0.623
	 -0.315	 -0.765	  0.561
	  0.555	 -0.628	 -0.545

6 	  51.66	   5.10	  12.45
	  0.704	 -0.453	  0.547
	  0.262	  0.882	  0.391
	 -0.660	 -0.132	  0.739

7 	  38.32	  -7.66	  -1.49
	  0.771	 -0.636	  0.000
	  0.614	  0.745	 -0.263
	  0.167	  0.203	  0.965

8 	  42.12	 -10.05	   9.91
	  0.835	  0.007	  0.550
	  0.223	 -0.919	 -0.326
	  0.503	  0.395	 -0.769

9 	  51.49	  -6.77	  11.81
	  0.759	  0.452	  0.468
	 -0.211	  0.851	 -0.480
	 -0.616	  0.265	  0.742

2 	  46.20	  -1.00	   4.66
	 -0.381	 -0.924	  0.001
	  0.545	 -0.224	  0.808
	 -0.747	  0.308	  0.589

3 	  44.58	  -0.60	   1.56
	  0.689	  0.293	  0.663
	 -0.506	  0.849	  0.150
	 -0.519	 -0.438	  0.733

4 	  38.51	   6.40	  -1.42
	  0.712	  0.691	  0.121
	 -0.664	  0.608	  0.435
	  0.227	 -0.390	  0.892

5 	  41.91	   9.47	   9.83
	  0.768	  0.143	  0.623
	 -0.314	 -0.765	  0.562
	  0.557	 -0.628	 -0.543

6 	  51.68	   5.10	  12.39
	  0.705	 -0.452	  0.546
	  0.262	  0.882	  0.391
	 -0.659	 -0.133	  0.740

7 	  38.27	  -7.70	  -1.48
	  0.770	 -0.638	 -0.001
	  0.615	  0.743	 -0.265
	  0.170	  0.203	  0.964

8 	  42.10	 -10.05	   9.93
	  0.836	  0.009	  0.547
	  0.224	 -0.918	 -0.327
	  0.500	  0.396	 -0.770

9 	  51.49	  -6.75	  11.81
	  0.760	  0.453	  0.467
	 -0.212	  0.851	 -0.481
	 -0.615	  0.266	  0.742

2 	  46.37	  -0.76	   4.71
	 -0.168	 -0.980	 -0.107
	  0.549	 -0.183	  0.815
	 -0.818	  0.078	  0.569

3 	  44.61	  -0.53	   1.65
	  0.696	  0.306	  0.649
	 -0.506	  0.851	  0.140
	 -0.510	 -0.426	  0.747

4 	  38.50	   6.43	  -1.37
	  0.709	  0.693	  0.126
	 -0.668	  0.603	  0.435
	  0.225	 -0.393	  0.891

5 	  41.89	   9.47	   9.88
	  0.768	  0.143	  0.624
	 -0.315	 -0.765	  0.562
	  0.558	 -0.628	 -0.542

6 	  51.66	   5.15	  12.41
	  0.707	 -0.455	  0.541
	  0.259	  0.879	  0.401
	 -0.658	 -0.144	  0.739

7 	  38.34	  -7.63	  -1.48
	  0.774	 -0.632	 -0.002
	  0.610	  0.748	 -0.259
	  0.165	  0.199	  0.966

8 	  42.12	 -10.05	   9.91
	  0.838	  0.011	  0.546
	  0.228	 -0.915	 -0.331
	  0.496	  0.402	 -0.770

9 	  51.50	  -6.71	  11.83
	  0.759	  0.453	  0.468
	 -0.211	  0.851	 -0.480
	 -0.616	  0.265	  0.741

