2 	  32.61	  -6.75	  23.12
	  0.159	  0.986	 -0.037
	 -0.987	  0.158	 -0.010
	 -0.004	  0.037	  0.999

3 	  43.54	  -0.54	   2.23
	  0.286	 -0.271	  0.919
	  0.093	  0.963	  0.254
	 -0.954	  0.013	  0.301

4 	  38.58	  -5.70	  -4.50
	  0.569	 -0.771	 -0.285
	  0.615	  0.629	 -0.476
	  0.546	  0.095	  0.832

5 	  38.78	 -12.32	   3.45
	  0.375	 -0.679	  0.631
	  0.591	 -0.349	 -0.727
	  0.713	  0.646	  0.270

6 	  46.55	  -9.33	   9.25
	  0.732	  0.413	  0.541
	 -0.332	  0.910	 -0.247
	 -0.595	  0.001	  0.804

7 	  39.59	   6.19	  -2.87
	  0.615	  0.788	  0.014
	 -0.589	  0.447	  0.673
	  0.524	 -0.422	  0.739

8 	  40.15	  13.94	   2.55
	  0.425	  0.749	  0.508
	 -0.778	  0.014	  0.629
	  0.464	 -0.662	  0.588

9 	  46.67	  10.00	   9.00
	  0.435	 -0.615	  0.657
	  0.346	  0.788	  0.508
	 -0.831	  0.006	  0.556

2 	  32.61	  -6.75	  23.12
	  0.159	  0.986	 -0.036
	 -0.987	  0.158	 -0.010
	 -0.004	  0.037	  0.999

3 	  43.54	  -0.53	   2.21
	  0.287	 -0.271	  0.919
	  0.093	  0.962	  0.254
	 -0.953	  0.013	  0.301

4 	  38.60	  -5.68	  -4.50
	  0.569	 -0.771	 -0.285
	  0.615	  0.630	 -0.474
	  0.545	  0.094	  0.833

5 	  38.78	 -12.36	   3.43
	  0.373	 -0.681	  0.630
	  0.592	 -0.348	 -0.727
	  0.714	  0.645	  0.273

6 	  46.55	  -9.35	   9.21
	  0.731	  0.411	  0.544
	 -0.340	  0.911	 -0.231
	 -0.591	 -0.016	  0.806

7 	  39.57	   6.17	  -2.90
	  0.614	  0.789	  0.010
	 -0.589	  0.449	  0.672
	  0.525	 -0.419	  0.740

8 	  40.04	  13.97	   2.53
	  0.408	  0.753	  0.515
	 -0.791	  0.010	  0.612
	  0.456	 -0.658	  0.600

9 	  46.46	  10.04	   9.07
	  0.425	 -0.612	  0.667
	  0.334	  0.791	  0.512
	 -0.841	  0.005	  0.541

2 	  32.59	  -6.75	  23.10
	  0.159	  0.986	 -0.036
	 -0.987	  0.158	 -0.010
	 -0.004	  0.037	  0.999

3 	  43.54	  -0.56	   2.21
	  0.287	 -0.272	  0.918
	  0.095	  0.962	  0.255
	 -0.953	  0.014	  0.302

4 	  38.60	  -5.66	  -4.52
	  0.570	 -0.770	 -0.286
	  0.616	  0.631	 -0.471
	  0.543	  0.092	  0.834

5 	  38.76	 -12.36	   3.38
	  0.370	 -0.684	  0.628
	  0.594	 -0.345	 -0.727
	  0.714	  0.642	  0.279

6 	  46.51	  -9.35	   9.19
	  0.730	  0.411	  0.546
	 -0.344	  0.911	 -0.227
	 -0.591	 -0.022	  0.807

7 	  39.60	   6.15	  -2.94
	  0.614	  0.789	  0.009
	 -0.590	  0.451	  0.670
	  0.525	 -0.417	  0.742

8 	  39.99	  13.96	   2.46
	  0.397	  0.757	  0.518
	 -0.803	  0.013	  0.595
	  0.444	 -0.653	  0.613

9 	  46.28	  10.09	   9.12
	  0.412	 -0.606	  0.680
	  0.324	  0.796	  0.511
	 -0.851	  0.010	  0.525

2 	  32.61	  -6.75	  23.12
	  0.159	  0.986	 -0.036
	 -0.987	  0.158	 -0.010
	 -0.004	  0.037	  0.999

3 	  43.52	  -0.56	   2.21
	  0.285	 -0.274	  0.919
	  0.099	  0.962	  0.255
	 -0.953	  0.018	  0.301

4 	  38.60	  -5.62	  -4.55
	  0.566	 -0.772	 -0.289
	  0.621	  0.630	 -0.467
	  0.542	  0.085	  0.836

5 	  38.65	 -12.39	   3.27
	  0.359	 -0.695	  0.623
	  0.595	 -0.344	 -0.727
	  0.719	  0.631	  0.290

6 	  46.37	  -9.51	   9.18
	  0.731	  0.395	  0.557
	 -0.346	  0.917	 -0.196
	 -0.589	 -0.050	  0.807

7 	  39.62	   6.15	  -2.95
	  0.614	  0.789	  0.006
	 -0.590	  0.454	  0.668
	  0.524	 -0.414	  0.744

8 	  39.88	  14.01	   2.36
	  0.381	  0.768	  0.514
	 -0.811	  0.011	  0.585
	  0.443	 -0.640	  0.627

9 	  46.12	  10.27	   9.18
	  0.407	 -0.595	  0.693
	  0.314	  0.804	  0.505
	 -0.858	  0.012	  0.513

2 	  32.59	  -6.75	  23.10
	  0.159	  0.986	 -0.036
	 -0.987	  0.159	 -0.010
	 -0.004	  0.037	  0.999

3 	  43.52	  -0.54	   2.21
	  0.283	 -0.276	  0.918
	  0.108	  0.961	  0.255
	 -0.953	  0.027	  0.302

