2 	  33.12	  -8.38	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.18	  -1.21	  -0.04
	  0.531	  0.147	  0.834
	 -0.057	  0.989	 -0.138
	 -0.846	  0.026	  0.533

4 	  39.32	   5.80	  -4.01
	  0.328	  0.940	  0.094
	 -0.817	  0.232	  0.528
	  0.475	 -0.250	  0.844

5 	  39.02	   9.44	   7.88
	  0.132	  0.420	  0.898
	 -0.100	 -0.896	  0.433
	  0.986	 -0.146	 -0.076

6 	  43.88	  11.50	  17.61
	  0.223	  0.058	  0.973
	 -0.478	  0.877	  0.055
	 -0.851	 -0.476	  0.223

7 	  39.04	  -8.17	  -4.31
	  0.358	 -0.934	  0.011
	  0.739	  0.275	 -0.615
	  0.572	  0.228	  0.788

8 	  39.20	 -11.64	   7.77
	  0.163	 -0.267	  0.950
	  0.534	 -0.786	 -0.311
	  0.830	  0.557	  0.015

9 	  43.91	 -13.06	  17.61
	  0.245	 -0.059	  0.967
	  0.597	  0.795	 -0.100
	 -0.766	  0.601	  0.229

2 	  33.12	  -8.37	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.16	  -1.23	   0.00
	  0.527	  0.148	  0.837
	 -0.058	  0.988	 -0.139
	 -0.848	  0.025	  0.529

4 	  39.32	   5.80	  -3.99
	  0.327	  0.940	  0.094
	 -0.818	  0.230	  0.527
	  0.475	 -0.249	  0.844

5 	  39.01	   9.42	   7.88
	  0.131	  0.420	  0.898
	 -0.099	 -0.896	  0.432
	  0.986	 -0.145	 -0.075

6 	  43.82	  11.51	  17.61
	  0.221	  0.059	  0.973
	 -0.480	  0.875	  0.054
	 -0.850	 -0.478	  0.221

7 	  39.04	  -8.19	  -4.31
	  0.356	 -0.934	  0.013
	  0.740	  0.273	 -0.614
	  0.571	  0.228	  0.789

8 	  39.15	 -11.60	   7.79
	  0.159	 -0.265	  0.951
	  0.534	 -0.788	 -0.308
	  0.831	  0.556	  0.017

9 	  43.82	 -13.06	  17.67
	  0.242	 -0.058	  0.968
	  0.600	  0.793	 -0.099
	 -0.765	  0.603	  0.225

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.14	  -1.25	   0.02
	  0.524	  0.150	  0.838
	 -0.059	  0.988	 -0.141
	 -0.849	  0.024	  0.527

4 	  39.32	   5.77	  -3.99
	  0.325	  0.941	  0.094
	 -0.819	  0.229	  0.525
	  0.473	 -0.248	  0.845

5 	  38.97	   9.42	   7.88
	  0.127	  0.422	  0.898
	 -0.099	 -0.896	  0.434
	  0.987	 -0.144	 -0.072

6 	  43.77	  11.51	  17.63
	  0.219	  0.060	  0.974
	 -0.481	  0.875	  0.051
	 -0.850	 -0.479	  0.219

7 	  39.04	  -8.19	  -4.29
	  0.355	 -0.935	  0.016
	  0.743	  0.270	 -0.612
	  0.568	  0.228	  0.790

8 	  39.13	 -11.62	   7.80
	  0.157	 -0.265	  0.951
	  0.532	 -0.789	 -0.306
	  0.832	  0.554	  0.017

9 	  43.79	 -13.06	  17.68
	  0.240	 -0.058	  0.969
	  0.601	  0.792	 -0.099
	 -0.764	  0.605	  0.224

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.14	  -1.25	   0.04
	  0.522	  0.151	  0.839
	 -0.059	  0.988	 -0.141
	 -0.851	  0.024	  0.524

4 	  39.32	   5.77	  -3.99
	  0.325	  0.941	  0.095
	 -0.820	  0.229	  0.524
	  0.472	 -0.247	  0.846

5 	  38.95	   9.42	   7.86
	  0.125	  0.422	  0.897
	 -0.100	 -0.895	  0.434
	  0.987	 -0.144	 -0.070

6 	  43.75	  11.51	  17.63
	  0.217	  0.061	  0.974
	 -0.481	  0.875	  0.050
	 -0.851	 -0.479	  0.218

7 	  39.04	  -8.21	  -4.27
	  0.354	 -0.935	  0.019
	  0.745	  0.269	 -0.610
	  0.566	  0.229	  0.791

8 	  39.11	 -11.64	   7.82
	  0.155	 -0.264	  0.952
	  0.532	 -0.790	 -0.305
	  0.833	  0.553	  0.018

9 	  43.75	 -13.06	  17.72
	  0.239	 -0.058	  0.969
	  0.603	  0.791	 -0.099
	 -0.764	  0.606	  0.223

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.14	  -1.27	   0.05
	  0.520	  0.151	  0.841
	 -0.058	  0.988	 -0.142
	 -0.853	  0.025	  0.522

4 	  39.34	   5.75	  -3.99
	  0.325	  0.941	  0.095
	 -0.821	  0.230	  0.522
	  0.470	 -0.247	  0.847

5 	  38.94	   9.42	   7.84
	  0.124	  0.424	  0.897
	 -0.101	 -0.894	  0.435
	  0.987	 -0.144	 -0.069

6 	  43.72	  11.55	  17.63
	  0.214	  0.063	  0.974
	 -0.481	  0.875	  0.046
	 -0.851	 -0.477	  0.217

7 	  39.06	  -8.21	  -4.25
	  0.354	 -0.935	  0.020
	  0.745	  0.268	 -0.610
	  0.566	  0.230	  0.791

8 	  38.92	 -11.72	   7.72
	  0.137	 -0.275	  0.951
	  0.529	 -0.792	 -0.304
	  0.837	  0.545	  0.038

9 	  43.42	 -13.25	  17.70
	  0.226	 -0.066	  0.972
	  0.612	  0.786	 -0.086
	 -0.761	  0.612	  0.216

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.21	  -1.25	   0.12
	  0.511	  0.149	  0.846
	 -0.053	  0.988	 -0.143
	 -0.858	  0.028	  0.513

4 	  39.55	   5.77	  -4.08
	  0.334	  0.937	  0.098
	 -0.825	  0.240	  0.511
	  0.456	 -0.251	  0.853

5 	  38.60	   9.76	   7.49
	  0.070	  0.450	  0.890
	 -0.130	 -0.881	  0.454
	  0.989	 -0.148	 -0.003

6 	  42.77	  12.11	  17.46
	  0.156	  0.091	  0.983
	 -0.477	  0.879	 -0.008
	 -0.866	 -0.467	  0.180

7 	  39.32	  -8.16	  -4.36
	  0.361	 -0.932	  0.018
	  0.750	  0.278	 -0.601
	  0.556	  0.229	  0.799

8 	  38.23	 -11.88	   7.26
	  0.045	 -0.309	  0.950
	  0.538	 -0.794	 -0.283
	  0.842	  0.523	  0.131

9 	  41.78	 -13.92	  17.60
	  0.140	 -0.099	  0.985
	  0.642	  0.766	 -0.012
	 -0.755	  0.633	  0.170

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.40	  -1.18	   0.25
	  0.488	  0.142	  0.861
	 -0.042	  0.989	 -0.140
	 -0.872	  0.031	  0.489

4 	  40.03	   5.87	  -4.25
	  0.348	  0.932	  0.101
	 -0.833	  0.257	  0.490
	  0.432	 -0.254	  0.865

5 	  37.92	   9.98	   6.73
	 -0.052	  0.477	  0.877
	 -0.154	 -0.872	  0.465
	  0.987	 -0.111	  0.119

6 	  40.90	  12.78	  17.17
	  0.042	  0.124	  0.991
	 -0.526	  0.846	 -0.086
	 -0.850	 -0.517	  0.099

7 	  39.83	  -7.98	  -4.55
	  0.349	 -0.937	  0.020
	  0.771	  0.274	 -0.574
	  0.533	  0.215	  0.818

8 	  37.21	 -11.81	   6.52
	 -0.097	 -0.331	  0.938
	  0.517	 -0.823	 -0.236
	  0.850	  0.462	  0.251

9 	  39.57	 -14.27	  17.26
	  0.031	 -0.120	  0.992
	  0.687	  0.723	  0.068
	 -0.727	  0.679	  0.103

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  45.72	  -1.14	   0.44
	  0.454	  0.132	  0.881
	 -0.038	  0.991	 -0.129
	 -0.890	  0.025	  0.454

4 	  40.76	   5.96	  -4.46
	  0.357	  0.927	  0.118
	 -0.853	  0.271	  0.446
	  0.382	 -0.260	  0.887

5 	  37.35	  10.25	   5.75
	 -0.189	  0.497	  0.847
	 -0.217	 -0.862	  0.458
	  0.958	 -0.096	  0.271

6 	  38.99	  13.24	  16.59
	 -0.095	  0.147	  0.984
	 -0.527	  0.831	 -0.177
	 -0.845	 -0.535	 -0.002

7 	  40.39	  -7.89	  -4.80
	  0.332	 -0.943	  0.030
	  0.800	  0.264	 -0.539
	  0.501	  0.202	  0.841

8 	  36.44	 -11.87	   5.54
	 -0.234	 -0.358	  0.904
	  0.520	 -0.832	 -0.195
	  0.821	  0.424	  0.380

9 	  37.58	 -14.78	  16.42
	 -0.084	 -0.152	  0.984
	  0.697	  0.696	  0.169
	 -0.713	  0.700	  0.046

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.050
	 -0.003	  0.193	  0.981

3 	  46.02	  -1.07	   0.58
	  0.424	  0.121	  0.897
	 -0.043	  0.992	 -0.115
	 -0.905	  0.010	  0.426

4 	  41.41	   5.96	  -4.68
	  0.356	  0.925	  0.132
	 -0.872	  0.278	  0.402
	  0.336	 -0.258	  0.906

5 	  36.91	  10.28	   4.68
	 -0.312	  0.509	  0.802
	 -0.248	 -0.858	  0.449
	  0.917	 -0.059	  0.393

6 	  37.23	  13.57	  15.66
	 -0.209	  0.169	  0.963
	 -0.506	  0.823	 -0.255
	 -0.837	 -0.541	 -0.087

7 	  40.97	  -7.73	  -5.03
	  0.326	 -0.944	  0.053
	  0.825	  0.256	 -0.504
	  0.463	  0.207	  0.862

8 	  35.95	 -11.97	   4.31
	 -0.363	 -0.388	  0.847
	  0.552	 -0.822	 -0.140
	  0.750	  0.417	  0.512

9 	  35.56	 -15.29	  15.21
	 -0.221	 -0.186	  0.957
	  0.645	  0.708	  0.288
	 -0.731	  0.681	 -0.037

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  46.30	  -1.04	   0.70
	  0.391	  0.114	  0.913
	 -0.045	  0.993	 -0.105
	 -0.919	  0.000	  0.394

4 	  41.99	   5.98	  -4.85
	  0.332	  0.933	  0.139
	 -0.899	  0.267	  0.347
	  0.288	 -0.240	  0.927

5 	  36.46	  10.25	   3.53
	 -0.433	  0.508	  0.744
	 -0.255	 -0.861	  0.439
	  0.865	  0.000	  0.502

6 	  35.38	  13.75	  14.50
	 -0.328	  0.180	  0.927
	 -0.489	  0.808	 -0.330
	 -0.808	 -0.561	 -0.177

7 	  41.66	  -7.52	  -5.22
	  0.302	 -0.951	  0.070
	  0.865	  0.241	 -0.441
	  0.403	  0.192	  0.895

8 	  35.54	 -12.01	   2.97
	 -0.484	 -0.411	  0.772
	  0.564	 -0.822	 -0.085
	  0.670	  0.394	  0.629

9 	  33.70	 -15.54	  13.78
	 -0.351	 -0.209	  0.913
	  0.585	  0.712	  0.388
	 -0.731	  0.670	 -0.129

2 	  33.12	  -8.37	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  46.58	  -0.95	   0.86
	  0.358	  0.111	  0.927
	 -0.046	  0.994	 -0.102
	 -0.932	 -0.006	  0.361

4 	  42.57	   5.98	  -5.01
	  0.311	  0.939	  0.149
	 -0.922	  0.259	  0.287
	  0.231	 -0.227	  0.946

5 	  36.37	  10.04	   2.78
	 -0.515	  0.497	  0.698
	 -0.254	 -0.866	  0.431
	  0.819	  0.045	  0.572

6 	  34.42	  13.68	  13.59
	 -0.403	  0.183	  0.896
	 -0.484	  0.789	 -0.379
	 -0.777	 -0.587	 -0.230

7 	  42.15	  -7.40	  -5.26
	  0.279	 -0.957	  0.083
	  0.892	  0.226	 -0.390
	  0.355	  0.183	  0.917

8 	  35.38	 -11.94	   2.16
	 -0.564	 -0.418	  0.712
	  0.561	 -0.826	 -0.041
	  0.606	  0.377	  0.700

9 	  32.43	 -15.75	  12.66
	 -0.448	 -0.228	  0.864
	  0.535	  0.707	  0.463
	 -0.717	  0.669	 -0.195

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  46.79	  -0.97	   1.00
	  0.336	  0.112	  0.935
	 -0.040	  0.994	 -0.105
	 -0.941	 -0.002	  0.338

4 	  43.03	   5.89	  -5.10
	  0.306	  0.939	  0.155
	 -0.932	  0.261	  0.253
	  0.197	 -0.222	  0.955

5 	  36.47	   9.84	   2.44
	 -0.551	  0.491	  0.674
	 -0.251	 -0.868	  0.428
	  0.796	  0.067	  0.601

6 	  34.12	  13.54	  13.17
	 -0.439	  0.187	  0.879
	 -0.474	  0.783	 -0.403
	 -0.764	 -0.593	 -0.255

7 	  42.42	  -7.37	  -5.24
	  0.247	 -0.965	  0.090
	  0.914	  0.201	 -0.351
	  0.321	  0.169	  0.932

8 	  35.16	 -11.87	   1.44
	 -0.630	 -0.408	  0.660
	  0.559	 -0.829	  0.021
	  0.539	  0.383	  0.750

9 	  31.08	 -15.54	  11.65
	 -0.537	 -0.220	  0.814
	  0.468	  0.725	  0.505
	 -0.701	  0.652	 -0.287

2 	  33.12	  -8.38	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  46.93	  -1.00	   1.12
	  0.305	  0.102	  0.947
	 -0.035	  0.995	 -0.097
	 -0.952	 -0.003	  0.307

4 	  43.38	   5.82	  -5.17
	  0.299	  0.941	  0.159
	 -0.939	  0.260	  0.223
	  0.168	 -0.216	  0.962

5 	  36.51	   9.63	   1.99
	 -0.588	  0.483	  0.648
	 -0.248	 -0.871	  0.424
	  0.770	  0.089	  0.631

6 	  33.54	  13.46	  12.55
	 -0.486	  0.189	  0.853
	 -0.464	  0.772	 -0.435
	 -0.741	 -0.607	 -0.287

7 	  42.63	  -7.29	  -5.13
	  0.217	 -0.972	  0.093
	  0.935	  0.179	 -0.305
	  0.280	  0.152	  0.948

8 	  34.98	 -11.71	   0.95
	 -0.683	 -0.393	  0.616
	  0.544	 -0.836	  0.070
	  0.488	  0.383	  0.784

9 	  30.15	 -15.28	  10.88
	 -0.604	 -0.213	  0.767
	  0.411	  0.742	  0.529
	 -0.682	  0.636	 -0.361

2 	  33.12	  -8.37	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.02	  -1.02	   1.20
	  0.285	  0.100	  0.953
	 -0.029	  0.995	 -0.096
	 -0.958	 -0.000	  0.286

4 	  43.65	   5.77	  -5.24
	  0.289	  0.944	  0.156
	 -0.946	  0.257	  0.196
	  0.145	 -0.204	  0.968

5 	  36.54	   9.54	   1.60
	 -0.617	  0.484	  0.620
	 -0.251	 -0.868	  0.429
	  0.746	  0.109	  0.656

6 	  33.19	  13.48	  11.99
	 -0.518	  0.198	  0.832
	 -0.447	  0.767	 -0.461
	 -0.729	 -0.611	 -0.308

7 	  42.80	  -7.29	  -5.04
	  0.198	 -0.975	  0.103
	  0.947	  0.163	 -0.278
	  0.254	  0.152	  0.955

8 	  34.91	 -11.71	   0.60
	 -0.719	 -0.378	  0.583
	  0.537	 -0.834	  0.122
	  0.441	  0.401	  0.803

9 	  29.34	 -15.08	  10.20
	 -0.661	 -0.198	  0.724
	  0.357	  0.766	  0.534
	 -0.661	  0.611	 -0.436

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.16	  -1.11	   1.32
	  0.261	  0.099	  0.960
	 -0.016	  0.995	 -0.098
	 -0.965	  0.010	  0.262

4 	  43.88	   5.66	  -5.27
	  0.284	  0.947	  0.149
	 -0.951	  0.257	  0.172
	  0.124	 -0.190	  0.974

5 	  36.65	   9.46	   1.32
	 -0.636	  0.490	  0.596
	 -0.261	 -0.863	  0.432
	  0.727	  0.119	  0.676

6 	  33.01	  13.54	  11.60
	 -0.544	  0.206	  0.813
	 -0.426	  0.767	 -0.480
	 -0.723	 -0.607	 -0.330

7 	  42.98	  -7.42	  -5.01
	  0.163	 -0.981	  0.106
	  0.964	  0.135	 -0.228
	  0.209	  0.139	  0.968

8 	  34.68	 -11.74	  -0.23
	 -0.775	 -0.365	  0.516
	  0.514	 -0.839	  0.178
	  0.368	  0.403	  0.838

9 	  28.18	 -14.98	   8.79
	 -0.736	 -0.190	  0.649
	  0.274	  0.794	  0.542
	 -0.619	  0.577	 -0.533

2 	  33.12	  -8.37	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.25	  -1.28	   1.41
	  0.235	  0.085	  0.968
	  0.006	  0.996	 -0.089
	 -0.972	  0.027	  0.234

4 	  44.16	   5.54	  -5.29
	  0.282	  0.948	  0.149
	 -0.954	  0.261	  0.146
	  0.099	 -0.184	  0.978

5 	  36.74	   9.37	   1.05
	 -0.655	  0.488	  0.577
	 -0.268	 -0.864	  0.427
	  0.707	  0.125	  0.696

6 	  32.71	  13.48	  11.20
	 -0.574	  0.211	  0.791
	 -0.403	  0.768	 -0.497
	 -0.713	 -0.604	 -0.356

7 	  43.17	  -7.38	  -4.96
	  0.140	 -0.984	  0.106
	  0.977	  0.120	 -0.178
	  0.163	  0.128	  0.978

8 	  34.65	 -11.62	  -0.74
	 -0.813	 -0.353	  0.463
	  0.487	 -0.848	  0.210
	  0.318	  0.396	  0.861

9 	  27.46	 -14.78	   7.77
	 -0.792	 -0.182	  0.583
	  0.209	  0.817	  0.538
	 -0.574	  0.548	 -0.609

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.30	  -1.30	   1.53
	  0.209	  0.084	  0.974
	  0.015	  0.996	 -0.089
	 -0.978	  0.033	  0.206

4 	  44.30	   5.41	  -5.29
	  0.259	  0.956	  0.137
	 -0.963	  0.244	  0.112
	  0.073	 -0.162	  0.984

5 	  36.60	   9.12	   0.63
	 -0.688	  0.483	  0.540
	 -0.259	 -0.860	  0.440
	  0.678	  0.163	  0.716

6 	  32.01	  13.43	  10.46
	 -0.615	  0.219	  0.757
	 -0.391	  0.750	 -0.534
	 -0.685	 -0.624	 -0.376

7 	  43.38	  -7.44	  -4.87
	  0.124	 -0.986	  0.114
	  0.985	  0.108	 -0.135
	  0.121	  0.129	  0.984

8 	  34.65	 -11.57	  -1.12
	 -0.843	 -0.337	  0.419
	  0.459	 -0.856	  0.236
	  0.280	  0.391	  0.876

9 	  26.82	 -14.68	   6.77
	 -0.840	 -0.179	  0.512
	  0.150	  0.831	  0.536
	 -0.522	  0.527	 -0.671

2 	  33.12	  -8.38	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.37	  -1.39	   1.67
	  0.179	  0.086	  0.980
	  0.032	  0.995	 -0.093
	 -0.983	  0.047	  0.176

4 	  44.49	   5.24	  -5.31
	  0.241	  0.962	  0.127
	 -0.969	  0.232	  0.080
	  0.048	 -0.143	  0.988

5 	  36.60	   8.93	   0.35
	 -0.710	  0.480	  0.515
	 -0.260	 -0.858	  0.443
	  0.655	  0.181	  0.733

6 	  31.80	  13.34	  10.04
	 -0.639	  0.224	  0.735
	 -0.367	  0.752	 -0.548
	 -0.676	 -0.620	 -0.399

7 	  43.54	  -7.49	  -4.80
	  0.109	 -0.987	  0.116
	  0.990	  0.097	 -0.106
	  0.093	  0.127	  0.987

8 	  34.70	 -11.58	  -1.48
	 -0.859	 -0.337	  0.386
	  0.448	 -0.860	  0.245
	  0.249	  0.383	  0.889

9 	  26.44	 -14.84	   5.78
	 -0.873	 -0.190	  0.448
	  0.089	  0.842	  0.531
	 -0.479	  0.504	 -0.719

2 	  33.12	  -8.37	  22.71
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.48	  -1.53	   1.79
	  0.157	  0.074	  0.984
	  0.054	  0.995	 -0.084
	 -0.986	  0.066	  0.152

4 	  44.75	   5.17	  -5.24
	  0.250	  0.959	  0.132
	 -0.968	  0.243	  0.065
	  0.030	 -0.145	  0.989

5 	  36.84	   9.00	   0.32
	 -0.712	  0.490	  0.503
	 -0.277	 -0.853	  0.441
	  0.646	  0.175	  0.743

6 	  31.90	  13.48	   9.90
	 -0.651	  0.234	  0.722
	 -0.340	  0.760	 -0.553
	 -0.678	 -0.606	 -0.416

7 	  43.68	  -7.40	  -4.89
	  0.089	 -0.991	  0.099
	  0.994	  0.083	 -0.070
	  0.061	  0.105	  0.992

8 	  34.72	 -11.39	  -2.04
	 -0.880	 -0.330	  0.343
	  0.423	 -0.871	  0.248
	  0.217	  0.363	  0.906

9 	  26.00	 -14.70	   4.57
	 -0.911	 -0.191	  0.365
	  0.036	  0.845	  0.533
	 -0.411	  0.499	 -0.763

2 	  33.12	  -8.37	  22.69
	  0.241	  0.952	 -0.187
	 -0.970	  0.236	 -0.051
	 -0.004	  0.193	  0.981

3 	  47.55	  -1.49	   1.90
	  0.133	  0.068	  0.989
	  0.071	  0.994	 -0.078
	 -0.989	  0.081	  0.127

4 	  44.96	   5.17	  -5.17
	  0.238	  0.963	  0.123
	 -0.971	  0.235	  0.039
	  0.009	 -0.130	  0.991

