2 	  44.21	  -0.33	   3.18
	  0.231	 -0.828	  0.510
	  0.272	  0.558	  0.784
	 -0.934	 -0.043	  0.354

3 	  42.38	  -0.60	   1.21
	  0.492	  0.088	  0.866
	 -0.318	  0.945	  0.082
	 -0.812	 -0.315	  0.492

4 	  35.68	   6.64	  -2.88
	  0.540	  0.841	  0.004
	 -0.621	  0.395	  0.677
	  0.568	 -0.368	  0.735

5 	  39.08	   9.53	   6.96
	  0.632	  0.070	  0.772
	 -0.594	 -0.596	  0.540
	  0.499	 -0.799	 -0.334

6 	  48.23	   5.62	  12.50
	  0.729	 -0.560	  0.394
	 -0.300	  0.257	  0.919
	 -0.616	 -0.788	  0.019

7 	  36.35	  -7.91	  -3.25
	  0.333	 -0.924	  0.187
	  0.877	  0.231	 -0.421
	  0.345	  0.304	  0.887

8 	  39.50	 -10.42	   7.26
	  0.627	 -0.093	  0.774
	  0.665	 -0.454	 -0.593
	  0.407	  0.886	 -0.223

9 	  48.85	  -6.17	  12.81
	  0.760	  0.585	  0.282
	  0.270	  0.111	 -0.957
	 -0.592	  0.803	 -0.073

2 	  44.17	  -0.84	   3.34
	 -0.001	 -0.738	  0.675
	  0.393	  0.620	  0.679
	 -0.920	  0.266	  0.289

3 	  42.40	  -0.62	   1.21
	  0.490	  0.087	  0.867
	 -0.318	  0.945	  0.082
	 -0.813	 -0.315	  0.490

4 	  35.67	   6.63	  -2.87
	  0.540	  0.841	  0.003
	 -0.622	  0.396	  0.675
	  0.568	 -0.366	  0.737

5 	  39.08	   9.53	   6.94
	  0.633	  0.072	  0.771
	 -0.592	 -0.596	  0.541
	  0.500	 -0.799	 -0.335

6 	  48.22	   5.62	  12.50
	  0.727	 -0.561	  0.395
	 -0.300	  0.258	  0.918
	 -0.617	 -0.786	  0.020

7 	  36.33	  -7.91	  -3.25
	  0.332	 -0.925	  0.186
	  0.878	  0.230	 -0.419
	  0.345	  0.303	  0.888

8 	  39.46	 -10.44	   7.28
	  0.625	 -0.092	  0.775
	  0.664	 -0.459	 -0.590
	  0.411	  0.883	 -0.226

9 	  48.85	  -6.19	  12.81
	  0.760	  0.590	  0.271
	  0.262	  0.104	 -0.959
	 -0.595	  0.800	 -0.075

2 	  44.02	  -0.42	   2.99
	  0.352	 -0.771	  0.530
	  0.456	  0.635	  0.623
	 -0.818	  0.022	  0.575

3 	  42.38	  -0.62	   1.28
	  0.488	  0.087	  0.868
	 -0.317	  0.945	  0.082
	 -0.814	 -0.315	  0.488

4 	  35.67	   6.63	  -2.85
	  0.539	  0.842	  0.004
	 -0.623	  0.394	  0.676
	  0.568	 -0.367	  0.736

5 	  39.06	   9.53	   6.96
	  0.632	  0.073	  0.771
	 -0.592	 -0.597	  0.541
	  0.501	 -0.798	 -0.334

6 	  48.22	   5.64	  12.48
	  0.729	 -0.561	  0.392
	 -0.296	  0.258	  0.919
	 -0.617	 -0.786	  0.022

7 	  36.32	  -7.91	  -3.23
	  0.331	 -0.925	  0.188
	  0.878	  0.229	 -0.419
	  0.345	  0.304	  0.888

8 	  39.45	 -10.44	   7.29
	  0.625	 -0.095	  0.775
	  0.662	 -0.462	 -0.590
	  0.414	  0.881	 -0.225

9 	  48.85	  -6.19	  12.81
	  0.761	  0.591	  0.267
	  0.259	  0.101	 -0.960
	 -0.596	  0.799	 -0.076

2 	  44.05	   0.00	   3.01
	  0.452	 -0.816	  0.359
	  0.349	  0.531	  0.772
	 -0.822	 -0.224	  0.524

3 	  42.38	  -0.60	   1.28
	  0.488	  0.087	  0.868
	 -0.319	  0.944	  0.082
	 -0.813	 -0.316	  0.488

4 	  35.65	   6.61	  -2.85
	  0.538	  0.842	  0.005
	 -0.624	  0.394	  0.675
	  0.568	 -0.367	  0.737

5 	  39.06	   9.53	   6.96
	  0.632	  0.073	  0.771
	 -0.593	 -0.595	  0.542
	  0.499	 -0.800	 -0.333

6 	  48.22	   5.64	  12.48
	  0.729	 -0.562	  0.391
	 -0.294	  0.259	  0.920
	 -0.618	 -0.786	  0.024

7 	  36.32	  -7.91	  -3.22
	  0.330	 -0.925	  0.189
	  0.879	  0.228	 -0.418
	  0.344	  0.304	  0.888

8 	  39.41	 -10.46	   7.33
	  0.624	 -0.097	  0.775
	  0.660	 -0.466	 -0.589
	  0.419	  0.879	 -0.227

9 	  48.85	  -6.21	  12.81
	  0.761	  0.592	  0.263
	  0.256	  0.098	 -0.961
	 -0.597	  0.799	 -0.077

2 	  44.28	  -0.46	   3.59
	  0.003	 -0.872	  0.489
	  0.088	  0.487	  0.869
	 -0.996	  0.041	  0.078

3 	  42.38	  -0.60	   1.27
	  0.487	  0.087	  0.869
	 -0.320	  0.944	  0.083
	 -0.814	 -0.318	  0.487

4 	  35.68	   6.61	  -2.87
	  0.539	  0.842	  0.004
	 -0.625	  0.396	  0.672
	  0.565	 -0.365	  0.740

5 	  39.08	   9.53	   6.96
	  0.632	  0.073	  0.771
	 -0.594	 -0.594	  0.542
	  0.499	 -0.801	 -0.332

6 	  48.22	   5.64	  12.48
	  0.729	 -0.561	  0.391
	 -0.295	  0.259	  0.920
	 -0.618	 -0.786	  0.023

7 	  36.35	  -7.93	  -3.22
	  0.330	 -0.925	  0.188
	  0.879	  0.229	 -0.417
	  0.343	  0.302	  0.889

8 	  39.41	 -10.46	   7.31
	  0.623	 -0.098	  0.776
	  0.660	 -0.467	 -0.589
	  0.420	  0.879	 -0.226

9 	  48.85	  -6.21	  12.81
	  0.761	  0.593	  0.262
	  0.257	  0.096	 -0.962
	 -0.597	  0.799	 -0.079

2 	  40.92	  -0.77	  -3.69
	  0.356	 -0.934	  0.038
	  0.866	  0.344	  0.362
	 -0.352	 -0.096	  0.931

3 	  42.45	  -0.63	   1.25
	  0.479	  0.087	  0.873
	 -0.318	  0.945	  0.079
	 -0.819	 -0.314	  0.480

4 	  35.68	   6.57	  -2.88
	  0.537	  0.843	 -0.010
	 -0.629	  0.407	  0.662
	  0.563	 -0.349	  0.749

5 	  39.04	   9.58	   6.93
	  0.629	  0.090	  0.772
	 -0.586	 -0.599	  0.546
	  0.513	 -0.795	 -0.323

6 	  48.22	   5.70	  12.43
	  0.730	 -0.564	  0.385
	 -0.297	  0.247	  0.922
	 -0.616	 -0.788	  0.012

7 	  36.35	  -7.91	  -3.22
	  0.327	 -0.927	  0.181
	  0.879	  0.228	 -0.419
	  0.347	  0.296	  0.890

8 	  39.34	 -10.46	   7.35
	  0.619	 -0.100	  0.779
	  0.656	 -0.479	 -0.583
	  0.432	  0.871	 -0.231

9 	  48.85	  -6.24	  12.81
	  0.762	  0.599	  0.244
	  0.255	  0.068	 -0.964
	 -0.595	  0.797	 -0.100

2 	  41.12	  -1.23	  -3.45
	  0.189	 -0.908	  0.373
	  0.830	  0.350	  0.434
	 -0.525	  0.228	  0.820

3 	  42.47	  -0.63	   1.23
	  0.481	  0.085	  0.872
	 -0.316	  0.945	  0.080
	 -0.819	 -0.312	  0.481

4 	  35.68	   6.59	  -2.88
	  0.535	  0.845	 -0.011
	 -0.628	  0.405	  0.664
	  0.566	 -0.348	  0.747

5 	  39.02	   9.60	   6.93
	  0.629	  0.092	  0.772
	 -0.584	 -0.600	  0.546
	  0.515	 -0.794	 -0.324

6 	  48.22	   5.71	  12.43
	  0.730	 -0.565	  0.385
	 -0.297	  0.245	  0.923
	 -0.615	 -0.788	  0.011

7 	  36.33	  -7.91	  -3.22
	  0.327	 -0.927	  0.181
	  0.879	  0.228	 -0.419
	  0.348	  0.296	  0.890

8 	  39.34	 -10.46	   7.35
	  0.619	 -0.101	  0.779
	  0.656	 -0.480	 -0.582
	  0.433	  0.871	 -0.231

9 	  48.85	  -6.24	  12.83
	  0.762	  0.599	  0.243
	  0.255	  0.067	 -0.964
	 -0.596	  0.797	 -0.102

2 	  40.48	  -1.16	  -3.92
	  0.421	 -0.894	  0.151
	  0.901	  0.432	  0.043
	 -0.105	  0.118	  0.987

3 	  42.47	  -0.65	   1.23
	  0.483	  0.085	  0.871
	 -0.314	  0.946	  0.080
	 -0.818	 -0.311	  0.484

4 	  35.67	   6.57	  -2.87
	  0.534	  0.845	 -0.011
	 -0.629	  0.405	  0.664
	  0.567	 -0.348	  0.747

5 	  39.01	   9.60	   6.93
	  0.628	  0.093	  0.772
	 -0.583	 -0.602	  0.546
	  0.516	 -0.793	 -0.323

6 	  48.22	   5.73	  12.41
	  0.733	 -0.564	  0.380
	 -0.296	  0.240	  0.924
	 -0.613	 -0.790	  0.009

7 	  36.32	  -7.89	  -3.20
	  0.325	 -0.928	  0.182
	  0.879	  0.225	 -0.419
	  0.348	  0.296	  0.890

