2 	  32.68	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.56	  -0.63	   1.99
	  0.282	  0.195	  0.939
	 -0.070	  0.980	 -0.183
	 -0.957	 -0.014	  0.289

4 	  40.20	   6.52	  -1.60
	  0.496	  0.754	  0.431
	 -0.861	  0.490	  0.132
	 -0.112	 -0.437	  0.892

5 	  38.43	   8.72	   6.77
	  0.045	  0.183	  0.982
	 -0.774	 -0.615	  0.149
	  0.632	 -0.766	  0.114

6 	  43.31	  10.79	  19.53
	  0.514	  0.064	  0.855
	 -0.703	  0.605	  0.374
	 -0.497	 -0.791	  0.356

7 	  39.34	  -7.96	  -1.83
	  0.574	 -0.777	  0.256
	  0.811	  0.497	 -0.308
	  0.112	  0.385	  0.916

8 	  38.79	 -10.62	   7.86
	  0.185	 -0.021	  0.982
	  0.880	 -0.442	 -0.175
	  0.438	  0.896	 -0.064

9 	  43.86	 -11.67	  19.95
	  0.424	  0.006	  0.905
	  0.729	  0.591	 -0.344
	 -0.541	  0.804	  0.245

2 	  32.66	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.001	  0.190	  0.982

3 	  43.42	  -0.49	   1.95
	  0.293	  0.190	  0.937
	 -0.086	  0.981	 -0.172
	 -0.952	 -0.030	  0.304

4 	  39.92	   6.66	  -1.49
	  0.491	  0.757	  0.430
	 -0.866	  0.477	  0.148
	 -0.094	 -0.446	  0.890

5 	  38.23	   8.75	   6.89
	  0.056	  0.173	  0.983
	 -0.761	 -0.630	  0.154
	  0.646	 -0.757	  0.097

6 	  43.28	  10.78	  19.58
	  0.510	  0.068	  0.857
	 -0.707	  0.602	  0.371
	 -0.494	 -0.793	  0.355

7 	  38.99	  -7.91	  -1.90
	  0.555	 -0.796	  0.243
	  0.822	  0.479	 -0.308
	  0.128	  0.370	  0.920

8 	  38.41	 -10.51	   7.80
	  0.191	 -0.017	  0.981
	  0.857	 -0.484	 -0.175
	  0.478	  0.874	 -0.078

9 	  43.56	 -11.64	  19.93
	  0.426	 -0.003	  0.904
	  0.734	  0.586	 -0.342
	 -0.533	  0.808	  0.251

2 	  32.68	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.29	  -0.62	   1.97
	  0.313	  0.185	  0.931
	 -0.073	  0.982	 -0.171
	 -0.947	 -0.015	  0.320

4 	  39.83	   6.57	  -1.46
	  0.505	  0.755	  0.418
	 -0.859	  0.487	  0.157
	 -0.086	 -0.439	  0.894

5 	  38.27	   8.74	   6.87
	  0.063	  0.170	  0.983
	 -0.768	 -0.621	  0.156
	  0.638	 -0.765	  0.092

6 	  43.26	  10.81	  19.58
	  0.503	  0.074	  0.861
	 -0.703	  0.616	  0.355
	 -0.508	 -0.782	  0.362

7 	  38.90	  -8.00	  -1.79
	  0.556	 -0.796	  0.239
	  0.819	  0.476	 -0.319
	  0.140	  0.374	  0.917

8 	  38.48	 -10.65	   7.95
	  0.200	 -0.018	  0.979
	  0.859	 -0.478	 -0.184
	  0.472	  0.878	 -0.080

9 	  43.79	 -11.65	  19.97
	  0.437	  0.004	  0.899
	  0.710	  0.613	 -0.345
	 -0.556	  0.788	  0.264

2 	  32.66	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.33	  -0.70	   1.93
	  0.313	  0.193	  0.930
	 -0.069	  0.981	 -0.181
	 -0.947	 -0.007	  0.320

4 	  39.94	   6.45	  -1.58
	  0.515	  0.755	  0.406
	 -0.853	  0.498	  0.154
	 -0.087	 -0.426	  0.901

5 	  38.29	   8.65	   6.66
	  0.054	  0.189	  0.980
	 -0.758	 -0.631	  0.163
	  0.650	 -0.752	  0.110

6 	  43.24	  10.79	  19.41
	  0.496	  0.077	  0.865
	 -0.682	  0.651	  0.331
	 -0.542	 -0.752	  0.375

7 	  38.87	  -8.12	  -1.78
	  0.552	 -0.798	  0.242
	  0.821	  0.470	 -0.323
	  0.144	  0.377	  0.915

8 	  38.34	 -10.63	   7.95
	  0.196	 -0.014	  0.980
	  0.845	 -0.504	 -0.176
	  0.497	  0.863	 -0.087

9 	  43.45	 -11.69	  20.06
	  0.426	  0.005	  0.904
	  0.733	  0.585	 -0.346
	 -0.535	  0.809	  0.245

2 	  32.68	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.37	  -0.74	   1.88
	  0.316	  0.194	  0.929
	 -0.067	  0.981	 -0.183
	 -0.947	 -0.004	  0.322

4 	  39.92	   6.43	  -1.58
	  0.505	  0.763	  0.402
	 -0.859	  0.491	  0.145
	 -0.087	 -0.419	  0.904

5 	  38.16	   8.63	   6.73
	  0.037	  0.188	  0.981
	 -0.743	 -0.651	  0.152
	  0.668	 -0.735	  0.116

6 	  42.94	  10.86	  19.51
	  0.485	  0.076	  0.871
	 -0.690	  0.647	  0.325
	 -0.542	 -0.757	  0.366

7 	  38.85	  -8.12	  -1.71
	  0.555	 -0.796	  0.243
	  0.819	  0.472	 -0.325
	  0.144	  0.379	  0.914

8 	  38.34	 -10.62	   8.05
	  0.194	 -0.005	  0.981
	  0.854	 -0.490	 -0.171
	  0.482	  0.871	 -0.091

9 	  43.49	 -11.65	  20.11
	  0.427	  0.006	  0.904
	  0.735	  0.580	 -0.349
	 -0.531	  0.812	  0.243

2 	  32.66	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.26	  -0.72	   1.93
	  0.330	  0.193	  0.924
	 -0.075	  0.981	 -0.179
	 -0.941	 -0.010	  0.337

4 	  39.80	   6.43	  -1.51
	  0.504	  0.764	  0.403
	 -0.860	  0.488	  0.148
	 -0.085	 -0.421	  0.903

5 	  38.09	   8.63	   6.82
	  0.047	  0.185	  0.981
	 -0.744	 -0.649	  0.157
	  0.667	 -0.737	  0.108

6 	  43.08	  10.81	  19.53
	  0.492	  0.057	  0.869
	 -0.666	  0.669	  0.330
	 -0.565	 -0.738	  0.368

7 	  38.71	  -8.12	  -1.62
	  0.560	 -0.793	  0.239
	  0.814	  0.473	 -0.336
	  0.153	  0.383	  0.911

8 	  38.34	 -10.62	   8.12
	  0.209	 -0.007	  0.978
	  0.858	 -0.479	 -0.186
	  0.470	  0.877	 -0.094

9 	  43.68	 -11.64	  20.11
	  0.439	  0.006	  0.898
	  0.715	  0.604	 -0.352
	 -0.549	  0.795	  0.260

2 	  32.66	  -8.35	  22.66
	  0.088	  0.978	 -0.190
	 -0.996	  0.087	 -0.016
	  0.002	  0.190	  0.982

3 	  43.15	  -0.70	   1.99
	  0.339	  0.189	  0.922
	 -0.080	  0.982	 -0.172
	 -0.938	 -0.016	  0.347

4 	  39.73	   6.47	  -1.42
	  0.506	  0.761	  0.405
	 -0.859	  0.488	  0.154
	 -0.081	 -0.427	  0.901

5 	  38.04	   8.65	   6.91
	  0.053	  0.181	  0.982
	 -0.745	 -0.648	  0.159
