2 	  32.61	   5.08	  22.97
	  0.770	 -0.632	 -0.084
	  0.632	  0.774	 -0.036
	  0.087	 -0.025	  0.996

3 	  45.04	  -0.54	   2.23
	  0.422	 -0.188	  0.886
	  0.094	  0.982	  0.163
	 -0.901	  0.014	  0.432

4 	  41.66	   6.50	  -2.06
	  0.741	  0.623	  0.251
	 -0.659	  0.600	  0.454
	  0.133	 -0.502	  0.854

5 	  40.41	   9.49	   9.28
	  0.263	  0.290	  0.920
	 -0.377	 -0.847	  0.375
	  0.888	 -0.446	 -0.114

6 	  45.11	  11.97	  18.58
	  0.257	  0.153	  0.954
	 -0.720	  0.689	  0.083
	 -0.645	 -0.709	  0.287

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.280

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.362
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.94	  30.90
	 -0.309	 -0.018	  0.951
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.59	   5.08	  22.97
	  0.770	 -0.632	 -0.083
	  0.631	  0.775	 -0.036
	  0.087	 -0.025	  0.996

3 	  45.04	  -0.53	   2.27
	  0.419	 -0.187	  0.888
	  0.093	  0.982	  0.163
	 -0.903	  0.014	  0.429

4 	  41.61	   6.49	  -2.06
	  0.734	  0.631	  0.249
	 -0.666	  0.598	  0.447
	  0.133	 -0.494	  0.859

5 	  40.18	   9.67	   9.28
	  0.255	  0.322	  0.911
	 -0.339	 -0.853	  0.396
	  0.905	 -0.410	 -0.109

6 	  44.95	  12.59	  18.33
	  0.283	  0.180	  0.942
	 -0.765	  0.634	  0.109
	 -0.578	 -0.752	  0.317

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.280

8 	  31.34	  -4.45	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.132	  0.144

9 	  30.09	  -4.94	  30.92
	 -0.310	 -0.018	  0.950
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.59	   5.08	  22.97
	  0.770	 -0.632	 -0.084
	  0.631	  0.774	 -0.036
	  0.087	 -0.025	  0.996

3 	  45.02	  -0.47	   2.32
	  0.414	 -0.180	  0.892
	  0.083	  0.984	  0.159
	 -0.906	  0.007	  0.422

4 	  41.54	   6.49	  -2.04
	  0.724	  0.642	  0.252
	 -0.677	  0.590	  0.441
	  0.134	 -0.490	  0.861

5 	  39.94	   9.74	   9.39
	  0.267	  0.347	  0.899
	 -0.291	 -0.860	  0.419
	  0.918	 -0.374	 -0.129

6 	  45.12	  12.76	  18.26
	  0.349	  0.159	  0.923
	 -0.771	  0.609	  0.186
	 -0.533	 -0.777	  0.335

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.280

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.362
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.94	  30.92
	 -0.310	 -0.017	  0.950
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.59	   5.08	  22.97
	  0.770	 -0.632	 -0.083
	  0.631	  0.774	 -0.036
	  0.087	 -0.025	  0.996

3 	  45.00	  -0.46	   2.34
	  0.409	 -0.177	  0.895
	  0.076	  0.984	  0.160
	 -0.909	  0.003	  0.416

4 	  41.50	   6.54	  -1.97
	  0.719	  0.644	  0.262
	 -0.683	  0.584	  0.438
	  0.130	 -0.494	  0.859

5 	  40.01	   9.86	   9.53
	  0.323	  0.369	  0.871
	 -0.269	 -0.847	  0.458
	  0.907	 -0.382	 -0.175

6 	  46.32	  12.52	  17.53
	  0.464	  0.117	  0.878
	 -0.687	  0.673	  0.273
	 -0.560	 -0.730	  0.393

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.835	 -0.511	 -0.201
	  0.451	 -0.847	  0.280

8 	  31.36	  -4.45	  28.34
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.131	  0.143

9 	  30.09	  -4.94	  30.92
	 -0.310	 -0.017	  0.950
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.59	   5.08	  22.97
	  0.771	 -0.632	 -0.083
	  0.631	  0.775	 -0.035
	  0.086	 -0.025	  0.996

3 	  44.96	  -0.44	   2.37
	  0.399	 -0.173	  0.900
	  0.070	  0.985	  0.157
	 -0.914	  0.000	  0.405

4 	  41.54	   6.54	  -1.93
	  0.724	  0.637	  0.263
	 -0.678	  0.587	  0.443
	  0.128	 -0.499	  0.857

5 	  40.64	  10.55	   9.47
	  0.396	  0.421	  0.816
	 -0.258	 -0.802	  0.539
	  0.881	 -0.424	 -0.209

6 	  48.09	  13.01	  16.42
	  0.601	  0.093	  0.793
	 -0.585	  0.728	  0.357
	 -0.545	 -0.679	  0.492

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.279

8 	  31.36	  -4.41	  28.34
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.362
	  0.981	 -0.131	  0.143

9 	  30.09	  -4.94	  30.92
	 -0.309	 -0.017	  0.951
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.59	   5.08	  22.97
	  0.771	 -0.632	 -0.083
	  0.631	  0.775	 -0.035
	  0.086	 -0.025	  0.996

3 	  44.96	  -0.46	   2.44
	  0.389	 -0.165	  0.906
	  0.067	  0.986	  0.151
	 -0.919	  0.001	  0.394

4 	  41.55	   6.50	  -1.88
	  0.734	  0.631	  0.249
	 -0.667	  0.602	  0.439
	  0.128	 -0.489	  0.863

5 	  41.61	  10.83	   9.26
	  0.493	  0.427	  0.758
	 -0.265	 -0.756	  0.598
	  0.828	 -0.496	 -0.260

6 	  50.01	  12.48	  14.84
	  0.720	  0.040	  0.693
	 -0.449	  0.788	  0.421
	 -0.529	 -0.615	  0.585

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.279

8 	  31.36	  -4.43	  28.35
	 -0.085	  0.380	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.131	  0.144

9 	  30.08	  -4.94	  30.90
	 -0.309	 -0.018	  0.951
	  0.104	 -0.994	  0.016
	  0.945	  0.104	  0.309

2 	  32.61	   5.08	  22.97
	  0.770	 -0.632	 -0.084
	  0.631	  0.774	 -0.036
	  0.087	 -0.025	  0.996

3 	  44.98	  -0.47	   2.43
	  0.390	 -0.162	  0.906
	  0.067	  0.987	  0.148
	 -0.918	  0.003	  0.396

4 	  41.57	   6.43	  -1.97
	  0.741	  0.628	  0.236
	 -0.658	  0.613	  0.437
	  0.130	 -0.480	  0.868

5 	  42.71	  10.74	   9.26
	  0.599	  0.399	  0.694
	 -0.232	 -0.743	  0.628
	  0.766	 -0.537	 -0.353

6 	  51.98	  11.87	  13.29
	  0.826	 -0.005	  0.563
	 -0.305	  0.837	  0.455
	 -0.473	 -0.547	  0.690

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.279

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.362
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.94	  30.92
	 -0.310	 -0.017	  0.950
	  0.105	 -0.994	  0.016
	  0.945	  0.105	  0.309

2 	  32.59	   5.08	  22.97
	  0.770	 -0.632	 -0.083
	  0.631	  0.774	 -0.036
	  0.087	 -0.025	  0.996

3 	  44.98	  -0.47	   2.43
	  0.390	 -0.162	  0.906
	  0.068	  0.987	  0.147
	 -0.918	  0.004	  0.396

4 	  41.70	   6.50	  -1.90
	  0.753	  0.611	  0.243
	 -0.647	  0.621	  0.442
	  0.119	 -0.490	  0.863

5 	  43.82	  10.18	   9.56
	  0.691	  0.350	  0.631
	 -0.148	 -0.787	  0.599
	  0.707	 -0.508	 -0.493

6 	  53.44	  10.90	  11.60
	  0.916	 -0.033	  0.398
	 -0.183	  0.852	  0.490
	 -0.356	 -0.522	  0.775

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.847	  0.279

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.362
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.96	  30.92
	 -0.309	 -0.018	  0.951
	  0.104	 -0.994	  0.015
	  0.945	  0.103	  0.309

2 	  32.59	   5.10	  22.97
	  0.771	 -0.632	 -0.083
	  0.631	  0.775	 -0.035
	  0.086	 -0.025	  0.996

3 	  45.00	  -0.40	   2.46
	  0.371	 -0.177	  0.911
	  0.080	  0.984	  0.158
	 -0.925	  0.014	  0.379

4 	  41.99	   6.68	  -1.74
	  0.777	  0.578	  0.248
	 -0.620	  0.636	  0.459
	  0.107	 -0.511	  0.853

5 	  44.82	   9.69	   9.70
	  0.763	  0.265	  0.590
	 -0.156	 -0.810	  0.565
	  0.627	 -0.524	 -0.576

6 	  54.60	   9.65	  10.32
	  0.956	 -0.118	  0.268
	 -0.043	  0.850	  0.525
	 -0.290	 -0.513	  0.807

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.835	 -0.511	 -0.201
	  0.451	 -0.847	  0.280

8 	  31.32	  -4.43	  28.35
	 -0.085	  0.380	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.96	  30.92
	 -0.310	 -0.018	  0.950
	  0.104	 -0.994	  0.015
	  0.945	  0.104	  0.309

2 	  32.59	   5.10	  22.97
	  0.771	 -0.632	 -0.083
	  0.631	  0.775	 -0.036
	  0.087	 -0.025	  0.996

3 	  45.02	  -0.40	   2.53
	  0.370	 -0.188	  0.910
	  0.091	  0.982	  0.165
	 -0.925	  0.022	  0.380

4 	  42.08	   6.66	  -1.74
	  0.800	  0.552	  0.235
	 -0.592	  0.660	  0.463
	  0.100	 -0.510	  0.854

5 	  46.07	   9.44	   9.28
	  0.841	  0.128	  0.525
	 -0.274	 -0.736	  0.619
	  0.466	 -0.664	 -0.585

6 	  55.67	   6.84	   8.56
	  0.933	 -0.319	  0.165
	  0.178	  0.811	  0.557
	 -0.311	 -0.491	  0.813

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.848	  0.279

8 	  31.36	  -4.43	  28.35
