2 	  32.68	  -8.16	  22.96
	  0.041	  0.979	 -0.200
	 -0.999	  0.038	 -0.020
	 -0.012	  0.200	  0.979

3 	  44.19	  -1.65	   2.81
	  0.600	  0.195	  0.776
	 -0.096	  0.980	 -0.172
	 -0.794	  0.029	  0.607

4 	  37.41	   4.32	  -1.28
	  0.532	  0.845	 -0.053
	 -0.758	  0.503	  0.415
	  0.377	 -0.181	  0.908

5 	  38.34	   7.24	  11.14
	  0.336	  0.354	  0.873
	 -0.072	 -0.915	  0.398
	  0.939	 -0.196	 -0.282

6 	  44.09	  10.05	  20.58
	  0.325	  0.057	  0.944
	 -0.440	  0.893	  0.097
	 -0.837	 -0.446	  0.316

7 	  38.04	  -8.33	  -1.49
	  0.392	 -0.903	  0.174
	  0.912	  0.357	 -0.202
	  0.119	  0.238	  0.964

8 	  38.00	 -11.09	  11.04
	  0.306	 -0.198	  0.931
	  0.219	 -0.937	 -0.271
	  0.926	  0.287	 -0.244

9 	  45.05	 -10.58	  19.90
	  0.474	  0.142	  0.869
	  0.081	  0.975	 -0.204
	 -0.877	  0.167	  0.451

2 	  32.68	  -8.16	  22.96
	  0.042	  0.979	 -0.200
	 -0.999	  0.038	 -0.020
	 -0.011	  0.200	  0.979

3 	  44.14	  -1.65	   2.81
	  0.604	  0.196	  0.772
	 -0.094	  0.980	 -0.176
	 -0.792	  0.034	  0.610

4 	  37.35	   4.32	  -1.28
	  0.535	  0.843	 -0.056
	 -0.755	  0.506	  0.417
	  0.380	 -0.181	  0.907

5 	  38.32	   7.24	  11.14
	  0.337	  0.354	  0.872
	 -0.072	 -0.914	  0.398
	  0.939	 -0.197	 -0.282

6 	  44.07	  10.04	  20.58
	  0.325	  0.058	  0.944
	 -0.437	  0.894	  0.095
	 -0.839	 -0.444	  0.315

7 	  37.97	  -8.33	  -1.49
	  0.390	 -0.904	  0.172
	  0.912	  0.354	 -0.206
	  0.125	  0.238	  0.963

8 	  37.97	 -11.09	  11.06
	  0.309	 -0.198	  0.930
	  0.214	 -0.938	 -0.271
	  0.926	  0.283	 -0.248

9 	  45.07	 -10.58	  19.90
	  0.477	  0.141	  0.867
	  0.082	  0.975	 -0.204
	 -0.875	  0.168	  0.454

2 	  32.68	  -8.16	  22.97
	  0.041	  0.979	 -0.200
	 -0.999	  0.038	 -0.020
	 -0.012	  0.201	  0.979

3 	  44.09	  -1.67	   2.81
	  0.607	  0.196	  0.770
	 -0.091	  0.980	 -0.178
	 -0.789	  0.038	  0.612

4 	  37.35	   4.31	  -1.27
	  0.537	  0.841	 -0.058
	 -0.752	  0.509	  0.418
	  0.381	 -0.181	  0.906

5 	  38.32	   7.24	  11.14
	  0.337	  0.354	  0.872
	 -0.072	 -0.914	  0.398
	  0.939	 -0.197	 -0.283

