2 	  32.75	  -6.79	  22.96
	  0.829	  0.555	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  43.88	   0.04	   1.95
	 -0.425	  0.144	 -0.894
	 -0.008	 -0.988	 -0.155
	 -0.905	 -0.059	  0.421

4 	  37.00	   5.98	  -4.55
	  0.535	  0.845	  0.007
	 -0.741	  0.464	  0.484
	  0.406	 -0.265	  0.875

5 	  36.62	   8.05	   8.82
	  0.263	  0.231	  0.937
	  0.086	 -0.973	  0.215
	  0.961	  0.024	 -0.276

6 	  41.52	  10.58	  19.53
	  0.223	 -0.109	  0.969
	 -0.715	  0.657	  0.238
	 -0.662	 -0.746	  0.069

7 	  38.76	  -8.58	  -4.66
	  0.302	 -0.880	  0.365
	  0.949	  0.241	 -0.204
	  0.091	  0.408	  0.908

8 	  37.69	 -10.67	   8.09
	  0.365	 -0.216	  0.905
	  0.110	 -0.956	 -0.272
	  0.924	  0.199	 -0.326

9 	  44.00	 -12.01	  18.05
	  0.243	  0.126	  0.962
	  0.497	  0.835	 -0.235
	 -0.833	  0.535	  0.140

2 	  32.75	  -6.79	  22.94
	  0.829	  0.554	 -0.064
	 -0.555	  0.832	  0.015
	  0.062	  0.023	  0.998

3 	  43.88	   0.04	   1.97
	 -0.424	  0.144	 -0.894
	 -0.008	 -0.988	 -0.155
	 -0.905	 -0.059	  0.420

4 	  37.00	   5.98	  -4.55
	  0.535	  0.845	  0.008
	 -0.741	  0.464	  0.484
	  0.406	 -0.265	  0.875

5 	  36.62	   8.03	   8.81
	  0.263	  0.231	  0.936
	  0.085	 -0.973	  0.216
	  0.961	  0.023	 -0.276

6 	  41.50	  10.58	  19.51
	  0.223	 -0.108	  0.969
	 -0.715	  0.657	  0.238
	 -0.662	 -0.746	  0.069

7 	  38.76	  -8.58	  -4.66
	  0.303	 -0.880	  0.365
	  0.948	  0.242	 -0.204
	  0.091	  0.408	  0.908

8 	  37.69	 -10.67	   8.09
	  0.365	 -0.215	  0.905
	  0.110	 -0.956	 -0.272
	  0.924	  0.199	 -0.325

9 	  44.02	 -12.01	  18.05
	  0.243	  0.126	  0.962
	  0.496	  0.835	 -0.235
	 -0.833	  0.535	  0.140

2 	  32.77	  -6.79	  22.94
	  0.829	  0.555	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  43.88	   0.04	   1.97
	 -0.424	  0.143	 -0.894
	 -0.008	 -0.988	 -0.155
	 -0.906	 -0.059	  0.420

4 	  37.00	   5.99	  -4.57
	  0.534	  0.845	  0.008
	 -0.741	  0.464	  0.484
	  0.405	 -0.265	  0.875

5 	  36.62	   8.05	   8.81
	  0.263	  0.231	  0.937
	  0.085	 -0.973	  0.216
	  0.961	  0.023	 -0.276

6 	  41.50	  10.58	  19.51
	  0.223	 -0.109	  0.969
	 -0.715	  0.657	  0.238
	 -0.663	 -0.746	  0.069

7 	  38.78	  -8.60	  -4.66
	  0.304	 -0.880	  0.364
	  0.948	  0.243	 -0.204
	  0.090	  0.407	  0.909

8 	  37.71	 -10.67	   8.07
	  0.366	 -0.215	  0.905
	  0.112	 -0.956	 -0.272
