2 	  33.42	  -6.64	  22.76
	 -0.237	  0.971	 -0.041
	 -0.972	 -0.236	  0.006
	 -0.002	  0.040	  0.999

3 	  35.24	  -0.79	   2.48
	  0.172	  0.032	 -0.984
	 -0.135	  0.991	  0.009
	  0.976	  0.131	  0.175

4 	  38.81	   6.52	   0.14
	  0.845	  0.528	  0.083
	 -0.423	  0.564	  0.709
	  0.328	 -0.634	  0.700

5 	  38.53	   8.31	  10.99
	 -0.260	 -0.222	 -0.940
	  0.027	  0.971	 -0.236
	  0.965	 -0.086	 -0.247

6 	  45.09	  10.62	  19.23
	  0.472	 -0.096	  0.876
	 -0.632	  0.658	  0.409
	 -0.619	 -0.745	  0.249

7 	  38.41	  -6.54	  -0.60
	  0.738	 -0.671	 -0.070
	  0.417	  0.536	 -0.734
	  0.531	  0.512	  0.675

8 	  39.08	  -9.46	   9.88
	 -0.274	  0.346	 -0.897
	 -0.117	  0.914	  0.387
	  0.955	  0.210	 -0.210

9 	  46.34	 -10.86	  18.23
	  0.380	  0.082	  0.921
	  0.296	  0.933	 -0.205
	 -0.877	  0.350	  0.329

2 	  33.42	  -6.66	  22.76
	 -0.236	  0.971	 -0.041
	 -0.972	 -0.235	  0.006
	 -0.003	  0.040	  0.999

3 	  35.24	  -0.79	   2.48
	  0.173	  0.032	 -0.984
	 -0.133	  0.991	  0.009
	  0.976	  0.129	  0.176

4 	  38.81	   6.50	   0.12
	  0.846	  0.526	  0.084
	 -0.422	  0.564	  0.709
	  0.326	 -0.636	  0.699

5 	  38.58	   8.35	  10.99
	 -0.266	 -0.225	 -0.937
	  0.034	  0.970	 -0.241
	  0.963	 -0.096	 -0.250

6 	  45.19	  10.63	  19.21
	  0.475	 -0.094	  0.874
	 -0.626	  0.664	  0.408
	 -0.622	 -0.739	  0.257

7 	  38.41	  -6.56	  -0.58
	  0.739	 -0.670	 -0.066
	  0.418	  0.533	 -0.735
	  0.528	  0.516	  0.674

8 	  39.29	  -9.60	   9.88
	 -0.297	  0.351	 -0.888
	 -0.124	  0.908	  0.400
	  0.947	  0.228	 -0.226

9 	  46.78	 -10.99	  17.95
