2 	  32.70	  -7.37	  22.73
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.012
	  0.004	  0.029	  0.999

3 	  44.07	  -1.16	   1.02
	  0.541	 -0.122	  0.832
	 -0.013	  0.988	  0.153
	 -0.841	 -0.094	  0.533

4 	  37.49	   5.01	  -4.01
	  0.354	  0.935	  0.022
	 -0.711	  0.252	  0.656
	  0.609	 -0.248	  0.754

5 	  44.31	   8.46	   5.64
	  0.803	  0.016	  0.596
	 -0.563	 -0.309	  0.766
	  0.197	 -0.951	 -0.239

6 	  47.18	  -1.79	   2.94
	 -0.005	 -0.933	 -0.360
	  0.917	 -0.148	  0.371
	 -0.400	 -0.328	  0.856

7 	  38.20	  -8.14	  -3.88
	  0.569	 -0.816	 -0.102
	  0.650	  0.521	 -0.552
	  0.504	  0.247	  0.827

8 	  47.43	 -10.60	   3.46
	  0.954	  0.155	  0.257
	  0.298	 -0.366	 -0.881
	 -0.043	  0.918	 -0.394

9 	  48.62	   0.07	   1.56
	 -0.247	  0.957	 -0.155
	 -0.754	 -0.288	 -0.591
	 -0.610	 -0.028	  0.791

2 	  32.70	  -7.37	  22.75
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.012
	  0.004	  0.029	  0.999

3 	  44.09	  -1.21	   1.04
	  0.537	 -0.117	  0.835
	 -0.016	  0.989	  0.148
	 -0.843	 -0.093	  0.529

4 	  37.51	   4.94	  -4.04
	  0.349	  0.937	  0.019
	 -0.714	  0.253	  0.653
	  0.608	 -0.241	  0.756

5 	  44.26	   8.42	   5.66
	  0.800	  0.020	  0.599
	 -0.564	 -0.315	  0.763
	  0.204	 -0.949	 -0.241

6 	  47.18	  -1.79	   2.97
	  0.000	 -0.933	 -0.359
	  0.917	 -0.143	  0.373
	 -0.400	 -0.330	  0.855

7 	  38.23	  -8.14	  -3.87
	  0.571	 -0.815	 -0.102
	  0.650	  0.523	 -0.551
	  0.503	  0.248	  0.828

8 	  47.44	 -10.60	   3.48
	  0.953	  0.157	  0.256
	  0.298	 -0.369	 -0.880
	 -0.045	  0.916	 -0.397

9 	  48.60	   0.09	   1.56
	 -0.255	  0.955	 -0.152
	 -0.753	 -0.292	 -0.590
	 -0.609	 -0.034	  0.792

2 	  32.68	  -7.37	  22.73
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.012
	  0.004	  0.029	  0.999

3 	  44.07	  -1.20	   1.05
	  0.536	 -0.119	  0.836
	 -0.020	  0.988	  0.152
	 -0.844	 -0.098	  0.526

4 	  37.48	   4.96	  -4.04
	  0.345	  0.938	  0.018
	 -0.713	  0.249	  0.655
	  0.611	 -0.238	  0.755

5 	  44.23	   8.44	   5.71
	  0.799	  0.020	  0.601
	 -0.564	 -0.321	  0.760
	  0.208	 -0.947	 -0.245

6 	  47.18	  -1.78	   2.95
	  0.005	 -0.931	 -0.364
	  0.918	 -0.140	  0.371
	 -0.397	 -0.336	  0.854

7 	  38.23	  -8.10	  -3.92
	  0.572	 -0.813	 -0.111
	  0.646	  0.529	 -0.550
	  0.507	  0.243	  0.827

8 	  47.50	 -10.55	   3.34
	  0.953	  0.160	  0.255
	  0.298	 -0.357	 -0.885
	 -0.052	  0.921	 -0.387

9 	  48.59	   0.14	   1.55
	 -0.259	  0.955	 -0.145
	 -0.753	 -0.292	 -0.590
	 -0.607	 -0.041	  0.793

2 	  32.70	  -7.37	  22.71
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.012
	  0.004	  0.030	  0.999

3 	  44.09	  -1.16	   1.02
	  0.538	 -0.121	  0.834
	 -0.022	  0.987	  0.157
	 -0.843	 -0.103	  0.528

4 	  37.48	   4.97	  -4.04
	  0.343	  0.939	  0.017
	 -0.713	  0.248	  0.656
	  0.613	 -0.237	  0.754

5 	  44.23	   8.44	   5.70
	  0.800	  0.018	  0.600
	 -0.563	 -0.323	  0.760
	  0.208	 -0.946	 -0.248

6 	  47.20	  -1.74	   2.92
	  0.008	 -0.931	 -0.366
	  0.918	 -0.138	  0.371
	 -0.396	 -0.339	  0.853

7 	  38.29	  -8.07	  -3.96
	  0.573	 -0.812	 -0.114
	  0.644	  0.531	 -0.550
	  0.508	  0.241	  0.827

8 	  47.51	 -10.53	   3.32
	  0.953	  0.161	  0.256
	  0.298	 -0.356	 -0.886
	 -0.053	  0.921	 -0.386

9 	  48.66	   0.19	   1.51
	 -0.257	  0.956	 -0.144
	 -0.747	 -0.289	 -0.598
	 -0.614	 -0.044	  0.788

2 	  32.70	  -7.37	  22.75
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.013
	  0.003	  0.030	  0.999

3 	  44.12	  -1.12	   0.97
	  0.542	 -0.120	  0.831
	 -0.025	  0.987	  0.159
	 -0.840	 -0.107	  0.532

4 	  37.48	   4.99	  -4.06
	  0.339	  0.940	  0.016
	 -0.712	  0.244	  0.658
	  0.616	 -0.235	  0.752

5 	  44.23	   8.44	   5.66
	  0.802	  0.015	  0.596
	 -0.560	 -0.326	  0.761
	  0.206	 -0.945	 -0.253

6 	  47.32	  -1.67	   2.79
	  0.001	 -0.931	 -0.365
	  0.919	 -0.143	  0.368
	 -0.395	 -0.335	  0.855

7 	  38.34	  -8.07	  -3.99
	  0.572	 -0.813	 -0.106
	  0.646	  0.526	 -0.552
	  0.506	  0.248	  0.826

8 	  47.37	 -10.53	   3.69
	  0.953	  0.143	  0.264
	  0.300	 -0.410	 -0.861
	 -0.016	  0.901	 -0.433

9 	  49.36	  -0.11	   1.14
	 -0.151	  0.961	 -0.230
	 -0.751	 -0.261	 -0.606
	 -0.643	  0.082	  0.761

2 	  32.68	  -7.37	  22.73
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.013
	  0.004	  0.030	  0.999

3 	  44.14	  -1.05	   0.91
	  0.555	 -0.117	  0.823
	 -0.036	  0.986	  0.164
	 -0.831	 -0.120	  0.543

4 	  37.42	   5.06	  -4.01
	  0.324	  0.945	  0.030
	 -0.722	  0.226	  0.653
	  0.612	 -0.233	  0.756

5 	  43.61	   8.35	   6.06
	  0.786	  0.005	  0.617
	 -0.559	 -0.418	  0.716
	  0.262	 -0.908	 -0.326

6 	  47.71	  -0.81	   2.23
	  0.053	 -0.878	 -0.475
	  0.915	 -0.147	  0.374
	 -0.399	 -0.454	  0.796

7 	  38.37	  -8.19	  -3.81
	  0.542	 -0.839	 -0.039
	  0.692	  0.471	 -0.547
	  0.478	  0.270	  0.836

8 	  46.39	 -10.42	   5.31
	  0.949	  0.071	  0.306
	  0.283	 -0.622	 -0.730
	  0.138	  0.780	 -0.610

9 	  50.92	  -1.90	   0.58
	  0.166	  0.848	 -0.502
	 -0.736	 -0.235	 -0.635
	 -0.658	  0.472	  0.586

2 	  32.70	  -7.37	  22.73
	  0.516	  0.856	 -0.027
	 -0.857	  0.515	 -0.013
	  0.004	  0.030	  0.999

3 	  44.19	  -0.97	   0.95
	  0.575	 -0.107	  0.811
	 -0.021	  0.989	  0.145
	 -0.818	 -0.100	  0.566

4 	  37.41	   5.17	  -3.83
	  0.286	  0.955	  0.076
	 -0.747	  0.172	  0.641
	  0.600	 -0.240	  0.763

5 	  42.77	   8.09	   6.82
	  0.777	  0.030	  0.629
	 -0.495	 -0.589	  0.639
	  0.390	 -0.807	 -0.443

6 	  47.88	   1.25	   1.11
	  0.181	 -0.697	 -0.694
	  0.965	 -0.010	  0.262
	 -0.190	 -0.717	  0.671

7 	  38.48	  -8.35	  -3.59
	  0.508	 -0.860	  0.043
	  0.746	  0.413	 -0.522
	  0.432	  0.297	  0.851

8 	  45.28	  -9.90	   6.86
	  0.913	  0.067	  0.402
	  0.302	 -0.776	 -0.554
	  0.275	  0.627	 -0.729

9 	  51.01	  -3.64	   0.79
	  0.327	  0.631	 -0.703
	 -0.766	 -0.263	 -0.587
	 -0.560	  0.727	  0.399

2 	  32.70	  -7.38	  22.73
	  0.516	  0.856	 -0.026
	 -0.857	  0.515	 -0.012
	  0.004	  0.029	  0.999

3 	  44.17	  -0.90	   0.98
	  0.586	 -0.102	  0.804
	 -0.019	  0.990	  0.139
	 -0.810	 -0.097	  0.578

4 	  37.21	   5.26	  -3.64
	  0.218	  0.968	  0.120
	 -0.787	  0.101	  0.609
	  0.578	 -0.227	  0.784

5 	  41.54	   7.98	   7.61
	  0.764	  0.122	  0.633
	 -0.331	 -0.769	  0.546
	  0.556	 -0.626	 -0.547

6 	  47.55	   4.22	   0.60
	  0.292	 -0.461	 -0.838
	  0.955	  0.104	  0.276
	 -0.041	 -0.881	  0.471

7 	  38.36	  -8.42	  -3.39
	  0.472	 -0.876	  0.102
	  0.777	  0.358	 -0.517
