2 	  32.82	  -8.17	  22.73
	  0.841	  0.539	 -0.024
	 -0.541	  0.839	 -0.044
	 -0.003	  0.050	  0.998

3 	  43.59	  -0.81	   2.20
	  0.332	  0.242	  0.911
	 -0.161	  0.966	 -0.199
	 -0.930	 -0.081	  0.359

4 	  39.90	   5.01	  -3.45
	  0.745	  0.650	 -0.150
	 -0.631	  0.759	  0.159
	  0.218	 -0.024	  0.975

5 	  42.43	   9.83	   2.25
	  0.598	  0.545	  0.588
	 -0.596	 -0.192	  0.779
	  0.540	 -0.815	  0.209

6 	  47.43	   3.06	   2.90
	 -0.105	 -0.977	 -0.186
	  0.992	 -0.116	  0.051
	 -0.071	 -0.179	  0.981

7 	  38.23	  -6.80	  -3.15
	  0.679	 -0.711	 -0.183
	  0.626	  0.691	 -0.360
	  0.383	  0.129	  0.914

8 	  43.38	 -11.94	   0.83
	  0.797	 -0.539	  0.270
	  0.344	  0.038	 -0.938
	  0.496	  0.841	  0.215

9 	  47.36	  -3.23	   1.95
	 -0.106	  0.984	  0.143
	 -0.994	 -0.109	  0.015
	  0.031	 -0.141	  0.989

2 	  32.84	  -8.17	  22.75
	  0.841	  0.539	 -0.023
	 -0.541	  0.840	 -0.044
	 -0.003	  0.049	  0.999

3 	  43.59	  -0.79	   2.20
	  0.333	  0.242	  0.911
	 -0.165	  0.966	 -0.198
	 -0.929	 -0.084	  0.361

4 	  39.88	   5.03	  -3.43
	  0.744	  0.652	 -0.148
	 -0.633	  0.757	  0.159
	  0.217	 -0.025	  0.976

5 	  42.40	   9.79	   2.30
	  0.594	  0.541	  0.595
	 -0.600	 -0.198	  0.775
	  0.540	 -0.816	  0.206

6 	  47.41	   3.08	   2.90
	 -0.101	 -0.976	 -0.194
	  0.992	 -0.113	  0.050
	 -0.071	 -0.187	  0.980

7 	  38.23	  -6.80	  -3.15
	  0.678	 -0.711	 -0.184
	  0.627	  0.691	 -0.360
	  0.384	  0.129	  0.914

8 	  43.38	 -11.92	   0.83
	  0.798	 -0.539	  0.270
	  0.344	  0.038	 -0.938
	  0.495	  0.841	  0.215

9 	  47.36	  -3.22	   1.95
	 -0.107	  0.984	  0.144
	 -0.994	 -0.110	  0.014
	  0.029	 -0.141	  0.989

2 	  32.82	  -8.17	  22.73
	  0.841	  0.540	 -0.024
	 -0.541	  0.839	 -0.044
	 -0.002	  0.050	  0.998

3 	  43.59	  -0.79	   2.18
	  0.334	  0.240	  0.911
	 -0.167	  0.967	 -0.194
	 -0.928	 -0.087	  0.362

4 	  39.88	   5.03	  -3.43
	  0.743	  0.652	 -0.147
	 -0.633	  0.757	  0.160
	  0.216	 -0.026	  0.976

5 	  42.40	   9.79	   2.30
	  0.594	  0.541	  0.595
	 -0.600	 -0.198	  0.775
	  0.540	 -0.816	  0.206

6 	  47.41	   3.09	   2.90
	 -0.101	 -0.976	 -0.193
	  0.992	 -0.113	  0.054
	 -0.075	 -0.186	  0.979

7 	  38.21	  -6.79	  -3.16
	  0.679	 -0.710	 -0.186
	  0.625	  0.692	 -0.360
	  0.385	  0.128	  0.914

8 	  43.38	 -11.90	   0.83
	  0.798	 -0.538	  0.270
	  0.344	  0.039	 -0.938
	  0.494	  0.842	  0.215

9 	  47.37	  -3.22	   1.90
	 -0.105	  0.984	  0.140
	 -0.994	 -0.108	  0.016
	  0.030	 -0.138	  0.990

2 	  32.80	  -8.17	  22.73
	  0.841	  0.540	 -0.024
	 -0.542	  0.839	 -0.044
	 -0.002	  0.049	  0.998

3 	  43.58	  -0.79	   2.14
	  0.337	  0.244	  0.909
	 -0.164	  0.966	 -0.200
	 -0.927	 -0.082	  0.365

4 	  39.78	   5.04	  -3.46
	  0.741	  0.653	 -0.156
	 -0.632	  0.756	  0.167
	  0.227	 -0.026	  0.973

5 	  42.35	   9.79	   2.27
	  0.600	  0.542	  0.588
	 -0.591	 -0.199	  0.782
	  0.544	 -0.815	  0.200

6 	  47.41	   3.13	   2.78
	 -0.100	 -0.976	 -0.194
	  0.993	 -0.111	  0.044
	 -0.065	 -0.189	  0.980

7 	  38.09	  -6.79	  -3.18
	  0.676	 -0.710	 -0.198
	  0.623	  0.693	 -0.361
	  0.394	  0.121	  0.911

8 	  43.31	 -11.90	   0.76
	  0.800	 -0.540	  0.262
	  0.332	  0.034	 -0.943
	  0.500	  0.841	  0.206

9 	  47.36	  -3.23	   1.71
