2 	  32.75	  -6.82	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.004	  0.034	  0.999

3 	  42.15	  -0.67	   1.42
	  0.467	  0.185	  0.865
	 -0.141	  0.981	 -0.134
	 -0.873	 -0.059	  0.484

4 	  37.25	   7.24	  -3.25
	  0.392	  0.894	  0.216
	 -0.885	  0.303	  0.353
	  0.250	 -0.330	  0.910

5 	  37.60	   8.16	  10.28
	  0.391	  0.177	  0.903
	 -0.083	 -0.970	  0.227
	  0.917	 -0.164	 -0.365

6 	  44.70	   9.83	  19.62
	  0.506	 -0.134	  0.852
	 -0.757	  0.405	  0.513
	 -0.414	 -0.904	  0.104

7 	  37.99	  -8.89	  -3.29
	  0.260	 -0.910	  0.322
	  0.965	  0.245	 -0.088
	  0.001	  0.333	  0.943

8 	  36.79	  -9.56	   9.84
	  0.207	 -0.132	  0.969
	 -0.091	 -0.989	 -0.115
	  0.974	 -0.065	 -0.217

9 	  43.40	 -11.99	  19.79
	  0.427	  0.048	  0.903
	  0.858	  0.294	 -0.421
	 -0.286	  0.954	  0.084

2 	  32.73	  -6.84	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.003	  0.034	  0.999

3 	  42.15	  -0.67	   1.42
	  0.471	  0.185	  0.862
	 -0.143	  0.980	 -0.132
	 -0.870	 -0.061	  0.489

4 	  37.27	   7.24	  -3.27
	  0.394	  0.894	  0.214
	 -0.883	  0.304	  0.356
	  0.253	 -0.330	  0.909

5 	  37.63	   8.17	  10.23
	  0.390	  0.177	  0.903
	 -0.086	 -0.970	  0.227
	  0.917	 -0.167	 -0.363

6 	  44.68	   9.84	  19.60
	  0.503	 -0.133	  0.854
	 -0.758	  0.408	  0.509
	 -0.417	 -0.903	  0.104

7 	  38.11	  -8.93	  -3.36
	  0.264	 -0.909	  0.321
	  0.964	  0.250	 -0.087
	 -0.001	  0.333	  0.943

8 	  36.83	  -9.56	   9.79
	  0.203	 -0.130	  0.970
	 -0.088	 -0.989	 -0.115
	  0.975	 -0.062	 -0.212

9 	  43.38	 -12.04	  19.79
	  0.421	  0.047	  0.906
	  0.860	  0.294	 -0.416
	 -0.286	  0.954	  0.083

2 	  32.73	  -6.82	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.003	  0.034	  0.999

3 	  42.15	  -0.65	   1.42
	  0.472	  0.186	  0.861
	 -0.145	  0.980	 -0.133
	 -0.870	 -0.062	  0.490

4 	  37.32	   7.26	  -3.34
	  0.397	  0.893	  0.209
	 -0.881	  0.308	  0.357
	  0.255	 -0.327	  0.910

5 	  37.67	   8.19	  10.20
	  0.386	  0.176	  0.905
	 -0.092	 -0.969	  0.228
	  0.917	 -0.171	 -0.359

6 	  44.68	   9.83	  19.62
	  0.497	 -0.134	  0.857
	 -0.758	  0.414	  0.504
	 -0.422	 -0.900	  0.104

7 	  38.20	  -8.93	  -3.39
	  0.266	 -0.909	  0.320
	  0.964	  0.253	 -0.083
	 -0.005	  0.331	  0.943

8 	  36.88	  -9.58	   9.76
	  0.201	 -0.130	  0.971
	 -0.086	 -0.990	 -0.115
	  0.976	 -0.060	 -0.210

9 	  43.40	 -12.06	  19.76
	  0.419	  0.047	  0.907
	  0.861	  0.295	 -0.413
	 -0.287	  0.954	  0.083

2 	  32.71	  -6.84	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.003	  0.034	  0.999

3 	  42.15	  -0.65	   1.44
	  0.471	  0.187	  0.862
	 -0.146	  0.980	 -0.133
	 -0.870	 -0.063	  0.489

4 	  37.32	   7.24	  -3.34
	  0.397	  0.894	  0.208
	 -0.882	  0.308	  0.357
	  0.255	 -0.326	  0.910

5 	  37.65	   8.19	  10.18
	  0.387	  0.176	  0.905
	 -0.092	 -0.969	  0.228
	  0.917	 -0.171	 -0.359

6 	  44.68	   9.83	  19.62
	  0.497	 -0.135	  0.857
	 -0.758	  0.413	  0.505
	 -0.422	 -0.901	  0.103

7 	  38.20	  -8.95	  -3.41
	  0.266	 -0.909	  0.320
	  0.964	  0.253	 -0.083
	 -0.005	  0.330	  0.944

8 	  36.88	  -9.58	   9.76
	  0.200	 -0.129	  0.971
	 -0.086	 -0.990	 -0.114
	  0.976	 -0.061	 -0.209

9 	  43.40	 -12.04	  19.76
	  0.418	  0.047	  0.907
	  0.861	  0.295	 -0.413
	 -0.288	  0.954	  0.083

2 	  32.73	  -6.82	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.004	  0.034	  0.999

3 	  42.15	  -0.67	   1.46
	  0.468	  0.189	  0.863
	 -0.148	  0.980	 -0.135
	 -0.871	 -0.065	  0.486

4 	  37.32	   7.24	  -3.32
	  0.396	  0.894	  0.208
	 -0.882	  0.308	  0.356
	  0.254	 -0.325	  0.911

5 	  37.65	   8.19	  10.20
	  0.387	  0.176	  0.905
	 -0.092	 -0.969	  0.228
	  0.917	 -0.171	 -0.359

6 	  44.68	   9.83	  19.62
	  0.498	 -0.135	  0.856
	 -0.758	  0.412	  0.505
	 -0.421	 -0.901	  0.103

7 	  38.20	  -8.93	  -3.39
	  0.266	 -0.909	  0.320
	  0.964	  0.253	 -0.082
	 -0.006	  0.330	  0.944

8 	  36.88	  -9.58	   9.76
	  0.200	 -0.129	  0.971
	 -0.086	 -0.990	 -0.114
	  0.976	 -0.061	 -0.209

9 	  43.42	 -12.02	  19.78
	  0.418	  0.048	  0.907
	  0.861	  0.296	 -0.413
	 -0.289	  0.954	  0.082

2 	  32.71	  -6.82	  22.99
	  0.522	  0.852	 -0.031
	 -0.853	  0.521	 -0.015
	  0.003	  0.034	  0.999

3 	  42.13	  -0.65	   1.48
	  0.465	  0.191	  0.864
	 -0.149	  0.979	 -0.136
	 -0.873	 -0.066	  0.484

