2 	  33.47	  -6.59	  22.76
	  0.106	  0.994	 -0.034
	 -0.994	  0.107	  0.004
	  0.008	  0.032	  0.999

3 	  35.26	  -0.93	   2.62
	  0.165	  0.030	 -0.986
	 -0.149	  0.989	  0.005
	  0.975	  0.146	  0.168

4 	  38.34	   6.17	  -0.18
	  0.844	  0.536	 -0.017
	 -0.398	  0.646	  0.651
	  0.361	 -0.543	  0.758

5 	  40.01	   8.44	  10.99
	 -0.586	 -0.066	 -0.808
	  0.182	  0.960	 -0.210
	  0.790	 -0.269	 -0.550

6 	  49.15	   4.62	  10.21
	  0.683	 -0.697	 -0.218
	  0.203	 -0.111	  0.973
	 -0.705	 -0.707	  0.062

7 	  37.99	  -6.57	  -0.63
	  0.708	 -0.699	 -0.102
	  0.428	  0.539	 -0.725
	  0.562	  0.469	  0.680

8 	  41.12	  -9.47	  10.05
	 -0.697	  0.135	 -0.704
	 -0.135	  0.940	  0.313
	  0.704	  0.312	 -0.638

9 	  48.83	  -4.34	   6.26
	  0.481	  0.761	 -0.434
	 -0.558	 -0.120	 -0.821
	 -0.681	  0.635	  0.366

2 	  33.45	  -6.59	  22.76
	  0.106	  0.994	 -0.034
	 -0.994	  0.107	  0.004
	  0.008	  0.032	  0.999

3 	  35.26	  -0.93	   2.60
	  0.164	  0.030	 -0.986
	 -0.149	  0.989	  0.005
	  0.975	  0.146	  0.167

4 	  38.32	   6.15	  -0.16
	  0.845	  0.535	 -0.015
	 -0.398	  0.646	  0.651
	  0.358	 -0.544	  0.759

5 	  39.96	   8.40	  10.99
	 -0.586	 -0.071	 -0.807
	  0.175	  0.962	 -0.210
	  0.792	 -0.263	 -0.551

6 	  49.13	   4.62	  10.20
	  0.685	 -0.692	 -0.227
	  0.213	 -0.113	  0.970
	 -0.699	 -0.711	  0.068

7 	  37.99	  -6.57	  -0.63
	  0.707	 -0.699	 -0.102
	  0.428	  0.538	 -0.726
	  0.563	  0.470	  0.680

8 	  41.12	  -9.44	  10.05
	 -0.697	  0.135	 -0.704
	 -0.135	  0.940	  0.313
	  0.705	  0.311	 -0.638

9 	  48.81	  -4.34	   6.24
	  0.484	  0.757	 -0.438
	 -0.564	 -0.119	 -0.818
	 -0.675	  0.640	  0.368

2 	  33.45	  -6.59	  22.76
	  0.106	  0.994	 -0.034
	 -0.994	  0.107	  0.004
	  0.008	  0.032	  0.999

3 	  35.26	  -0.95	   2.60
	  0.164	  0.028	 -0.986
	 -0.149	  0.989	  0.004
	  0.975	  0.146	  0.166

4 	  38.32	   6.15	  -0.18
	  0.845	  0.534	 -0.014
	 -0.399	  0.647	  0.650
	  0.357	 -0.544	  0.759

5 	  39.96	   8.40	  11.00
	 -0.585	 -0.071	 -0.808
	  0.175	  0.962	 -0.210
	  0.792	 -0.263	 -0.550

6 	  49.13	   4.64	  10.18
	  0.685	 -0.692	 -0.227
	  0.216	 -0.111	  0.970
	 -0.699	 -0.712	  0.070

7 	  37.97	  -6.57	  -0.62
	  0.707	 -0.700	 -0.101
	  0.429	  0.538	 -0.726
	  0.562	  0.470	  0.680

8 	  41.10	  -9.44	  10.07
	 -0.697	  0.135	 -0.704
	 -0.134	  0.940	  0.312
	  0.705	  0.310	 -0.637

9 	  48.83	  -4.36	   6.24
	  0.483	  0.757	 -0.439
	 -0.564	 -0.119	 -0.817
	 -0.674	  0.640	  0.369

2 	  33.45	  -6.59	  22.76
	  0.106	  0.994	 -0.034
	 -0.994	  0.107	  0.004
	  0.008	  0.033	  0.999

3 	  35.26	  -0.95	   2.60
	  0.164	  0.028	 -0.986
	 -0.149	  0.989	  0.004
	  0.975	  0.146	  0.166

4 	  38.30	   6.15	  -0.18
	  0.845	  0.535	 -0.014
	 -0.399	  0.647	  0.650
	  0.357	 -0.544	  0.759

5 	  39.96	   8.40	  11.00
	 -0.587	 -0.071	 -0.807
	  0.176	  0.961	 -0.211
	  0.791	 -0.264	 -0.551

6 	  49.13	   4.66	  10.18
	  0.684	 -0.692	 -0.228
	  0.218	 -0.110	  0.970
	 -0.699	 -0.712	  0.073

7 	  37.97	  -6.57	  -0.62
	  0.707	 -0.699	 -0.101
	  0.429	  0.538	 -0.726
	  0.562	  0.470	  0.680

8 	  41.10	  -9.44	  10.05
	 -0.698	  0.135	 -0.703
	 -0.134	  0.940	  0.313
	  0.704	  0.311	 -0.638

