2 	  33.13	  -8.38	  22.69
	  0.263	  0.946	 -0.187
	 -0.965	  0.258	 -0.055
	 -0.004	  0.194	  0.981

3 	  45.63	  -0.04	   0.07
	  0.534	  0.133	  0.835
	 -0.089	  0.991	 -0.102
	 -0.841	 -0.020	  0.541

4 	  41.31	   7.49	  -4.45
	  0.531	  0.845	  0.055
	 -0.721	  0.415	  0.555
	  0.448	 -0.334	  0.829

5 	  46.97	  10.28	   5.17
	  0.540	  0.454	  0.709
	  0.648	 -0.761	 -0.002
	  0.541	  0.460	 -0.704

6 	  52.91	  12.16	  -2.50
	  0.593	 -0.060	 -0.803
	  0.644	  0.635	  0.426
	  0.488	 -0.768	  0.413

7 	  39.80	  -6.82	  -4.92
	  0.502	 -0.859	 -0.100
	  0.687	  0.466	 -0.557
	  0.526	  0.210	  0.824

8 	  45.65	 -10.25	   6.13
	  0.675	 -0.172	  0.717
	  0.578	 -0.482	 -0.659
	  0.460	  0.858	 -0.226

9 	  54.05	  -8.84	  12.06
	  0.740	  0.034	  0.672
	  0.165	  0.959	 -0.231
	 -0.652	  0.282	  0.703

2 	  33.13	  -8.38	  22.69
	  0.264	  0.946	 -0.187
	 -0.965	  0.258	 -0.056
	 -0.004	  0.194	  0.981

3 	  45.65	  -0.04	   0.07
	  0.534	  0.133	  0.835
	 -0.088	  0.991	 -0.103
	 -0.841	 -0.019	  0.540

4 	  41.29	   7.51	  -4.43
	  0.531	  0.846	  0.055
	 -0.721	  0.415	  0.554
	  0.448	 -0.334	  0.829

5 	  46.95	  10.28	   5.17
	  0.540	  0.454	  0.709
	  0.648	 -0.761	 -0.002
	  0.541	  0.459	 -0.704

6 	  52.91	  12.16	  -2.50
	  0.593	 -0.061	 -0.803
	  0.644	  0.635	  0.426
	  0.488	 -0.768	  0.413

7 	  39.80	  -6.80	  -4.90
	  0.502	 -0.859	 -0.099
	  0.688	  0.465	 -0.556
	  0.525	  0.210	  0.824

8 	  45.63	 -10.25	   6.15
	  0.676	 -0.172	  0.717
	  0.577	 -0.483	 -0.658
	  0.461	  0.858	 -0.227

9 	  54.05	  -8.84	  12.06
	  0.740	  0.034	  0.671
	  0.166	  0.958	 -0.232
	 -0.651	  0.283	  0.704

2 	  33.12	  -8.37	  22.69
	  0.264	  0.946	 -0.187
	 -0.965	  0.258	 -0.056
	 -0.004	  0.194	  0.981

3 	  45.60	  -0.04	   0.12
	  0.528	  0.136	  0.838
	 -0.089	  0.990	 -0.105
	 -0.845	 -0.019	  0.534

4 	  41.29	   7.49	  -4.41
	  0.533	  0.844	  0.054
	 -0.719	  0.417	  0.555
	  0.448	 -0.334	  0.829

5 	  46.95	  10.28	   5.19
	  0.540	  0.454	  0.709
	  0.648	 -0.762	 -0.002
	  0.541	  0.459	 -0.704

6 	  52.91	  12.16	  -2.50
	  0.593	 -0.061	 -0.803
	  0.645	  0.635	  0.426
	  0.488	 -0.769	  0.413

7 	  39.78	  -6.80	  -4.87
	  0.500	 -0.860	 -0.098
	  0.691	  0.463	 -0.555
	  0.524	  0.209	  0.825

8 	  45.62	 -10.23	   6.17
	  0.677	 -0.173	  0.715
	  0.574	 -0.486	 -0.659
	  0.463	  0.856	 -0.230

9 	  54.05	  -8.84	  12.08
	  0.742	  0.033	  0.669
	  0.167	  0.958	 -0.233
	 -0.649	  0.285	  0.705

2 	  33.12	  -8.37	  22.69
	  0.264	  0.946	 -0.187
	 -0.965	  0.258	 -0.056
	 -0.004	  0.194	  0.981

3 	  45.58	  -0.04	   0.14
	  0.526	  0.136	  0.839
	 -0.090	  0.990	 -0.106
	 -0.846	 -0.020	  0.533

4 	  41.31	   7.49	  -4.41
	  0.533	  0.844	  0.054
	 -0.719	  0.417	  0.555
	  0.447	 -0.334	  0.829

5 	  46.95	  10.28	   5.19
	  0.540	  0.454	  0.708
	  0.648	 -0.762	 -0.002
	  0.541	  0.459	 -0.704

6 	  52.89	  12.16	  -2.50
	  0.593	 -0.061	 -0.803
	  0.645	  0.635	  0.426
	  0.488	 -0.769	  0.413

7 	  39.76	  -6.79	  -4.85
	  0.499	 -0.861	 -0.097
	  0.692	  0.462	 -0.554
	  0.523	  0.209	  0.826

8 	  45.60	 -10.23	   6.19
	  0.677	 -0.173	  0.715
	  0.573	 -0.487	 -0.659
	  0.464	  0.855	 -0.231

9 	  54.04	  -8.84	  12.08
	  0.743	  0.033	  0.668
	  0.168	  0.957	 -0.234
	 -0.647	  0.286	  0.706

2 	  33.12	  -8.38	  22.69
	  0.264	  0.946	 -0.187
	 -0.965	  0.258	 -0.056
	 -0.004	  0.194	  0.981

3 	  45.58	  -0.04	   0.16
	  0.525	  0.137	  0.840
	 -0.089	  0.990	 -0.106
	 -0.846	 -0.019	  0.532

4 	  41.27	   7.49	  -4.39
	  0.534	  0.844	  0.055
	 -0.719	  0.417	  0.555
	  0.447	 -0.335	  0.829

5 	  46.95	  10.28	   5.19
	  0.540	  0.454	  0.708
	  0.648	 -0.761	 -0.003
	  0.540	  0.459	 -0.705

6 	  52.91	  12.16	  -2.50
	  0.593	 -0.061	 -0.803
	  0.645	  0.634	  0.426
	  0.487	 -0.769	  0.413

7 	  39.76	  -6.80	  -4.83
	  0.497	 -0.863	 -0.095
	  0.693	  0.460	 -0.555
	  0.523	  0.209	  0.826

8 	  45.60	 -10.23	   6.21
	  0.677	 -0.173	  0.715
	  0.571	 -0.489	 -0.659
	  0.465	  0.854	 -0.233

9 	  54.04	  -8.86	  12.06
	  0.744	  0.032	  0.667
	  0.169	  0.957	 -0.235
	 -0.646	  0.288	  0.707

