2 	  32.87	  -7.08	  22.73
	  0.687	  0.726	 -0.022
	 -0.727	  0.686	 -0.019
	  0.003	  0.029	  0.999

3 	  42.91	  -0.77	   0.98
	  0.355	  0.212	  0.910
	 -0.114	  0.976	 -0.184
	 -0.928	 -0.038	  0.370

4 	  38.11	   5.47	  -6.86
	  0.552	  0.818	 -0.164
	 -0.650	  0.544	  0.530
	  0.524	 -0.186	  0.831

5 	  39.94	  10.99	   3.34
	 -0.472	 -0.454	 -0.755
	  0.122	  0.816	 -0.565
	  0.873	 -0.358	 -0.330

6 	  48.36	   5.34	   2.92
	  0.644	 -0.765	 -0.032
	  0.745	  0.616	  0.256
	 -0.178	 -0.188	  0.966

7 	  35.53	  -6.63	  -4.15
	  0.117	 -0.978	 -0.173
	  0.609	  0.208	 -0.765
	  0.784	 -0.016	  0.620

8 	  42.91	 -13.99	   0.93
	  0.857	 -0.458	  0.237
	  0.197	 -0.135	 -0.971
	  0.477	  0.878	 -0.026

9 	  48.06	  -4.68	   2.57
	  0.215	  0.955	  0.204
	 -0.913	  0.122	  0.389
	  0.347	 -0.269	  0.898

2 	  32.87	  -7.08	  22.73
	  0.687	  0.726	 -0.022
	 -0.727	  0.686	 -0.019
	  0.003	  0.029	  0.999

3 	  42.89	  -0.77	   0.97
	  0.355	  0.211	  0.910
	 -0.114	  0.976	 -0.183
	 -0.928	 -0.038	  0.370

4 	  38.04	   5.47	  -6.84
	  0.550	  0.818	 -0.168
	 -0.646	  0.543	  0.535
	  0.530	 -0.186	  0.827

5 	  39.97	  10.97	   3.32
	 -0.479	 -0.455	 -0.751
	  0.116	  0.816	 -0.567
	  0.871	 -0.357	 -0.338

6 	  48.38	   5.34	   2.76
	  0.644	 -0.764	 -0.044
	  0.746	  0.614	  0.254
	 -0.169	 -0.196	  0.966

7 	  35.49	  -6.63	  -4.15
	  0.112	 -0.978	 -0.176
	  0.607	  0.207	 -0.767
	  0.787	 -0.021	  0.617

8 	  42.87	 -14.06	   0.81
	  0.857	 -0.464	  0.225
	  0.182	 -0.136	 -0.974
	  0.482	  0.875	 -0.033

9 	  48.09	  -4.76	   2.34
	  0.223	  0.955	  0.196
	 -0.906	  0.128	  0.404
	  0.361	 -0.267	  0.893

2 	  32.87	  -7.08	  22.73
	  0.687	  0.726	 -0.022
	 -0.727	  0.686	 -0.018
	  0.003	  0.029	  0.999

3 	  42.89	  -0.77	   0.93
	  0.358	  0.211	  0.909
	 -0.116	  0.976	 -0.182
	 -0.927	 -0.040	  0.373

4 	  37.95	   5.41	  -6.86
	  0.548	  0.818	 -0.176
	 -0.640	  0.545	  0.541
	  0.539	 -0.184	  0.821

5 	  39.97	  10.97	   3.29
	 -0.489	 -0.458	 -0.743
	  0.099	  0.817	 -0.568
	  0.867	 -0.350	 -0.354

6 	  48.45	   5.41	   2.48
	  0.649	 -0.757	 -0.068
	  0.746	  0.617	  0.251
	 -0.150	 -0.213	  0.965

7 	  35.49	  -6.64	  -4.15
	  0.106	 -0.979	 -0.177
	  0.606	  0.204	 -0.769
	  0.788	 -0.026	  0.614

8 	  42.77	 -14.17	   0.69
	  0.851	 -0.482	  0.205
	  0.154	 -0.143	 -0.978
	  0.501	  0.864	 -0.048

9 	  48.18	  -5.04	   1.97
	  0.253	  0.950	  0.180
	 -0.893	  0.157	  0.421
	  0.372	 -0.266	  0.889

2 	  32.87	  -7.08	  22.73
	  0.687	  0.726	 -0.022
	 -0.727	  0.686	 -0.018
	  0.003	  0.029	  0.999

3 	  42.89	  -0.79	   0.88
	  0.359	  0.210	  0.909
	 -0.117	  0.976	 -0.180
	 -0.926	 -0.042	  0.374

