2 	  32.87	  -7.08	  22.73
	  0.687	  0.726	 -0.022
	 -0.727	  0.686	 -0.019
	  0.003	  0.029	  0.999

3 	  42.75	   0.12	   1.23
	  0.342	  0.135	  0.930
	 -0.251	  0.967	 -0.049
	 -0.906	 -0.216	  0.364

4 	  36.76	   7.49	  -3.50
	  0.469	  0.883	  0.016
	 -0.666	  0.341	  0.663
	  0.581	 -0.321	  0.748

5 	  42.80	   8.37	   5.71
	 -0.563	 -0.184	 -0.806
	 -0.275	  0.961	 -0.028
	  0.780	  0.205	 -0.591

6 	  50.34	  11.07	  -1.55
	  0.536	 -0.009	 -0.844
	  0.599	  0.711	  0.368
	  0.601	 -0.700	  0.384

7 	  36.35	  -7.07	  -2.69
	  0.198	 -0.964	  0.175
	  0.835	  0.072	 -0.545
	  0.513	  0.254	  0.820

8 	  38.34	 -10.30	   8.77
	  0.364	 -0.163	  0.917
	  0.572	 -0.738	 -0.358
	  0.736	  0.653	 -0.175

9 	  44.21	 -11.53	  19.20
	  0.374	 -0.089	  0.923
	  0.461	  0.881	 -0.101
	 -0.807	  0.461	  0.370

2 	  32.87	  -7.08	  22.73
	  0.686	  0.727	 -0.022
	 -0.728	  0.685	 -0.019
	  0.003	  0.029	  0.999

3 	  42.47	   0.05	   0.98
	  0.375	  0.120	  0.919
	 -0.242	  0.970	 -0.029
	 -0.896	 -0.211	  0.391

4 	  36.53	   7.58	  -3.38
	  0.473	  0.881	  0.009
	 -0.642	  0.336	  0.689
	  0.605	 -0.331	  0.724

5 	  42.73	   8.46	   5.77
	 -0.573	 -0.185	 -0.799
	 -0.266	  0.963	 -0.032
	  0.775	  0.194	 -0.601

6 	  50.31	  11.09	  -1.53
	  0.537	 -0.017	 -0.843
	  0.607	  0.704	  0.369
	  0.592	 -0.707	  0.386

7 	  36.18	  -7.08	  -2.72
	  0.196	 -0.966	  0.167
	  0.830	  0.073	 -0.553
	  0.522	  0.247	  0.816

8 	  38.34	 -10.32	   8.75
	  0.382	 -0.170	  0.908
	  0.566	 -0.734	 -0.375
	  0.732	  0.656	 -0.184

9 	  44.19	 -11.57	  19.14
	  0.369	 -0.115	  0.922
	  0.477	  0.875	 -0.080
	 -0.800	  0.467	  0.377

2 	  32.87	  -7.08	  22.73
	  0.686	  0.727	 -0.022
	 -0.728	  0.685	 -0.019
	  0.003	  0.029	  0.999

3 	  42.47	   0.09	   1.04
	  0.376	  0.117	  0.919
	 -0.244	  0.969	 -0.025
	 -0.894	 -0.214	  0.393

4 	  36.53	   7.59	  -3.34
	  0.478	  0.878	  0.010
	 -0.642	  0.341	  0.687
	  0.600	 -0.335	  0.726

5 	  42.71	   8.46	   5.78
	 -0.573	 -0.185	 -0.798
	 -0.265	  0.964	 -0.034
	  0.776	  0.191	 -0.601

6 	  50.31	  11.07	  -1.51
	  0.538	 -0.019	 -0.843
	  0.608	  0.703	  0.368
	  0.590	 -0.708	  0.387

7 	  36.14	  -7.01	  -2.69
	  0.193	 -0.967	  0.168
	  0.829	  0.069	 -0.555
	  0.525	  0.246	  0.815

8 	  38.34	 -10.30	   8.74
	  0.382	 -0.171	  0.908
	  0.576	 -0.725	 -0.378
	  0.724	  0.666	 -0.178

9 	  44.19	 -11.57	  19.14
	  0.369	 -0.115	  0.922
	  0.475	  0.876	 -0.080
	 -0.801	  0.466	  0.376

2 	  32.87	  -7.08	  22.73
	  0.686	  0.727	 -0.022
	 -0.728	  0.685	 -0.019
	  0.003	  0.029	  0.999

3 	  42.45	   0.11	   1.07
	  0.375	  0.118	  0.919
	 -0.246	  0.969	 -0.026
	 -0.894	 -0.216	  0.392

4 	  36.51	   7.59	  -3.34
