2 	  32.70	   5.15	  23.13
	  0.801	 -0.597	  0.045
	  0.597	  0.802	  0.001
	 -0.037	  0.026	  0.999

3 	  42.59	   0.95	   0.97
	 -0.070	 -0.431	 -0.900
	  0.403	 -0.837	  0.369
	 -0.912	 -0.337	  0.232

4 	  37.21	   9.21	  -3.85
	  0.047	 -0.810	 -0.585
	  0.992	  0.107	 -0.069
	  0.118	 -0.577	  0.808

5 	  41.50	   8.49	   9.14
	 -0.635	 -0.093	 -0.767
	  0.004	  0.992	 -0.124
	  0.772	 -0.082	 -0.630

6 	  53.05	   9.09	  11.97
	  0.957	 -0.111	  0.266
	 -0.156	  0.578	  0.801
	 -0.242	 -0.809	  0.536

7 	  39.23	  -6.86	  -6.28
	 -0.397	  0.805	 -0.441
	 -0.907	 -0.418	  0.052
	 -0.142	  0.420	  0.896

8 	  41.71	 -10.02	   7.19
	 -0.589	  0.156	 -0.793
	 -0.352	  0.833	  0.425
	  0.727	  0.530	 -0.436

9 	  53.16	 -10.11	  11.60
	  0.925	  0.059	  0.376
	  0.265	  0.608	 -0.748
	 -0.274	  0.791	  0.547

2 	  32.68	   5.17	  23.13
	  0.801	 -0.596	  0.045
	  0.597	  0.802	  0.001
	 -0.037	  0.026	  0.999

3 	  42.59	   0.95	   0.95
	 -0.071	 -0.431	 -0.900
	  0.402	 -0.837	  0.370
	 -0.913	 -0.336	  0.232

4 	  37.21	   9.19	  -3.85
	  0.047	 -0.808	 -0.587
	  0.992	  0.109	 -0.069
	  0.119	 -0.579	  0.806

5 	  41.50	   8.47	   9.12
	 -0.635	 -0.093	 -0.767
	  0.005	  0.992	 -0.124
	  0.772	 -0.083	 -0.630

6 	  53.05	   9.11	  11.94
	  0.958	 -0.111	  0.265
	 -0.155	  0.578	  0.801
	 -0.242	 -0.808	  0.537

7 	  39.23	  -6.87	  -6.28
	 -0.396	  0.805	 -0.442
	 -0.907	 -0.417	  0.052
	 -0.142	  0.422	  0.895

8 	  41.71	 -10.02	   7.21
	 -0.588	  0.155	 -0.793
	 -0.353	  0.834	  0.424
	  0.728	  0.529	 -0.436

9 	  53.14	 -10.12	  11.60
	  0.925	  0.059	  0.376
	  0.265	  0.607	 -0.749
	 -0.273	  0.792	  0.546

2 	  32.68	   5.17	  23.13
	  0.801	 -0.596	  0.045
	  0.597	  0.802	  0.001
	 -0.038	  0.026	  0.999

3 	  42.57	   0.93	   0.97
	 -0.071	 -0.431	 -0.899
	  0.401	 -0.838	  0.370
	 -0.913	 -0.334	  0.232

4 	  37.20	   9.23	  -3.83
	  0.055	 -0.800	 -0.598
	  0.990	  0.120	 -0.070
	  0.127	 -0.588	  0.799

5 	  41.52	   8.47	   9.12
	 -0.635	 -0.093	 -0.767
	  0.005	  0.992	 -0.125
	  0.773	 -0.084	 -0.629

6 	  53.05	   9.11	  11.94
	  0.958	 -0.110	  0.266
	 -0.156	  0.579	  0.800
	 -0.242	 -0.808	  0.537

7 	  39.23	  -6.87	  -6.28
	 -0.395	  0.805	 -0.443
	 -0.907	 -0.417	  0.052
	 -0.142	  0.422	  0.895

8 	  41.73	 -10.02	   7.21
	 -0.589	  0.155	 -0.793
	 -0.352	  0.834	  0.424
	  0.727	  0.529	 -0.437

9 	  53.12	 -10.12	  11.62
	  0.925	  0.060	  0.374
	  0.264	  0.607	 -0.750
	 -0.272	  0.792	  0.546

2 	  32.68	   5.15	  23.12
	  0.801	 -0.597	  0.045
	  0.597	  0.802	  0.002
	 -0.037	  0.025	  0.999

3 	  42.57	   0.91	   0.98
	 -0.071	 -0.431	 -0.899
	  0.399	 -0.839	  0.370
	 -0.914	 -0.333	  0.232

4 	  37.20	   9.25	  -3.83
	  0.056	 -0.798	 -0.600
	  0.990	  0.122	 -0.070
	  0.128	 -0.590	  0.797

5 	  41.50	   8.49	   9.12
	 -0.634	 -0.094	 -0.767
	  0.005	  0.992	 -0.126
	  0.773	 -0.084	 -0.629

6 	  53.05	   9.14	  11.94
	  0.958	 -0.109	  0.265
	 -0.156	  0.579	  0.800
	 -0.241	 -0.808	  0.537

7 	  39.25	  -6.89	  -6.26
	 -0.395	  0.804	 -0.443
	 -0.907	 -0.417	  0.052
	 -0.143	  0.423	  0.895

8 	  41.73	 -10.02	   7.22
	 -0.589	  0.155	 -0.793
	 -0.352	  0.834	  0.424
	  0.727	  0.529	 -0.437

9 	  53.14	 -10.09	  11.60
	  0.925	  0.061	  0.374
	  0.263	  0.606	 -0.751
	 -0.273	  0.793	  0.545

2 	  32.70	   5.17	  23.13
	  0.801	 -0.596	  0.045
	  0.597	  0.802	  0.002
	 -0.038	  0.025	  0.999

3 	  42.57	   0.91	   0.98
	 -0.070	 -0.431	 -0.899
	  0.398	 -0.839	  0.371
	 -0.914	 -0.332	  0.231

4 	  37.20	   9.21	  -3.83
	  0.051	 -0.803	 -0.594
	  0.991	  0.113	 -0.068
	  0.122	 -0.585	  0.801

5 	  41.50	   8.49	   9.12
	 -0.634	 -0.094	 -0.768
	  0.006	  0.992	 -0.127
	  0.773	 -0.085	 -0.628

6 	  53.05	   9.12	  11.95
	  0.958	 -0.110	  0.265
	 -0.156	  0.579	  0.800
	 -0.242	 -0.808	  0.537

7 	  39.25	  -6.89	  -6.26
	 -0.395	  0.804	 -0.444
	 -0.907	 -0.417	  0.051
	 -0.144	  0.423	  0.894

8 	  41.73	 -10.02	   7.22
	 -0.589	  0.154	 -0.793
	 -0.353	  0.834	  0.424
	  0.727	  0.529	 -0.437

9 	  53.12	 -10.12	  11.62
	  0.926	  0.060	  0.373
	  0.263	  0.605	 -0.751
	 -0.271	  0.794	  0.544

2 	  32.70	   5.15	  23.13
	  0.801	 -0.597	  0.045
	  0.597	  0.802	  0.002
	 -0.037	  0.025	  0.999

3 	  42.57	   0.91	   0.98
	 -0.071	 -0.431	 -0.899
	  0.397	 -0.839	  0.371
	 -0.915	 -0.331	  0.231

4 	  37.21	   9.23	  -3.83
	  0.052	 -0.802	 -0.596
	  0.991	  0.115	 -0.068
	  0.123	 -0.587	  0.800

5 	  41.50	   8.49	   9.12
	 -0.634	 -0.094	 -0.768
	  0.006	  0.992	 -0.127
	  0.773	 -0.085	 -0.628

6 	  53.05	   9.12	  11.95
	  0.958	 -0.110	  0.265
	 -0.155	  0.579	  0.800
	 -0.242	 -0.808	  0.537

7 	  39.25	  -6.89	  -6.24
	 -0.394	  0.804	 -0.445
	 -0.908	 -0.417	  0.050
	 -0.145	  0.423	  0.894

8 	  41.71	 -10.04	   7.24
	 -0.589	  0.155	 -0.793
	 -0.352	  0.834	  0.424
	  0.728	  0.528	 -0.437

9 	  53.12	 -10.14	  11.60
	  0.926	  0.060	  0.372
	  0.263	  0.604	 -0.752
	 -0.270	  0.794	  0.544

2 	  32.68	   5.17	  23.13
	  0.801	 -0.596	  0.045
	  0.597	  0.802	  0.001
	 -0.037	  0.026	  0.999

3 	  42.59	   0.91	   0.98
	 -0.070	 -0.432	 -0.899
	  0.397	 -0.839	  0.372
	 -0.915	 -0.331	  0.231

4 	  37.21	   9.21	  -3.87
	  0.050	 -0.806	 -0.590
	  0.991	  0.110	 -0.067
	  0.118	 -0.582	  0.805

5 	  41.50	   8.49	   9.12
	 -0.634	 -0.095	 -0.768
	  0.007	  0.991	 -0.128
	  0.773	 -0.087	 -0.628

6 	  53.05	   9.16	  11.94
	  0.958	 -0.109	  0.265
	 -0.155	  0.579	  0.800
	 -0.241	 -0.808	  0.537

7 	  39.25	  -6.91	  -6.24
	 -0.393	  0.804	 -0.446
	 -0.908	 -0.416	  0.049
	 -0.146	  0.424	  0.893

8 	  41.71	 -10.04	   7.24
	 -0.589	  0.154	 -0.793
	 -0.352	  0.834	  0.424
	  0.728	  0.528	 -0.437

9 	  53.10	 -10.12	  11.62
	  0.926	  0.060	  0.372
	  0.263	  0.604	 -0.752
	 -0.270	  0.794	  0.544

2 	  32.68	   5.17	  23.13
	  0.801	 -0.596	  0.045
	  0.597	  0.802	  0.001
	 -0.037	  0.026	  0.999

3 	  42.57	   0.90	   1.00
	 -0.070	 -0.432	 -0.899
	  0.397	 -0.839	  0.372
	 -0.915	 -0.331	  0.230

4 	  37.23	   9.21	  -3.85
	  0.054	 -0.800	 -0.597
	  0.991	  0.117	 -0.067
	  0.124	 -0.588	  0.799

5 	  41.50	   8.49	   9.14
	 -0.634	 -0.095	 -0.768
	  0.007	  0.991	 -0.129
	  0.773	 -0.088	 -0.627

6 	  53.05	   9.12	  11.95
	  0.958	 -0.110	  0.265
	 -0.155	  0.578	  0.801
	 -0.242	 -0.808	  0.537

7 	  39.25	  -6.91	  -6.24
	 -0.392	  0.804	 -0.447
	 -0.908	 -0.416	  0.049
	 -0.146	  0.425	  0.893

8 	  41.70	 -10.02	   7.26
	 -0.589	  0.154	 -0.794
	 -0.352	  0.835	  0.423
	  0.728	  0.528	 -0.437

9 	  53.09	 -10.14	  11.65
	  0.926	  0.060	  0.371
	  0.262	  0.603	 -0.753
	 -0.270	  0.795	  0.543

2 	  32.68	   5.15	  23.12
	  0.801	 -0.597	  0.045
	  0.597	  0.802	  0.001
	 -0.037	  0.025	  0.999

3 	  42.57	   0.90	   1.00
	 -0.071	 -0.433	 -0.899
	  0.396	 -0.839	  0.373
	 -0.915	 -0.330	  0.231

4 	  37.23	   9.21	  -3.85
	  0.055	 -0.799	 -0.598
	  0.991	  0.118	 -0.067
	  0.124	 -0.589	  0.798

5 	  41.50	   8.51	   9.14
	 -0.633	 -0.095	 -0.768
	  0.008	  0.991	 -0.130
	  0.774	 -0.088	 -0.627

6 	  53.03	   9.14	  11.94
	  0.958	 -0.110	  0.264
	 -0.155	  0.579	  0.801
	 -0.241	 -0.808	  0.537

7 	  39.25	  -6.94	  -6.22
	 -0.390	  0.803	 -0.451
	 -0.909	 -0.414	  0.049
	 -0.147	  0.429	  0.891

8 	  41.70	 -10.04	   7.28
	 -0.589	  0.154	 -0.793
	 -0.350	  0.836	  0.422
	  0.728	  0.526	 -0.439

9 	  53.09	 -10.12	  11.64
	  0.927	  0.060	  0.370
	  0.262	  0.603	 -0.754
	 -0.269	  0.795	  0.543

2 	  32.70	   5.15	  23.13
	  0.801	 -0.597	  0.045
	  0.597	  0.802	  0.002
	 -0.037	  0.025	  0.999

3 	  42.57	   0.88	   1.02
	 -0.069	 -0.435	 -0.898
	  0.393	 -0.839	  0.376
	 -0.917	 -0.327	  0.229

4 	  37.27	   9.19	  -3.88
	  0.056	 -0.799	 -0.599
	  0.991	  0.118	 -0.065
	  0.122	 -0.590	  0.798

5 	  41.50	   8.51	   9.12
	 -0.631	 -0.097	 -0.769
	  0.009	  0.991	 -0.133
	  0.775	 -0.091	 -0.625

6 	  53.07	   9.14	  11.92
	  0.958	 -0.110	  0.264
	 -0.154	  0.580	  0.800
	 -0.241	 -0.807	  0.538

7 	  39.22	  -7.03	  -6.13
	 -0.386	  0.795	 -0.467
	 -0.911	 -0.409	  0.055
	 -0.147	  0.446	  0.882

8 	  41.64	 -10.05	   7.35
	 -0.591	  0.152	 -0.792
