2 	  32.61	  -7.07	  22.85
	 -0.443	  0.864	 -0.238
	 -0.891	 -0.453	  0.016
	 -0.094	  0.218	  0.971

3 	  46.30	  -0.58	   2.88
	  0.395	  0.250	  0.884
	 -0.185	  0.964	 -0.191
	 -0.900	 -0.088	  0.427

4 	  41.68	   4.50	  -2.13
	  0.664	  0.619	 -0.419
	 -0.578	  0.781	  0.238
	  0.474	  0.084	  0.876

5 	  44.54	   8.17	   3.15
	  0.824	  0.221	  0.521
	 -0.401	 -0.421	  0.813
	  0.399	 -0.880	 -0.258

6 	  52.61	   7.65	   2.02
	  0.662	 -0.589	 -0.464
	  0.736	  0.627	  0.254
	  0.141	 -0.510	  0.848

7 	  43.22	  -7.08	  -1.28
	  0.866	 -0.491	 -0.087
	  0.456	  0.851	 -0.260
	  0.201	  0.186	  0.962

8 	  44.09	  -7.93	   8.16
	  0.651	  0.144	  0.745
	  0.427	 -0.881	 -0.203
	  0.627	  0.450	 -0.635

9 	  50.13	  -7.22	  13.29
	  0.765	  0.355	  0.537
	  0.626	 -0.216	 -0.749
	 -0.150	  0.909	 -0.388

2 	  32.61	  -7.07	  22.85
	 -0.443	  0.864	 -0.238
	 -0.891	 -0.453	  0.016
	 -0.094	  0.219	  0.971

3 	  46.28	  -0.58	   2.87
	  0.397	  0.248	  0.884
	 -0.181	  0.965	 -0.189
	 -0.900	 -0.085	  0.428

4 	  41.64	   4.52	  -2.13
	  0.663	  0.619	 -0.421
	 -0.575	  0.781	  0.242
	  0.479	  0.081	  0.874

5 	  44.54	   8.21	   3.13
	  0.829	  0.215	  0.515
	 -0.400	 -0.415	  0.817
	  0.390	 -0.884	 -0.259

6 	  52.63	   7.66	   2.02
	  0.662	 -0.588	 -0.464
	  0.736	  0.627	  0.257
	  0.140	 -0.512	  0.847

7 	  43.12	  -7.10	  -1.27
	  0.863	 -0.497	 -0.086
	  0.461	  0.847	 -0.264
	  0.204	  0.188	  0.960

8 	  44.03	  -7.91	   8.16
	  0.653	  0.139	  0.744
	  0.410	 -0.891	 -0.194
	  0.636	  0.432	 -0.639

9 	  50.10	  -7.26	  13.29
	  0.767	  0.353	  0.536
	  0.625	 -0.223	 -0.748
	 -0.144	  0.909	 -0.392

2 	  32.61	  -7.08	  22.85
	 -0.443	  0.864	 -0.238
	 -0.891	 -0.453	  0.016
	 -0.094	  0.218	  0.971

3 	  46.28	  -0.60	   2.87
	  0.396	  0.248	  0.884
	 -0.179	  0.965	 -0.191
	 -0.900	 -0.082	  0.427

4 	  41.64	   4.50	  -2.11
	  0.664	  0.618	 -0.421
	 -0.576	  0.782	  0.240
	  0.477	  0.083	  0.875

5 	  44.53	   8.21	   3.15
	  0.829	  0.216	  0.516
	 -0.400	 -0.415	  0.817
	  0.390	 -0.884	 -0.258

6 	  52.63	   7.68	   2.04
	  0.663	 -0.587	 -0.464
	  0.735	  0.627	  0.258
	  0.139	 -0.512	  0.847

7 	  43.12	  -7.14	  -1.27
	  0.862	 -0.499	 -0.084
	  0.463	  0.845	 -0.266
	  0.203	  0.190	  0.960

8 	  44.02	  -7.93	   8.17
	  0.652	  0.140	  0.745
	  0.411	 -0.891	 -0.193
	  0.637	  0.432	 -0.638

9 	  50.10	  -7.24	  13.29
	  0.769	  0.350	  0.534
	  0.623	 -0.230	 -0.748
	 -0.140	  0.908	 -0.395

2 	  32.61	  -7.08	  22.85
	 -0.443	  0.864	 -0.238
	 -0.891	 -0.453	  0.015
	 -0.094	  0.218	  0.971

3 	  46.27	  -0.62	   2.88
	  0.396	  0.250	  0.883
	 -0.180	  0.964	 -0.192
	 -0.900	 -0.083	  0.427

4 	  41.64	   4.48	  -2.11
	  0.664	  0.618	 -0.421
	 -0.575	  0.782	  0.241
	  0.478	  0.082	  0.874

5 	  44.53	   8.21	   3.15
	  0.830	  0.214	  0.514
	 -0.400	 -0.414	  0.818
	  0.388	 -0.885	 -0.258

6 	  52.63	   7.66	   2.04
	  0.663	 -0.587	 -0.464
	  0.735	  0.626	  0.258
	  0.139	 -0.513	  0.847

7 	  43.12	  -7.14	  -1.25
	  0.863	 -0.498	 -0.083
	  0.462	  0.846	 -0.266
	  0.202	  0.191	  0.960

8 	  44.02	  -7.91	   8.19
	  0.650	  0.143	  0.746
	  0.416	 -0.889	 -0.193
	  0.635	  0.435	 -0.638

9 	  50.06	  -7.22	  13.32
	  0.769	  0.352	  0.533
	  0.623	 -0.232	 -0.747
	 -0.139	  0.907	 -0.398

2 	  32.61	  -7.07	  22.85
	 -0.444	  0.864	 -0.237
	 -0.891	 -0.453	  0.016
	 -0.094	  0.218	  0.971

3 	  46.27	  -0.62	   2.87
	  0.396	  0.251	  0.883
	 -0.183	  0.964	 -0.193
	 -0.900	 -0.085	  0.427

4 	  41.64	   4.46	  -2.13
	  0.664	  0.618	 -0.421
	 -0.575	  0.782	  0.241
	  0.478	  0.082	  0.875

5 	  44.53	   8.21	   3.15
	  0.831	  0.213	  0.513
	 -0.400	 -0.412	  0.819
	  0.386	 -0.886	 -0.258

6 	  52.63	   7.68	   2.04
	  0.663	 -0.586	 -0.465
	  0.735	  0.627	  0.259
	  0.139	 -0.514	  0.846

7 	  43.12	  -7.14	  -1.25
	  0.863	 -0.497	 -0.083
	  0.461	  0.846	 -0.266
	  0.202	  0.192	  0.960

8 	  44.02	  -7.93	   8.17
	  0.650	  0.144	  0.746
	  0.418	 -0.888	 -0.193
	  0.634	  0.437	 -0.638

9 	  50.06	  -7.22	  13.32
	  0.770	  0.352	  0.532
	  0.623	 -0.233	 -0.747
	 -0.140	  0.906	 -0.399

