2 	  32.77	  -6.79	  22.96
	  0.829	  0.555	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  44.10	  -0.07	   1.78
	 -0.419	  0.218	 -0.881
	 -0.204	 -0.968	 -0.143
	 -0.885	  0.119	  0.450

4 	  37.83	   6.24	  -5.41
	  0.675	  0.662	 -0.324
	 -0.395	  0.695	  0.600
	  0.623	 -0.278	  0.731

5 	  45.76	   9.76	   3.99
	  0.840	  0.324	  0.435
	  0.026	 -0.826	  0.564
	  0.541	 -0.462	 -0.702

6 	  54.02	   5.52	  -2.55
	  0.662	 -0.527	 -0.532
	  0.744	  0.376	  0.553
	 -0.092	 -0.762	  0.641

7 	  38.76	  -8.03	  -4.90
	  0.517	 -0.806	  0.288
	  0.849	  0.441	 -0.292
	  0.108	  0.395	  0.912

8 	  44.24	  -9.00	   6.29
	  0.790	 -0.016	  0.612
	  0.318	 -0.844	 -0.433
	  0.523	  0.537	 -0.662

9 	  54.35	  -7.52	  11.36
	  0.701	  0.189	  0.687
	  0.039	  0.952	 -0.303
	 -0.712	  0.239	  0.660

2 	  32.77	  -6.79	  22.96
	  0.829	  0.554	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  44.07	  -0.07	   1.79
	 -0.421	  0.215	 -0.881
	 -0.203	 -0.969	 -0.140
	 -0.884	  0.120	  0.451

4 	  37.81	   6.24	  -5.40
	  0.675	  0.663	 -0.323
	 -0.395	  0.694	  0.601
	  0.623	 -0.279	  0.731

5 	  45.76	   9.77	   4.01
	  0.840	  0.324	  0.434
	  0.027	 -0.825	  0.564
	  0.541	 -0.462	 -0.703

6 	  54.02	   5.52	  -2.53
	  0.663	 -0.527	 -0.532
	  0.743	  0.376	  0.554
	 -0.093	 -0.762	  0.641

7 	  38.76	  -8.03	  -4.89
	  0.517	 -0.806	  0.289
	  0.849	  0.441	 -0.290
	  0.106	  0.396	  0.912

8 	  44.23	  -9.00	   6.31
	  0.790	 -0.017	  0.612
	  0.316	 -0.844	 -0.432
	  0.524	  0.535	 -0.662

9 	  54.32	  -7.52	  11.41
	  0.701	  0.189	  0.687
	  0.041	  0.952	 -0.303
	 -0.712	  0.240	  0.660

2 	  32.77	  -6.79	  22.96
	  0.829	  0.555	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  44.09	  -0.07	   1.78
	 -0.420	  0.217	 -0.881
	 -0.203	 -0.969	 -0.141
	 -0.884	  0.120	  0.451

4 	  37.81	   6.24	  -5.38
	  0.676	  0.663	 -0.322
	 -0.396	  0.695	  0.600
	  0.622	 -0.278	  0.732

5 	  45.76	   9.76	   3.99
	  0.841	  0.323	  0.433
	  0.027	 -0.825	  0.564
	  0.540	 -0.463	 -0.703

6 	  54.02	   5.52	  -2.53
	  0.663	 -0.527	 -0.531
	  0.743	  0.376	  0.554
	 -0.093	 -0.762	  0.641

7 	  38.78	  -8.03	  -4.90
	  0.520	 -0.804	  0.287
	  0.847	  0.443	 -0.293
	  0.108	  0.396	  0.912

8 	  44.23	  -9.00	   6.29
	  0.790	 -0.016	  0.612
	  0.318	 -0.843	 -0.433
	  0.523	  0.537	 -0.662

9 	  54.33	  -7.49	  11.43
	  0.700	  0.189	  0.688
	  0.039	  0.952	 -0.302
	 -0.713	  0.239	  0.660

2 	  32.75	  -6.79	  22.96
	  0.829	  0.555	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  44.10	  -0.05	   1.74
	 -0.419	  0.219	 -0.881
	 -0.201	 -0.969	 -0.146
	 -0.885	  0.116	  0.450

4 	  37.81	   6.26	  -5.38
	  0.675	  0.664	 -0.322
	 -0.397	  0.694	  0.600
	  0.622	 -0.277	  0.732

5 	  45.76	   9.76	   4.01
	  0.841	  0.324	  0.434
	  0.027	 -0.825	  0.564
	  0.540	 -0.462	 -0.703

6 	  54.02	   5.52	  -2.53
	  0.663	 -0.527	 -0.531
	  0.743	  0.376	  0.554
	 -0.093	 -0.762	  0.641

7 	  38.81	  -8.03	  -4.94
	  0.524	 -0.803	  0.285
	  0.844	  0.444	 -0.300
	  0.114	  0.397	  0.910

8 	  44.26	  -9.00	   6.26
	  0.790	 -0.016	  0.612
	  0.321	 -0.841	 -0.435
	  0.522	  0.540	 -0.660

9 	  54.33	  -7.51	  11.39
	  0.698	  0.189	  0.690
	  0.038	  0.953	 -0.300
	 -0.715	  0.236	  0.658

2 	  32.77	  -6.79	  22.96
	  0.829	  0.554	 -0.064
	 -0.555	  0.831	  0.015
	  0.062	  0.023	  0.998

3 	  44.10	  -0.05	   1.74
	 -0.421	  0.217	 -0.881
	 -0.201	 -0.969	 -0.143
	 -0.885	  0.117	  0.451

4 	  37.81	   6.26	  -5.38
	  0.675	  0.663	 -0.323
	 -0.396	  0.695	  0.600
	  0.622	 -0.277	  0.732

5 	  45.76	   9.76	   4.01
	  0.841	  0.323	  0.434
	  0.026	 -0.825	  0.564
	  0.540	 -0.463	 -0.703

6 	  54.02	   5.52	  -2.53
	  0.663	 -0.527	 -0.532
	  0.743	  0.375	  0.554
	 -0.093	 -0.762	  0.641

7 	  38.79	  -8.02	  -4.92
	  0.522	 -0.803	  0.287
	  0.845	  0.443	 -0.300
	  0.113	  0.399	  0.910

8 	  44.26	  -8.98	   6.26
	  0.790	 -0.016	  0.613
	  0.320	 -0.842	 -0.434
	  0.523	  0.539	 -0.660

9 	  54.37	  -7.49	  11.39
	  0.699	  0.189	  0.689
	  0.038	  0.953	 -0.301
	 -0.714	  0.236	  0.659

