2 	  32.89	  -7.08	  22.73
	  0.703	  0.711	 -0.022
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  44.05	  -0.49	   1.55
	  0.216	  0.040	  0.975
	 -0.156	  0.988	 -0.007
	 -0.964	 -0.151	  0.220

4 	  39.81	   7.80	  -2.95
	  0.306	  0.862	  0.404
	 -0.920	  0.157	  0.359
	  0.247	 -0.482	  0.841

5 	  38.02	   7.65	   9.02
	 -0.114	 -0.137	 -0.984
	 -0.172	  0.978	 -0.116
	  0.978	  0.156	 -0.135

6 	  41.89	  11.16	  20.57
	  0.135	  0.247	  0.959
	 -0.693	  0.715	 -0.090
	 -0.711	 -0.651	  0.266

7 	  38.02	  -7.31	  -3.20
	  0.190	 -0.955	  0.227
	  0.874	  0.059	 -0.482
	  0.447	  0.289	  0.846

8 	  37.42	 -10.93	   7.88
	  0.156	 -0.277	  0.948
	  0.526	 -0.789	 -0.316
	  0.836	  0.548	  0.024

9 	  41.54	 -13.11	  19.28
	  0.206	 -0.128	  0.970
	  0.560	  0.828	 -0.008
	 -0.804	  0.543	  0.242

2 	  32.87	  -7.08	  22.71
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  44.03	  -0.49	   1.55
	  0.217	  0.040	  0.975
	 -0.156	  0.988	 -0.007
	 -0.964	 -0.150	  0.221

4 	  39.78	   7.80	  -2.94
	  0.307	  0.862	  0.404
	 -0.919	  0.157	  0.360
	  0.247	 -0.482	  0.840

5 	  38.00	   7.63	   9.02
	 -0.117	 -0.137	 -0.984
	 -0.174	  0.978	 -0.116
	  0.977	  0.158	 -0.138

6 	  41.89	  11.18	  20.57
	  0.135	  0.247	  0.959
	 -0.694	  0.714	 -0.090
	 -0.710	 -0.652	  0.266

7 	  38.00	  -7.31	  -3.20
	  0.190	 -0.955	  0.228
	  0.874	  0.058	 -0.482
	  0.448	  0.290	  0.846

8 	  37.41	 -10.93	   7.88
	  0.155	 -0.276	  0.948
	  0.524	 -0.791	 -0.316
	  0.837	  0.546	  0.022

9 	  41.52	 -13.11	  19.28
	  0.207	 -0.129	  0.969
	  0.559	  0.829	 -0.007
	 -0.804	  0.542	  0.243

2 	  32.87	  -7.08	  22.73
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  44.02	  -0.49	   1.55
	  0.217	  0.041	  0.975
	 -0.157	  0.987	 -0.008
	 -0.964	 -0.152	  0.220

4 	  39.78	   7.80	  -2.94
	  0.306	  0.862	  0.404
	 -0.920	  0.157	  0.360
	  0.247	 -0.481	  0.841

5 	  38.00	   7.65	   9.02
	 -0.117	 -0.137	 -0.984
	 -0.175	  0.978	 -0.116
	  0.978	  0.158	 -0.138

6 	  41.87	  11.18	  20.57
	  0.135	  0.248	  0.959
	 -0.695	  0.713	 -0.090
	 -0.710	 -0.652	  0.266

7 	  38.02	  -7.31	  -3.20
	  0.191	 -0.955	  0.228
	  0.874	  0.059	 -0.482
	  0.447	  0.290	  0.846

8 	  37.41	 -10.93	   7.88
	  0.155	 -0.277	  0.948
	  0.524	 -0.791	 -0.316
	  0.838	  0.545	  0.023

9 	  41.52	 -13.10	  19.28
	  0.206	 -0.129	  0.970
	  0.558	  0.829	 -0.006
	 -0.805	  0.541	  0.242

2 	  32.87	  -7.08	  22.73
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  44.02	  -0.49	   1.56
	  0.216	  0.042	  0.975
	 -0.158	  0.987	 -0.008
	 -0.964	 -0.152	  0.219

4 	  39.85	   7.77	  -2.90
	  0.312	  0.853	  0.417
	 -0.922	  0.167	  0.347
	  0.227	 -0.493	  0.839

5 	  38.02	   7.75	   9.07
	 -0.108	 -0.135	 -0.985
	 -0.151	  0.981	 -0.118
	  0.983	  0.136	 -0.126

6 	  42.15	  11.13	  20.64
	  0.153	  0.242	  0.958
	 -0.652	  0.753	 -0.090
	 -0.745	 -0.609	  0.271

7 	  37.99	  -7.29	  -3.15
	  0.190	 -0.953	  0.237
	  0.880	  0.058	 -0.471
	  0.435	  0.298	  0.850

8 	  37.42	 -10.95	   7.89
	  0.160	 -0.275	  0.948
	  0.521	 -0.792	 -0.318
	  0.838	  0.544	  0.017

9 	  41.75	 -13.24	  19.20
	  0.217	 -0.135	  0.967
	  0.559	  0.829	 -0.008
	 -0.802	  0.540	  0.254

2 	  32.87	  -7.08	  22.73
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  43.98	  -0.47	   1.58
	  0.215	  0.041	  0.976
	 -0.158	  0.987	 -0.008
	 -0.964	 -0.153	  0.219

4 	  39.80	   7.80	  -2.85
	  0.315	  0.849	  0.424
	 -0.924	  0.172	  0.340
	  0.216	 -0.500	  0.839

5 	  38.20	   8.24	   9.39
	 -0.151	 -0.191	 -0.970
	 -0.076	  0.980	 -0.181
	  0.985	  0.047	 -0.162

6 	  43.44	  11.51	  20.27
	  0.254	  0.244	  0.936
	 -0.592	  0.804	 -0.053
	 -0.768	 -0.539	  0.347

7 	  37.95	  -7.26	  -3.15
	  0.194	 -0.951	  0.241
	  0.883	  0.062	 -0.464
	  0.426	  0.303	  0.852

8 	  37.85	 -11.23	   7.88
	  0.219	 -0.327	  0.919
	  0.513	 -0.763	 -0.393
	  0.830	  0.557	  0.001

9 	  43.01	 -13.41	  18.69
	  0.294	 -0.137	  0.946
	  0.490	  0.871	 -0.025
	 -0.823	  0.469	  0.322

2 	  32.87	  -7.08	  22.73
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  43.95	  -0.44	   1.56
	  0.218	  0.041	  0.975
	 -0.161	  0.987	 -0.006
	 -0.963	 -0.155	  0.221

4 	  39.76	   7.84	  -2.83
	  0.331	  0.847	  0.415
	 -0.919	  0.190	  0.346
	  0.214	 -0.496	  0.841

5 	  39.22	   8.96	   9.46
	 -0.248	 -0.230	 -0.941
	 -0.018	  0.972	 -0.232
	  0.969	 -0.041	 -0.245

6 	  45.67	  12.02	  19.51
	  0.372	  0.250	  0.893
	 -0.500	  0.865	 -0.037
	 -0.785	 -0.431	  0.445

7 	  37.81	  -7.21	  -3.15
	  0.194	 -0.955	  0.223
	  0.875	  0.065	 -0.480
	  0.444	  0.287	  0.849

8 	  38.90	 -11.60	   7.82
	  0.340	 -0.369	  0.865
	  0.458	 -0.739	 -0.494
	  0.822	  0.563	 -0.082

9 	  45.23	 -14.13	  17.67
	  0.393	 -0.191	  0.899
	  0.457	  0.889	 -0.009
	 -0.800	  0.412	  0.436

2 	  32.87	  -7.08	  22.73
	  0.703	  0.711	 -0.023
	 -0.712	  0.702	 -0.019
	  0.004	  0.030	  0.999

3 	  43.88	  -0.40	   1.55
	  0.227	  0.041	  0.973
	 -0.161	  0.987	 -0.005
