2 	  46.97	  -0.83	   4.75
	  0.319	 -0.815	  0.483
	  0.277	  0.568	  0.775
	 -0.906	 -0.113	  0.406

3 	  45.74	  -0.67	   2.97
	  0.372	  0.144	  0.917
	  0.123	  0.971	 -0.203
	 -0.920	  0.189	  0.344

4 	  40.03	   5.92	  -2.60
	  0.633	  0.761	  0.138
	 -0.753	  0.565	  0.338
	  0.180	 -0.318	  0.931

5 	  42.38	   7.70	   9.65
	  0.563	 -0.049	  0.825
	 -0.466	 -0.844	  0.267
	  0.683	 -0.534	 -0.498

6 	  51.38	   3.52	  13.80
	  0.620	 -0.555	  0.555
	  0.260	  0.812	  0.522
	 -0.741	 -0.180	  0.647

7 	  42.42	  -9.47	  -2.29
	  0.832	 -0.511	  0.213
	  0.554	  0.761	 -0.338
	  0.011	  0.399	  0.917

8 	  44.46	 -10.48	   9.44
	  0.581	  0.230	  0.780
	  0.726	 -0.581	 -0.369
	  0.368	  0.781	 -0.505

9 	  53.09	  -5.06	  14.27
	  0.607	  0.617	  0.500
	  0.022	  0.615	 -0.788
	 -0.795	  0.489	  0.359

2 	  47.04	  -1.04	   4.64
	  0.236	 -0.795	  0.559
	  0.378	  0.605	  0.701
	 -0.895	  0.045	  0.443

3 	  45.76	  -0.67	   2.97
	  0.375	  0.141	  0.916
	  0.111	  0.974	 -0.196
	 -0.920	  0.175	  0.350

4 	  40.01	   5.87	  -2.62
	  0.627	  0.766	  0.139
	 -0.758	  0.560	  0.334
	  0.178	 -0.315	  0.932

5 	  42.35	   7.68	   9.67
	  0.564	 -0.047	  0.824
	 -0.463	 -0.844	  0.269
	  0.683	 -0.533	 -0.498

6 	  51.36	   3.50	  13.80
	  0.620	 -0.556	  0.553
	  0.263	  0.812	  0.521
	 -0.739	 -0.177	  0.650

7 	  42.45	  -9.51	  -2.27
	  0.832	 -0.510	  0.216
	  0.554	  0.760	 -0.339
	  0.008	  0.402	  0.915

8 	  44.47	 -10.48	   9.44
	  0.582	  0.230	  0.780
	  0.724	 -0.583	 -0.369
	  0.369	  0.779	 -0.506

9 	  53.16	  -5.15	  14.19
	  0.612	  0.617	  0.494
	  0.018	  0.614	 -0.789
	 -0.791	  0.492	  0.365

2 	  46.76	  -1.02	   4.52
	  0.467	 -0.736	  0.490
	  0.502	  0.677	  0.538
	 -0.728	 -0.005	  0.686

3 	  45.60	  -0.79	   3.08
	  0.338	  0.150	  0.929
	  0.086	  0.978	 -0.189
	 -0.937	  0.143	  0.317

4 	  39.97	   5.87	  -2.60
	  0.626	  0.767	  0.139
	 -0.759	  0.559	  0.333
	  0.177	 -0.314	  0.932

5 	  42.31	   7.68	   9.69
	  0.566	 -0.044	  0.823
	 -0.461	 -0.845	  0.271
	  0.683	 -0.533	 -0.499

6 	  51.36	   3.50	  13.78
	  0.622	 -0.557	  0.551
	  0.267	  0.812	  0.518
	 -0.736	 -0.175	  0.654

7 	  42.43	  -9.53	  -2.23
	  0.832	 -0.510	  0.218
	  0.554	  0.758	 -0.342
	  0.009	  0.405	  0.914

8 	  44.47	 -10.49	   9.46
	  0.583	  0.230	  0.779
	  0.723	 -0.583	 -0.370
	  0.368	  0.779	 -0.507

9 	  53.09	  -5.13	  14.22
	  0.611	  0.618	  0.494
	  0.020	  0.612	 -0.791
	 -0.792	  0.493	  0.361

2 	  46.67	  -0.67	   4.55
	  0.593	 -0.713	  0.375
	  0.370	  0.655	  0.659
	 -0.715	 -0.252	  0.652

3 	  45.53	  -0.60	   3.18
	  0.319	  0.164	  0.933
	  0.046	  0.981	 -0.188
	 -0.947	  0.102	  0.305

4 	  39.96	   5.84	  -2.62
	  0.625	  0.768	  0.140
	 -0.761	  0.558	  0.330
	  0.175	 -0.313	  0.933

5 	  42.28	   7.66	   9.69
	  0.568	 -0.043	  0.822
	 -0.461	 -0.844	  0.275
	  0.681	 -0.535	 -0.500

6 	  51.35	   3.48	  13.76
	  0.624	 -0.558	  0.548
	  0.271	  0.812	  0.517
	 -0.733	 -0.174	  0.657

7 	  42.42	  -9.56	  -2.23
	  0.831	 -0.511	  0.219
	  0.555	  0.757	 -0.343
	  0.009	  0.407	  0.913

8 	  44.44	 -10.51	   9.49
	  0.585	  0.228	  0.778
	  0.723	 -0.581	 -0.374
	  0.366	  0.781	 -0.505

9 	  53.17	  -5.12	  14.19
	  0.612	  0.620	  0.491
	  0.017	  0.610	 -0.792
	 -0.790	  0.493	  0.363

2 	  47.11	  -0.70	   5.01
	  0.209	 -0.950	  0.231
	  0.181	  0.270	  0.946
	 -0.961	 -0.156	  0.228

3 	  45.69	  -0.62	   3.09
	  0.359	  0.150	  0.921
	  0.121	  0.971	 -0.205
	 -0.925	  0.186	  0.330

