2 	  32.85	  -7.03	  22.75
	  0.595	  0.803	 -0.026
	 -0.804	  0.594	 -0.015
	  0.005	  0.030	  0.999

3 	  43.05	  -0.97	   0.47
	 -0.575	 -0.111	 -0.811
	 -0.062	 -0.982	  0.178
	 -0.816	  0.153	  0.557

4 	  39.94	   7.05	  -1.21
	  0.468	 -0.310	 -0.828
	  0.677	  0.727	  0.110
	  0.569	 -0.612	  0.549

5 	  46.37	  10.21	   8.75
	 -0.804	 -0.295	 -0.517
	 -0.091	  0.919	 -0.383
	  0.588	 -0.261	 -0.765

6 	  52.45	   8.53	   0.65
	  0.625	 -0.337	 -0.704
	  0.756	  0.489	  0.435
	  0.199	 -0.805	  0.559

7 	  37.78	  -7.38	  -1.23
	 -0.259	  0.891	 -0.372
	 -0.865	 -0.042	  0.500
	  0.431	  0.451	  0.781

8 	  38.27	 -10.67	   9.76
	  0.227	 -0.139	  0.964
	  0.565	 -0.788	 -0.246
	  0.794	  0.599	 -0.099

9 	  42.89	 -12.48	  18.83
	  0.482	 -0.090	  0.871
	  0.871	 -0.055	 -0.487
	  0.090	  0.994	  0.051

2 	  32.84	  -7.03	  22.75
	  0.595	  0.803	 -0.026
	 -0.804	  0.594	 -0.015
	  0.005	  0.030	  0.999

3 	  43.05	  -0.97	   0.54
	 -0.565	 -0.107	 -0.818
	 -0.074	 -0.981	  0.179
	 -0.822	  0.161	  0.546

4 	  39.94	   7.07	  -1.18
	  0.469	 -0.309	 -0.827
	  0.677	  0.727	  0.111
	  0.567	 -0.613	  0.550

5 	  46.37	  10.21	   8.77
	 -0.804	 -0.294	 -0.517
	 -0.091	  0.919	 -0.382
	  0.588	 -0.260	 -0.766

6 	  52.44	   8.51	   0.65
	  0.625	 -0.336	 -0.704
	  0.756	  0.489	  0.435
	  0.200	 -0.805	  0.559

7 	  37.78	  -7.37	  -1.20
	 -0.262	  0.890	 -0.372
	 -0.865	 -0.045	  0.500
	  0.430	  0.452	  0.781

8 	  38.27	 -10.67	   9.76
	  0.224	 -0.137	  0.965
	  0.568	 -0.787	 -0.242
	  0.793	  0.601	 -0.097

9 	  42.89	 -12.48	  18.84
	  0.481	 -0.090	  0.872
	  0.872	 -0.055	 -0.487
	  0.091	  0.994	  0.052

2 	  32.84	  -7.03	  22.73
	  0.595	  0.803	 -0.026
	 -0.804	  0.594	 -0.015
	  0.005	  0.030	  0.999

3 	  43.05	  -0.97	   0.51
	 -0.570	 -0.108	 -0.814
	 -0.068	 -0.982	  0.177
	 -0.819	  0.156	  0.552

4 	  39.92	   7.05	  -1.18
	  0.468	 -0.310	 -0.828
	  0.678	  0.726	  0.110
	  0.567	 -0.613	  0.549

5 	  46.37	  10.21	   8.75
	 -0.804	 -0.295	 -0.516
	 -0.091	  0.919	 -0.382
	  0.588	 -0.260	 -0.766

6 	  52.44	   8.51	   0.65
	  0.625	 -0.337	 -0.704
	  0.756	  0.488	  0.435
	  0.199	 -0.805	  0.559

7 	  37.76	  -7.38	  -1.21
	 -0.261	  0.890	 -0.372
	 -0.865	 -0.044	  0.500
	  0.430	  0.452	  0.781

8 	  38.27	 -10.67	   9.76
