2 	  32.87	  -7.07	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.79	  -2.11	   2.53
	  0.438	  0.119	  0.891
	 -0.029	  0.992	 -0.119
	 -0.899	  0.026	  0.437

4 	  42.31	   4.97	  -1.88
	  0.410	  0.895	  0.177
	 -0.892	  0.353	  0.281
	  0.190	 -0.273	  0.943

5 	  41.71	   7.54	   9.79
	  0.443	  0.226	  0.867
	 -0.367	 -0.839	  0.403
	  0.820	 -0.494	 -0.288

6 	  47.48	  10.20	  17.65
	  0.410	  0.194	  0.891
	 -0.582	  0.808	  0.088
	 -0.708	 -0.551	  0.442

7 	  41.89	  -8.56	  -1.67
	  0.498	 -0.863	  0.081
	  0.821	  0.439	 -0.364
	  0.280	  0.247	  0.927

8 	  42.49	 -11.60	   9.83
	  0.385	 -0.067	  0.920
	  0.589	 -0.750	 -0.300
	  0.712	  0.657	 -0.248

9 	  47.58	 -12.71	  17.86
	  0.333	 -0.011	  0.943
	  0.521	  0.836	 -0.170
	 -0.789	  0.544	  0.283

2 	  32.87	  -7.07	  22.75
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.78	  -2.09	   2.55
	  0.437	  0.117	  0.892
	 -0.031	  0.993	 -0.116
	 -0.899	  0.023	  0.437

4 	  42.29	   4.97	  -1.88
	  0.413	  0.892	  0.180
	 -0.891	  0.354	  0.285
	  0.191	 -0.277	  0.941

5 	  41.73	   7.68	   9.76
	  0.446	  0.241	  0.862
	 -0.370	 -0.828	  0.420
	  0.817	 -0.504	 -0.280

6 	  47.51	  10.32	  17.67
	  0.407	  0.185	  0.894
	 -0.568	  0.819	  0.085
	 -0.721	 -0.539	  0.437

7 	  41.89	  -8.53	  -1.67
	  0.499	 -0.863	  0.078
	  0.820	  0.441	 -0.364
	  0.280	  0.245	  0.928

8 	  42.50	 -11.62	   9.79
	  0.389	 -0.075	  0.918
	  0.578	 -0.756	 -0.306
	  0.719	  0.648	 -0.250

9 	  47.64	 -12.78	  17.82
	  0.337	 -0.001	  0.941
	  0.541	  0.819	 -0.189
	 -0.774	  0.569	  0.276

2 	  32.87	  -7.07	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.78	  -2.09	   2.57
	  0.436	  0.115	  0.892
	 -0.034	  0.993	 -0.113
	 -0.899	  0.019	  0.437

4 	  42.29	   4.99	  -1.86
	  0.414	  0.892	  0.181
	 -0.891	  0.354	  0.285
	  0.191	 -0.279	  0.941

5 	  41.66	   7.73	   9.77
	  0.435	  0.242	  0.867
	 -0.380	 -0.825	  0.418
	  0.819	 -0.508	 -0.266

6 	  47.37	  10.21	  17.79
	  0.399	  0.175	  0.900
	 -0.571	  0.816	  0.090
	 -0.723	 -0.547	  0.423

7 	  41.91	  -8.51	  -1.69
	  0.503	 -0.861	  0.077
	  0.818	  0.444	 -0.365
	  0.281	  0.246	  0.927

8 	  42.56	 -11.55	   9.81
	  0.388	 -0.065	  0.919
	  0.590	 -0.749	 -0.301
	  0.709	  0.658	 -0.251

9 	  47.62	 -12.59	  17.91
	  0.334	  0.002	  0.942
	  0.525	  0.830	 -0.184
	 -0.786	  0.553	  0.275

2 	  32.87	  -7.05	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.78	  -2.04	   2.58
	  0.436	  0.114	  0.892
	 -0.043	  0.993	 -0.107
	 -0.899	  0.009	  0.438

4 	  42.28	   5.01	  -1.83
	  0.410	  0.893	  0.184
	 -0.892	  0.351	  0.282
	  0.188	 -0.280	  0.941

5 	  41.66	   7.54	   9.88
	  0.437	  0.208	  0.875
	 -0.397	 -0.829	  0.393
	  0.809	 -0.517	 -0.279

6 	  47.41	   9.93	  17.89
	  0.400	  0.162	  0.902
	 -0.570	  0.815	  0.101
	 -0.723	 -0.552	  0.417

7 	  41.89	  -8.51	  -1.69
	  0.500	 -0.863	  0.076
	  0.820	  0.443	 -0.363
	  0.281	  0.243	  0.928

8 	  42.50	 -11.53	   9.81
	  0.381	 -0.063	  0.922
	  0.586	 -0.755	 -0.293
	  0.716	  0.651	 -0.249

9 	  47.60	 -12.59	  17.91
	  0.323	  0.009	  0.946
	  0.495	  0.851	 -0.174
	 -0.810	  0.522	  0.269

2 	  32.87	  -7.07	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.78	  -2.06	   2.58
	  0.437	  0.113	  0.892
	 -0.039	  0.993	 -0.108
	 -0.899	  0.013	  0.438

4 	  42.28	   5.01	  -1.83
	  0.410	  0.893	  0.185
	 -0.893	  0.351	  0.281
	  0.187	 -0.280	  0.941

5 	  41.68	   7.49	   9.88
	  0.438	  0.201	  0.876
	 -0.404	 -0.828	  0.389
	  0.805	 -0.522	 -0.280

6 	  47.37	   9.91	  17.93
	  0.395	  0.159	  0.904
	 -0.576	  0.810	  0.105
	 -0.720	 -0.560	  0.410

7 	  41.89	  -8.51	  -1.69
	  0.500	 -0.862	  0.076
	  0.820	  0.443	 -0.362
	  0.280	  0.243	  0.928

8 	  42.54	 -11.51	   9.81
	  0.372	 -0.057	  0.926
	  0.594	 -0.752	 -0.284
	  0.714	  0.655	 -0.245

9 	  47.50	 -12.59	  18.02
	  0.306	  0.005	  0.952
	  0.520	  0.837	 -0.167
	 -0.802	  0.542	  0.252

2 	  32.87	  -7.07	  22.75
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.78	  -2.06	   2.58
	  0.438	  0.113	  0.891
	 -0.039	  0.993	 -0.108
	 -0.898	  0.013	  0.439

4 	  42.28	   5.01	  -1.83
	  0.410	  0.893	  0.186
	 -0.893	  0.351	  0.281
	  0.187	 -0.281	  0.941

5 	  41.70	   7.52	   9.86
	  0.438	  0.204	  0.876
	 -0.398	 -0.830	  0.389
	  0.808	 -0.517	 -0.281

6 	  47.36	   9.97	  17.91
	  0.394	  0.162	  0.904
	 -0.579	  0.808	  0.104
	 -0.719	 -0.562	  0.410

7 	  41.91	  -8.49	  -1.67
	  0.501	 -0.862	  0.077
	  0.820	  0.443	 -0.362
	  0.279	  0.244	  0.928

8 	  42.54	 -11.57	   9.76
	  0.370	 -0.068	  0.927
	  0.586	 -0.757	 -0.288
	  0.722	  0.648	 -0.239

9 	  47.51	 -12.83	  17.89
	  0.309	 -0.013	  0.951
	  0.540	  0.826	 -0.160
	 -0.787	  0.559	  0.261

2 	  32.87	  -7.05	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.76	  -2.07	   2.57
	  0.438	  0.114	  0.891
	 -0.038	  0.993	 -0.110
	 -0.899	  0.015	  0.438

4 	  42.28	   5.03	  -1.83
	  0.414	  0.891	  0.187
	 -0.891	  0.353	  0.285
	  0.188	 -0.285	  0.940

5 	  41.80	   7.84	   9.70
	  0.443	  0.267	  0.856
	 -0.353	 -0.827	  0.437
	  0.826	 -0.494	 -0.271

6 	  47.62	  10.72	  17.53
	  0.411	  0.208	  0.887
	 -0.596	  0.798	  0.084
	 -0.695	 -0.561	  0.449

7 	  41.89	  -8.49	  -1.69
	  0.509	 -0.857	  0.077
	  0.813	  0.448	 -0.371
	  0.284	  0.251	  0.925

8 	  42.56	 -11.71	   9.58
	  0.373	 -0.114	  0.921
	  0.544	 -0.777	 -0.315
	  0.753	  0.617	 -0.228

9 	  47.50	 -13.41	  17.67
	  0.318	 -0.055	  0.947
	  0.579	  0.802	 -0.143
	 -0.755	  0.590	  0.285

2 	  32.87	  -7.05	  22.73
	  0.658	  0.752	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.74	  -2.06	   2.53
	  0.435	  0.116	  0.892
	 -0.036	  0.993	 -0.112
	 -0.900	  0.017	  0.436

4 	  42.26	   5.03	  -1.85
	  0.419	  0.888	  0.188
	 -0.888	  0.357	  0.289
	  0.191	 -0.288	  0.938

5 	  41.87	   8.19	   9.51
	  0.440	  0.341	  0.830
	 -0.303	 -0.815	  0.494
	  0.846	 -0.468	 -0.256

6 	  47.76	  11.64	  17.05
	  0.424	  0.259	  0.867
	 -0.612	  0.788	  0.059
	 -0.673	 -0.553	  0.492

7 	  41.92	  -8.44	  -1.74
	  0.519	 -0.852	  0.072
	  0.804	  0.457	 -0.380
	  0.292	  0.255	  0.922

8 	  42.43	 -12.11	   9.28
	  0.372	 -0.195	  0.907
	  0.503	 -0.780	 -0.372
	  0.781	  0.594	 -0.191

9 	  47.43	 -14.48	  17.12
	  0.325	 -0.124	  0.937
	  0.600	  0.793	 -0.099
	 -0.736	  0.591	  0.330

2 	  32.87	  -7.05	  22.73
	  0.658	  0.753	 -0.023
	 -0.754	  0.657	 -0.018
	  0.003	  0.029	  0.999

3 	  46.74	  -2.02	   2.53
	  0.429	  0.118	  0.895
	 -0.032	  0.993	 -0.117
	 -0.903	  0.021	  0.429

4 	  42.26	   5.08	  -1.86
	  0.421	  0.888	  0.184
	 -0.886	  0.358	  0.294
