2 	  32.68	  -7.37	  22.73
	  0.429	  0.903	 -0.029
	 -0.904	  0.428	 -0.010
	  0.004	  0.030	  0.999

3 	  43.51	  -0.65	   0.12
	  0.658	 -0.154	  0.737
	 -0.002	  0.978	  0.205
	 -0.754	 -0.137	  0.643

4 	  35.79	   4.85	  -4.43
	  0.124	  0.978	 -0.167
	 -0.697	  0.205	  0.687
	  0.707	  0.031	  0.706

5 	  40.71	  12.99	   1.11
	  0.789	  0.605	  0.109
	  0.094	 -0.295	  0.951
	  0.608	 -0.739	 -0.290

6 	  44.12	   6.03	  -4.73
	 -0.051	 -0.912	 -0.406
	  0.998	 -0.042	 -0.031
	  0.011	 -0.408	  0.913

7 	  35.63	  -6.12	  -3.99
	  0.363	 -0.804	 -0.471
	  0.457	  0.594	 -0.662
	  0.812	  0.024	  0.583

8 	  40.78	 -15.61	  -4.01
	  0.663	 -0.596	 -0.452
	 -0.538	  0.040	 -0.842
	  0.521	  0.801	 -0.294

9 	  44.14	  -7.19	  -7.21
	  0.057	  0.998	  0.032
	 -0.965	  0.047	  0.257
	  0.255	 -0.046	  0.966

2 	  32.66	  -7.37	  22.75
	  0.429	  0.902	 -0.028
	 -0.903	  0.429	 -0.010
	  0.004	  0.029	  0.999

3 	  43.47	  -0.67	   0.09
	  0.657	 -0.160	  0.736
	  0.002	  0.977	  0.210
	 -0.755	 -0.136	  0.642

4 	  35.72	   4.76	  -4.48
	  0.124	  0.974	 -0.188
	 -0.684	  0.220	  0.695
	  0.719	  0.042	  0.694

5 	  40.66	  13.24	   0.53
	  0.773	  0.632	  0.060
	  0.129	 -0.249	  0.960
	  0.622	 -0.734	 -0.274

6 	  44.23	   6.13	  -5.01
	 -0.016	 -0.925	 -0.380
	  0.996	  0.019	 -0.086
	  0.086	 -0.380	  0.921

7 	  35.61	  -6.08	  -4.04
	  0.357	 -0.797	 -0.487
	  0.451	  0.603	 -0.658
	  0.818	  0.015	  0.575

8 	  40.66	 -15.61	  -4.39
	  0.644	 -0.602	 -0.473
	 -0.550	  0.068	 -0.832
	  0.534	  0.795	 -0.286

9 	  44.19	  -7.21	  -7.40
	  0.085	  0.995	  0.039
	 -0.962	  0.072	  0.262
	  0.259	 -0.060	  0.964

