2 	  32.73	  -6.80	  22.96
	  0.505	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.43	  -1.71	   1.53
	  0.369	  0.193	  0.909
	  0.040	  0.974	 -0.223
	 -0.929	  0.118	  0.351

4 	  42.77	   3.99	  -5.66
	  0.316	  0.939	 -0.132
	 -0.913	  0.339	  0.229
	  0.260	  0.048	  0.964

5 	  41.75	   8.23	   5.84
	  0.197	  0.235	  0.952
	 -0.361	 -0.885	  0.293
	  0.911	 -0.401	 -0.090

6 	  47.06	  11.23	  16.61
	  0.300	  0.039	  0.953
	 -0.686	  0.703	  0.187
	 -0.662	 -0.710	  0.238

7 	  43.26	  -8.35	  -5.55
	  0.406	 -0.906	  0.113
	  0.905	  0.383	 -0.183
	  0.122	  0.177	  0.976

8 	  40.75	 -10.86	   6.13
	  0.192	 -0.202	  0.960
	  0.412	 -0.872	 -0.266
	  0.891	  0.447	 -0.085

9 	  45.69	 -12.38	  16.96
	  0.168	  0.110	  0.979
	  0.654	  0.731	 -0.195
	 -0.737	  0.673	  0.051

2 	  32.73	  -6.80	  22.96
	  0.505	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.43	  -1.71	   1.55
	  0.368	  0.193	  0.909
	  0.039	  0.974	 -0.223
	 -0.929	  0.117	  0.351

4 	  42.79	   3.99	  -5.68
	  0.315	  0.939	 -0.132
	 -0.913	  0.338	  0.228
	  0.259	  0.048	  0.964

5 	  41.73	   8.24	   5.84
	  0.197	  0.235	  0.952
	 -0.361	 -0.885	  0.293
	  0.911	 -0.401	 -0.089

6 	  47.06	  11.23	  16.59
	  0.300	  0.039	  0.953
	 -0.686	  0.703	  0.187
	 -0.662	 -0.710	  0.238

7 	  43.28	  -8.35	  -5.55
	  0.407	 -0.906	  0.114
	  0.905	  0.383	 -0.183
	  0.122	  0.177	  0.976

8 	  40.76	 -10.86	   6.13
	  0.192	 -0.202	  0.960
	  0.412	 -0.871	 -0.266
	  0.890	  0.447	 -0.084

9 	  45.67	 -12.38	  16.96
	  0.168	  0.110	  0.979
	  0.654	  0.731	 -0.195
	 -0.737	  0.673	  0.051

2 	  32.71	  -6.80	  22.94
	  0.505	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.45	  -1.71	   1.55
	  0.368	  0.193	  0.909
	  0.039	  0.974	 -0.223
	 -0.929	  0.118	  0.351

4 	  42.79	   4.01	  -5.66
	  0.316	  0.939	 -0.131
	 -0.913	  0.338	  0.228
	  0.258	  0.048	  0.965

5 	  41.73	   8.26	   5.85
	  0.195	  0.234	  0.952
	 -0.362	 -0.885	  0.292
	  0.911	 -0.402	 -0.088

6 	  47.04	  11.23	  16.63
	  0.299	  0.038	  0.953
	 -0.687	  0.702	  0.188
	 -0.662	 -0.711	  0.236

7 	  43.28	  -8.33	  -5.54
	  0.407	 -0.906	  0.114
	  0.905	  0.384	 -0.182
	  0.121	  0.177	  0.976

8 	  40.75	 -10.85	   6.13
	  0.191	 -0.201	  0.960
	  0.412	 -0.871	 -0.265
	  0.890	  0.447	 -0.084

9 	  45.69	 -12.36	  16.98
	  0.168	  0.110	  0.979
	  0.655	  0.730	 -0.195
	 -0.737	  0.674	  0.050

2 	  32.71	  -6.80	  22.96
	  0.504	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.45	  -1.69	   1.55
	  0.367	  0.194	  0.909
	  0.039	  0.974	 -0.224
	 -0.929	  0.118	  0.350

4 	  42.80	   4.03	  -5.66
	  0.316	  0.940	 -0.130
	 -0.913	  0.338	  0.227
	  0.258	  0.047	  0.965

5 	  41.73	   8.28	   5.84
	  0.195	  0.234	  0.952
	 -0.364	 -0.885	  0.291
	  0.911	 -0.403	 -0.087

6 	  47.04	  11.23	  16.65
	  0.299	  0.036	  0.953
	 -0.687	  0.702	  0.189
	 -0.662	 -0.711	  0.235

7 	  43.28	  -8.33	  -5.52
	  0.405	 -0.907	  0.115
	  0.906	  0.382	 -0.182
	  0.120	  0.178	  0.976

8 	  40.73	 -10.81	   6.15
	  0.190	 -0.202	  0.961
	  0.411	 -0.872	 -0.265
	  0.891	  0.445	 -0.083

9 	  45.65	 -12.36	  17.00
	  0.167	  0.109	  0.980
	  0.658	  0.727	 -0.194
	 -0.734	  0.677	  0.050

2 	  32.73	  -6.80	  22.96
	  0.504	  0.860	 -0.080
	 -0.863	  0.504	 -0.018
	  0.025	  0.078	  0.996

3 	  49.45	  -1.67	   1.60
	  0.366	  0.194	  0.910
	  0.040	  0.974	 -0.224
	 -0.930	  0.119	  0.348

4 	  42.82	   4.04	  -5.64
	  0.316	  0.940	 -0.128
	 -0.913	  0.338	  0.227
	  0.257	  0.045	  0.965

5 	  41.73	   8.30	   5.87
	  0.194	  0.233	  0.953
	 -0.365	 -0.885	  0.290
	  0.910	 -0.404	 -0.086

6 	  47.02	  11.23	  16.66
	  0.300	  0.035	  0.953
	 -0.687	  0.701	  0.190
	 -0.662	 -0.712	  0.234

7 	  43.28	  -8.30	  -5.52
	  0.404	 -0.907	  0.117
	  0.906	  0.381	 -0.181
	  0.119	  0.179	  0.976

8 	  40.71	 -10.78	   6.17
	  0.188	 -0.203	  0.961
	  0.411	 -0.873	 -0.265
	  0.892	  0.444	 -0.081

9 	  45.62	 -12.38	  17.00
	  0.167	  0.108	  0.980
	  0.661	  0.725	 -0.193
	 -0.731	  0.680	  0.050

2 	  32.73	  -6.80	  22.96
	  0.505	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.43	  -1.63	   1.60
	  0.365	  0.194	  0.910
	  0.041	  0.974	 -0.224
	 -0.930	  0.119	  0.347

4 	  42.82	   4.06	  -5.62
	  0.316	  0.940	 -0.126
	 -0.913	  0.338	  0.227
	  0.256	  0.043	  0.965

5 	  41.75	   8.30	   5.85
	  0.194	  0.233	  0.953
	 -0.366	 -0.884	  0.291
	  0.910	 -0.405	 -0.086

6 	  47.02	  11.23	  16.65
	  0.300	  0.033	  0.953
	 -0.687	  0.701	  0.192
	 -0.661	 -0.713	  0.233

7 	  43.28	  -8.26	  -5.50
	  0.403	 -0.907	  0.117
	  0.907	  0.380	 -0.180
	  0.119	  0.179	  0.976

8 	  40.68	 -10.76	   6.17
	  0.187	 -0.204	  0.961
	  0.409	 -0.873	 -0.265
	  0.893	  0.443	 -0.080

9 	  45.60	 -12.38	  17.02
	  0.168	  0.107	  0.980
	  0.665	  0.721	 -0.193
	 -0.728	  0.684	  0.050

2 	  32.73	  -6.80	  22.96
	  0.505	  0.859	 -0.080
	 -0.863	  0.505	 -0.018
	  0.025	  0.078	  0.996

3 	  49.43	  -1.63	   1.60
	  0.365	  0.193	  0.911
	  0.042	  0.974	 -0.224
	 -0.930	  0.119	  0.347

4 	  42.82	   4.11	  -5.62
	  0.318	  0.940	 -0.123
	 -0.913	  0.338	  0.229
	  0.257	  0.039	  0.965

5 	  41.71	   8.33	   5.85
	  0.192	  0.233	  0.953
	 -0.368	 -0.883	  0.290
	  0.910	 -0.406	 -0.084

6 	  47.02	  11.23	  16.66
	  0.300	  0.032	  0.953
	 -0.687	  0.700	  0.193
	 -0.661	 -0.713	  0.232

7 	  43.24	  -8.26	  -5.52
	  0.401	 -0.908	  0.117
	  0.908	  0.378	 -0.180
	  0.119	  0.178	  0.977

8 	  40.62	 -10.71	   6.15
	  0.185	 -0.205	  0.961
