2 	  45.95	  -0.95	   5.89
	 -0.016	  0.854	 -0.521
	 -0.212	 -0.511	 -0.833
	 -0.977	  0.097	  0.189

3 	  44.60	  -1.30	   3.96
	  0.428	  0.277	  0.860
	 -0.126	  0.961	 -0.248
	 -0.895	 -0.002	  0.446

4 	  40.71	   4.68	  -0.39
	  0.803	  0.589	 -0.094
	 -0.528	  0.775	  0.347
	  0.277	 -0.229	  0.933

5 	  42.79	   6.68	   7.01
	  0.716	 -0.140	  0.684
	 -0.624	 -0.567	  0.537
	  0.312	 -0.811	 -0.494

6 	  51.89	   3.81	  12.73
	  0.722	 -0.328	  0.609
	  0.058	  0.906	  0.419
	 -0.690	 -0.267	  0.673

7 	  41.43	  -7.56	  -0.40
	  0.880	 -0.475	  0.007
	  0.465	  0.859	 -0.213
	  0.095	  0.191	  0.977

8 	  44.00	  -8.40	   8.37
	  0.779	  0.106	  0.618
	  0.476	 -0.741	 -0.473
	  0.407	  0.663	 -0.628

9 	  50.61	  -7.42	  12.55
	  0.784	  0.354	  0.509
	  0.519	  0.076	 -0.851
	 -0.340	  0.932	 -0.124

2 	  45.84	  -0.91	   5.98
	 -0.032	  0.855	 -0.517
	 -0.215	 -0.511	 -0.832
	 -0.976	  0.084	  0.200

3 	  44.49	  -1.32	   4.01
	  0.421	  0.276	  0.864
	 -0.134	  0.961	 -0.242
	 -0.897	 -0.014	  0.442

4 	  40.66	   4.68	  -0.33
	  0.802	  0.591	 -0.088
	 -0.530	  0.771	  0.353
	  0.276	 -0.237	  0.931

5 	  42.73	   6.63	   7.05
	  0.716	 -0.142	  0.683
	 -0.625	 -0.566	  0.537
	  0.310	 -0.812	 -0.494

6 	  51.87	   3.78	  12.74
	  0.723	 -0.330	  0.607
	  0.058	  0.904	  0.422
	 -0.689	 -0.270	  0.673

7 	  41.41	  -7.54	  -0.39
	  0.879	 -0.476	  0.009
	  0.466	  0.858	 -0.216
	  0.095	  0.194	  0.976

8 	  43.98	  -8.38	   8.37
	  0.779	  0.107	  0.617
	  0.478	 -0.739	 -0.475
	  0.405	  0.665	 -0.627

9 	  50.59	  -7.40	  12.53
	  0.785	  0.353	  0.508
	  0.517	  0.077	 -0.852
	 -0.340	  0.932	 -0.123

2 	  45.81	  -0.90	   5.98
	 -0.038	  0.853	 -0.520
	 -0.219	 -0.515	 -0.829
	 -0.975	  0.083	  0.207

3 	  44.44	  -1.28	   4.06
	  0.417	  0.279	  0.865
	 -0.141	  0.960	 -0.242
	 -0.898	 -0.021	  0.439

4 	  40.61	   4.68	  -0.30
	  0.800	  0.594	 -0.086
	 -0.532	  0.768	  0.356
	  0.277	 -0.240	  0.930

5 	  42.70	   6.61	   7.08
	  0.718	 -0.143	  0.681
	 -0.623	 -0.568	  0.538
	  0.310	 -0.811	 -0.496

6 	  51.84	   3.78	  12.73
	  0.726	 -0.329	  0.604
	  0.056	  0.903	  0.425
	 -0.686	 -0.275	  0.674

