2 	  32.57	  -8.37	  22.90
	  0.184	  0.964	 -0.192
	 -0.980	  0.194	  0.034
	  0.070	  0.182	  0.981

3 	  45.16	  -0.91	   2.57
	  0.383	  0.165	  0.908
	  0.172	  0.954	 -0.246
	 -0.907	  0.251	  0.337

4 	  38.99	   5.99	  -2.62
	  0.519	  0.835	  0.180
	 -0.832	  0.445	  0.333
	  0.198	 -0.323	  0.925

5 	  37.25	   8.07	   9.37
	  0.186	  0.167	  0.968
	 -0.187	 -0.961	  0.201
	  0.964	 -0.219	 -0.148

6 	  41.98	  10.72	  19.34
	  0.367	 -0.023	  0.930
	 -0.922	  0.119	  0.367
	 -0.119	 -0.993	  0.022

7 	  40.43	  -9.76	  -2.32
	  0.657	 -0.688	  0.308
	  0.752	  0.578	 -0.315
	  0.038	  0.438	  0.898

8 	  37.81	 -11.58	   9.30
	  0.302	 -0.062	  0.951
	  0.577	 -0.782	 -0.234
	  0.759	  0.620	 -0.201

9 	  42.98	 -12.57	  19.28
	  0.381	  0.130	  0.915
	  0.924	 -0.016	 -0.383
	 -0.036	  0.991	 -0.126

2 	  32.57	  -8.35	  22.90
	  0.184	  0.964	 -0.193
	 -0.980	  0.194	  0.033
	  0.070	  0.182	  0.981

3 	  45.16	  -0.90	   2.57
	  0.382	  0.165	  0.909
	  0.172	  0.954	 -0.246
	 -0.908	  0.250	  0.336

4 	  38.99	   5.99	  -2.62
	  0.518	  0.836	  0.181
	 -0.833	  0.444	  0.331
	  0.196	 -0.322	  0.926

5 	  37.21	   8.05	   9.37
	  0.191	  0.166	  0.967
	 -0.186	 -0.961	  0.202
	  0.964	 -0.219	 -0.153

6 	  41.98	  10.72	  19.32
	  0.370	 -0.024	  0.929
	 -0.922	  0.118	  0.370
	 -0.118	 -0.993	  0.021

7 	  40.45	  -9.74	  -2.30
	  0.658	 -0.686	  0.309
	  0.751	  0.580	 -0.314
	  0.036	  0.439	  0.897

8 	  37.83	 -11.58	   9.32
	  0.302	 -0.062	  0.951
	  0.576	 -0.783	 -0.234
	  0.759	  0.619	 -0.201

9 	  43.03	 -12.64	  19.16
	  0.388	  0.126	  0.913
	  0.921	 -0.016	 -0.390
	 -0.035	  0.992	 -0.122

2 	  32.57	  -8.35	  22.90
	  0.184	  0.964	 -0.193
	 -0.980	  0.194	  0.034
	  0.070	  0.182	  0.981

