2 	  32.87	  -7.07	  22.75
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.36	  -1.60	   2.39
	  0.401	  0.104	  0.910
	 -0.014	  0.994	 -0.108
	 -0.916	  0.031	  0.399

4 	  43.19	   5.66	  -2.44
	  0.486	  0.865	  0.125
	 -0.852	  0.435	  0.291
	  0.198	 -0.248	  0.948

5 	  43.12	   8.68	   9.07
	  0.453	  0.313	  0.835
	 -0.426	 -0.747	  0.509
	  0.785	 -0.585	 -0.204

6 	  49.52	   9.81	  16.98
	  0.449	  0.018	  0.893
	 -0.273	  0.955	  0.117
	 -0.852	 -0.296	  0.432

7 	  42.29	  -7.65	  -2.37
	  0.520	 -0.854	 -0.027
	  0.791	  0.492	 -0.364
	  0.326	  0.167	  0.930

8 	  43.40	 -11.37	   9.04
	  0.440	 -0.098	  0.892
	  0.645	 -0.658	 -0.389
	  0.627	  0.745	 -0.226

9 	  49.06	 -11.30	  16.72
	  0.375	  0.102	  0.921
	  0.227	  0.953	 -0.199
	 -0.899	  0.284	  0.333

2 	  32.87	  -7.07	  22.75
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.34	  -1.62	   2.39
	  0.401	  0.106	  0.910
	 -0.015	  0.994	 -0.109
	 -0.916	  0.030	  0.400

4 	  43.17	   5.64	  -2.44
	  0.486	  0.865	  0.122
	 -0.851	  0.437	  0.290
	  0.199	 -0.245	  0.949

5 	  43.15	   8.67	   9.05
	  0.455	  0.313	  0.834
	 -0.429	 -0.745	  0.511
	  0.782	 -0.589	 -0.204

6 	  49.52	   9.77	  16.95
	  0.450	  0.018	  0.892
	 -0.265	  0.957	  0.114
	 -0.854	 -0.288	  0.434

7 	  42.29	  -7.70	  -2.36
	  0.520	 -0.854	 -0.024
	  0.790	  0.491	 -0.368
	  0.327	  0.172	  0.929

8 	  43.45	 -11.41	   9.04
	  0.443	 -0.094	  0.891
	  0.651	 -0.650	 -0.391
	  0.618	  0.753	 -0.226

9 	  49.10	 -11.21	  16.72
	  0.372	  0.103	  0.922
	  0.200	  0.961	 -0.190
	 -0.906	  0.256	  0.336

2 	  32.87	  -7.07	  22.73
	  0.657	  0.753	 -0.023
	 -0.754	  0.656	 -0.018
	  0.003	  0.029	  0.999

3 	  47.34	  -1.62	   2.41
	  0.402	  0.107	  0.909
	 -0.016	  0.994	 -0.110
	 -0.916	  0.029	  0.400

4 	  43.15	   5.62	  -2.46
	  0.486	  0.865	  0.120
	 -0.851	  0.437	  0.291
	  0.200	 -0.244	  0.949

5 	  43.15	   8.68	   9.05
	  0.455	  0.313	  0.833
	 -0.430	 -0.744	  0.512
	  0.781	 -0.589	 -0.204

6 	  49.54	   9.74	  16.93
	  0.450	  0.019	  0.892
	 -0.260	  0.959	  0.110
	 -0.855	 -0.282	  0.435

7 	  42.29	  -7.72	  -2.34
	  0.520	 -0.854	 -0.023
	  0.789	  0.490	 -0.369
	  0.328	  0.173	  0.929

8 	  43.45	 -11.41	   9.05
	  0.443	 -0.095	  0.891
	  0.651	 -0.650	 -0.392
	  0.618	  0.753	 -0.226

9 	  49.10	 -11.20	  16.72
	  0.372	  0.105	  0.922
	  0.198	  0.961	 -0.191
	 -0.907	  0.254	  0.336

2 	  32.87	  -7.07	  22.75
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.34	  -1.63	   2.41
	  0.402	  0.107	  0.909
	 -0.016	  0.994	 -0.111
	 -0.916	  0.030	  0.401

4 	  43.15	   5.61	  -2.46
	  0.488	  0.865	  0.119
	 -0.850	  0.438	  0.291
	  0.200	 -0.243	  0.949

5 	  42.96	   8.88	   8.84
	  0.426	  0.336	  0.840
	 -0.436	 -0.738	  0.514
	  0.795	 -0.583	 -0.168

6 	  49.39	   9.84	  16.84
	  0.450	  0.012	  0.893
	 -0.240	  0.965	  0.108
	 -0.860	 -0.263	  0.437

7 	  42.33	  -7.70	  -2.34
	  0.527	 -0.850	 -0.023
	  0.783	  0.495	 -0.376
	  0.332	  0.179	  0.926

8 	  43.26	 -11.64	   8.84
	  0.411	 -0.119	  0.904
	  0.660	 -0.646	 -0.384
	  0.630	  0.753	 -0.186

9 	  48.85	 -11.58	  16.66
	  0.374	  0.100	  0.922
	  0.237	  0.950	 -0.200
	 -0.897	  0.293	  0.330

2 	  32.87	  -7.05	  22.73
	  0.657	  0.753	 -0.022
	 -0.755	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.36	  -1.60	   2.39
	  0.394	  0.114	  0.912
	 -0.015	  0.993	 -0.118
	 -0.919	  0.032	  0.393

4 	  43.19	   5.62	  -2.53
	  0.480	  0.869	  0.119
	 -0.855	  0.432	  0.284
	  0.197	 -0.238	  0.951

5 	  42.77	   8.98	   8.75
	  0.413	  0.369	  0.833
	 -0.411	 -0.741	  0.530
	  0.814	 -0.560	 -0.154

6 	  49.08	  10.27	  16.86
	  0.434	  0.034	  0.900
	 -0.254	  0.963	  0.086
	 -0.864	 -0.266	  0.426

7 	  42.36	  -7.68	  -2.36
	  0.528	 -0.849	 -0.026
	  0.783	  0.496	 -0.376
	  0.333	  0.177	  0.926

8 	  42.96	 -11.94	   8.61
	  0.395	 -0.179	  0.901
	  0.629	 -0.663	 -0.406
	  0.671	  0.726	 -0.148

9 	  48.41	 -12.43	  16.49
	  0.362	  0.050	  0.930
	  0.270	  0.950	 -0.157
	 -0.893	  0.308	  0.329

2 	  32.87	  -7.05	  22.73
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.36	  -1.60	   2.39
	  0.391	  0.116	  0.912
	 -0.012	  0.992	 -0.122
	 -0.920	  0.037	  0.390

4 	  43.21	   5.59	  -2.60
	  0.477	  0.871	  0.114
	 -0.857	  0.431	  0.282
	  0.197	 -0.232	  0.952

5 	  42.47	   9.18	   8.49
	  0.382	  0.409	  0.829
	 -0.412	 -0.729	  0.547
	  0.828	 -0.549	 -0.110

6 	  48.73	  10.58	  16.66
	  0.422	  0.044	  0.905
	 -0.247	  0.966	  0.068
	 -0.872	 -0.253	  0.419

7 	  42.40	  -7.66	  -2.39
	  0.528	 -0.849	 -0.029
	  0.782	  0.498	 -0.375
	  0.334	  0.175	  0.926

8 	  42.64	 -12.23	   8.37
	  0.357	 -0.215	  0.909
	  0.637	 -0.656	 -0.404
	  0.684	  0.722	 -0.097

9 	  47.87	 -12.96	  16.45
	  0.331	  0.022	  0.943
	  0.285	  0.950	 -0.122
	 -0.900	  0.309	  0.308

2 	  32.87	  -7.07	  22.75
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.39	  -1.58	   2.39
	  0.388	  0.124	  0.913
	 -0.012	  0.991	 -0.131
	 -0.922	  0.040	  0.385

4 	  43.28	   5.54	  -2.71
	  0.470	  0.875	  0.111
	 -0.861	  0.427	  0.274
	  0.193	 -0.224	  0.955

5 	  42.13	   9.37	   8.23
	  0.334	  0.443	  0.831
	 -0.418	 -0.722	  0.551
	  0.846	 -0.530	 -0.056

6 	  48.18	  10.97	  16.65
	  0.390	  0.065	  0.918
	 -0.250	  0.967	  0.037
	 -0.887	 -0.244	  0.392

7 	  42.45	  -7.66	  -2.46
	  0.529	 -0.848	 -0.031
	  0.782	  0.500	 -0.372
	  0.332	  0.172	  0.927

8 	  42.40	 -12.45	   8.12
	  0.323	 -0.241	  0.915
	  0.651	 -0.646	 -0.399
	  0.688	  0.723	 -0.051

9 	  47.41	 -13.39	  16.40
	  0.306	  0.003	  0.952
	  0.292	  0.951	 -0.097
	 -0.906	  0.307	  0.289

2 	  32.87	  -7.07	  22.75
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.43	  -1.58	   2.41
	  0.386	  0.129	  0.913
	 -0.011	  0.990	 -0.136
	 -0.923	  0.042	  0.383

4 	  43.29	   5.50	  -2.79
	  0.463	  0.879	  0.109
	 -0.865	  0.422	  0.270
	  0.192	 -0.219	  0.956

5 	  41.78	   9.47	   7.95
	  0.292	  0.469	  0.833
	 -0.425	 -0.718	  0.550
	  0.858	 -0.513	 -0.010

6 	  47.62	  11.21	  16.59
	  0.361	  0.075	  0.929
	 -0.253	  0.967	  0.020
	 -0.898	 -0.243	  0.367

7 	  42.47	  -7.66	  -2.57
	  0.525	 -0.850	 -0.040
	  0.785	  0.501	 -0.364
	  0.331	  0.160	  0.930

8 	  42.06	 -12.64	   7.88
	  0.290	 -0.268	  0.918
	  0.651	 -0.649	 -0.394
	  0.703	  0.711	 -0.013

9 	  46.90	 -13.75	  16.29
	  0.283	 -0.016	  0.959
	  0.303	  0.950	 -0.074
	 -0.910	  0.311	  0.273

2 	  32.87	  -7.07	  22.73
	  0.657	  0.753	 -0.022
	 -0.754	  0.656	 -0.018
	  0.002	  0.029	  0.999

3 	  47.43	  -1.58	   2.39
	  0.385	  0.133	  0.913
	 -0.010	  0.990	 -0.141
	 -0.923	  0.045	  0.382

4 	  43.35	   5.48	  -2.83
	  0.458	  0.882	  0.111
	 -0.870	  0.417	  0.263
	  0.186	 -0.217	  0.958

5 	  41.68	   9.47	   7.82
	  0.266	  0.479	  0.836
	 -0.433	 -0.717	  0.546
	  0.863	 -0.505	  0.017

6 	  47.36	  11.23	  16.63
	  0.344	  0.082	  0.935
	 -0.257	  0.966	  0.009
	 -0.904	 -0.243	  0.352

7 	  42.56	  -7.66	  -2.64
	  0.525	 -0.850	 -0.040
	  0.789	  0.503	 -0.352
