2 	  46.97	   0.09	   4.27
	  0.035	 -0.889	  0.457
	  0.352	  0.438	  0.827
	 -0.935	  0.132	  0.328

3 	  45.09	   0.04	   1.86
	  0.530	 -0.068	  0.845
	 -0.167	  0.969	  0.182
	 -0.832	 -0.237	  0.501

4 	  39.20	   6.91	  -2.85
	  0.393	  0.918	  0.050
	 -0.750	  0.287	  0.596
	  0.534	 -0.271	  0.800

5 	  45.40	   8.79	   8.38
	  0.777	  0.101	  0.621
	 -0.494	 -0.515	  0.700
	  0.392	 -0.850	 -0.351

6 	  55.28	   7.37	  11.41
	  0.946	 -0.186	  0.265
	 -0.038	  0.748	  0.663
	 -0.322	 -0.639	  0.699

7 	  40.71	  -7.29	  -2.88
	  0.443	 -0.895	  0.050
	  0.873	  0.417	 -0.252
	  0.205	  0.154	  0.966

8 	  42.71	 -10.51	   9.44
	  0.573	 -0.112	  0.812
	  0.485	 -0.753	 -0.445
	  0.662	  0.648	 -0.377

9 	  52.31	  -4.52	  11.46
	  0.771	  0.608	  0.185
	 -0.480	  0.746	 -0.461
	 -0.423	  0.268	  0.866

2 	  46.93	  -0.09	   4.38
	 -0.097	 -0.830	  0.549
	  0.396	  0.474	  0.786
	 -0.913	  0.294	  0.283

3 	  45.07	   0.04	   1.86
	  0.530	 -0.068	  0.845
	 -0.167	  0.969	  0.182
	 -0.832	 -0.238	  0.502

4 	  39.18	   6.93	  -2.85
	  0.392	  0.918	  0.052
	 -0.749	  0.285	  0.597
	  0.535	 -0.273	  0.799

5 	  45.40	   8.77	   8.38
	  0.778	  0.098	  0.620
	 -0.495	 -0.514	  0.701
	  0.389	 -0.852	 -0.351

6 	  55.28	   7.37	  11.41
	  0.946	 -0.185	  0.265
	 -0.039	  0.748	  0.662
	 -0.322	 -0.639	  0.699

7 	  40.73	  -7.31	  -2.88
	  0.445	 -0.894	  0.049
	  0.872	  0.419	 -0.252
	  0.205	  0.155	  0.966

8 	  42.73	 -10.51	   9.42
	  0.573	 -0.112	  0.812
	  0.486	 -0.751	 -0.446
	  0.661	  0.649	 -0.376

9 	  52.29	  -4.50	  11.46
	  0.771	  0.608	  0.186
	 -0.481	  0.747	 -0.459
	 -0.423	  0.266	  0.866

2 	  46.74	   0.35	   3.88
	  0.222	 -0.938	  0.265
	  0.599	  0.344	  0.722
	 -0.770	 -0.000	  0.637

3 	  45.07	   0.07	   1.88
	  0.528	 -0.067	  0.846
	 -0.170	  0.969	  0.181
	 -0.832	 -0.239	  0.500

4 	  39.20	   6.94	  -2.85
	  0.392	  0.918	  0.055
	 -0.750	  0.283	  0.598
	  0.534	 -0.275	  0.799

5 	  45.40	   8.77	   8.40
	  0.778	  0.097	  0.621
	 -0.494	 -0.518	  0.698
	  0.391	 -0.849	 -0.355

6 	  55.28	   7.37	  11.43
	  0.946	 -0.185	  0.265
	 -0.040	  0.747	  0.663
	 -0.321	 -0.640	  0.698

7 	  40.75	  -7.26	  -2.90
	  0.447	 -0.893	  0.048
	  0.871	  0.421	 -0.252
	  0.205	  0.154	  0.966

8 	  42.73	 -10.49	   9.40
	  0.571	 -0.114	  0.812
	  0.487	 -0.750	 -0.447
	  0.662	  0.650	 -0.373

9 	  52.31	  -4.50	  11.46
	  0.770	  0.609	  0.188
	 -0.482	  0.748	 -0.457
	 -0.423	  0.262	  0.867

2 	  47.00	   0.54	   4.29
	  0.136	 -0.958	  0.252
	  0.357	  0.284	  0.890
	 -0.924	 -0.031	  0.380

3 	  45.07	   0.12	   1.90
	  0.527	 -0.068	  0.847
	 -0.169	  0.969	  0.181
	 -0.833	 -0.238	  0.499

4 	  39.18	   6.98	  -2.81
	  0.390	  0.919	  0.058
	 -0.751	  0.279	  0.598
	  0.535	 -0.276	  0.798

5 	  45.39	   8.77	   8.42
	  0.778	  0.096	  0.620
	 -0.493	 -0.520	  0.698
	  0.391	 -0.848	 -0.358

6 	  55.27	   7.35	  11.43
	  0.947	 -0.185	  0.263
	 -0.039	  0.745	  0.665
	 -0.320	 -0.642	  0.696

7 	  40.75	  -7.24	  -2.92
	  0.448	 -0.893	  0.047
	  0.870	  0.423	 -0.252
	  0.205	  0.153	  0.966

8 	  42.75	 -10.49	   9.40
