2 	  32.71	  -8.84	  22.75
	  0.714	  0.699	 -0.040
	 -0.701	  0.712	 -0.039
	  0.002	  0.056	  0.998

3 	  45.56	  -0.93	   1.60
	  0.552	 -0.061	  0.831
	 -0.082	  0.988	  0.127
	 -0.830	 -0.138	  0.540

4 	  40.25	   6.33	  -3.06
	  0.391	  0.913	  0.111
	 -0.811	  0.284	  0.512
	  0.437	 -0.290	  0.851

5 	  41.75	   9.04	   9.63
	  0.405	  0.223	  0.886
	 -0.667	 -0.592	  0.452
	  0.628	 -0.773	 -0.090

6 	  47.81	  10.00	  19.30
	  0.544	 -0.093	  0.833
	 -0.671	  0.551	  0.495
	 -0.510	 -0.826	  0.239

7 	  40.69	  -8.09	  -2.99
	  0.304	 -0.947	  0.103
	  0.945	  0.286	 -0.154
	  0.116	  0.144	  0.983

8 	  40.75	 -10.28	   9.63
	  0.409	 -0.093	  0.908
	  0.332	 -0.912	 -0.240
	  0.851	  0.398	 -0.341

9 	  46.69	 -12.34	  19.76
	  0.488	 -0.033	  0.872
	  0.867	  0.136	 -0.479
	 -0.108	  0.990	  0.094

2 	  32.70	  -8.84	  22.75
	  0.713	  0.699	 -0.040
	 -0.702	  0.711	 -0.039
	  0.002	  0.056	  0.998

3 	  45.54	  -0.91	   1.62
	  0.550	 -0.061	  0.833
	 -0.083	  0.988	  0.127
	 -0.831	 -0.139	  0.538

4 	  40.25	   6.35	  -3.06
	  0.392	  0.913	  0.112
	 -0.811	  0.285	  0.511
	  0.436	 -0.291	  0.852

5 	  41.75	   9.05	   9.65
	  0.406	  0.220	  0.886
	 -0.668	 -0.591	  0.452
	  0.625	 -0.775	 -0.092

6 	  47.81	  10.00	  19.30
	  0.545	 -0.094	  0.833
	 -0.670	  0.552	  0.496
	 -0.512	 -0.825	  0.239

7 	  40.68	  -8.09	  -3.01
	  0.304	 -0.947	  0.103
	  0.945	  0.286	 -0.154
	  0.116	  0.144	  0.983

8 	  40.73	 -10.30	   9.63
	  0.408	 -0.093	  0.908
	  0.332	 -0.912	 -0.241
	  0.851	  0.398	 -0.341

9 	  46.69	 -12.34	  19.78
	  0.488	 -0.033	  0.872
	  0.867	  0.136	 -0.479
	 -0.108	  0.990	  0.094

2 	  32.70	  -8.84	  22.75
	  0.713	  0.700	 -0.040
	 -0.702	  0.711	 -0.040
	  0.002	  0.056	  0.998

3 	  45.54	  -0.91	   1.62
	  0.547	 -0.063	  0.834
	 -0.084	  0.988	  0.129
	 -0.833	 -0.140	  0.535

4 	  40.24	   6.35	  -3.04
	  0.392	  0.913	  0.111
	 -0.811	  0.285	  0.511
	  0.436	 -0.290	  0.852

5 	  41.75	   9.07	   9.65
	  0.408	  0.218	  0.886
	 -0.670	 -0.589	  0.452
	  0.622	 -0.777	 -0.094

6 	  47.81	   9.98	  19.30
	  0.544	 -0.095	  0.833
	 -0.670	  0.552	  0.496
	 -0.513	 -0.825	  0.238

7 	  40.68	  -8.07	  -3.01
	  0.304	 -0.947	  0.103
	  0.945	  0.287	 -0.153
	  0.115	  0.144	  0.983

8 	  40.73	 -10.28	   9.63
	  0.409	 -0.093	  0.908
	  0.332	 -0.912	 -0.241
	  0.851	  0.398	 -0.341

9 	  46.69	 -12.34	  19.78
	  0.488	 -0.033	  0.872
	  0.867	  0.135	 -0.479
	 -0.107	  0.990	  0.094

2 	  32.70	  -8.84	  22.75
	  0.713	  0.700	 -0.040
	 -0.702	  0.711	 -0.039
	  0.002	  0.056	  0.998

3 	  45.53	  -0.91	   1.63
	  0.546	 -0.063	  0.835
	 -0.084	  0.988	  0.129
	 -0.833	 -0.141	  0.534

4 	  40.22	   6.33	  -3.04
	  0.391	  0.913	  0.112
	 -0.811	  0.284	  0.511
	  0.436	 -0.290	  0.851

5 	  41.73	   9.07	   9.65
	  0.408	  0.218	  0.886
	 -0.670	 -0.589	  0.452
	  0.622	 -0.777	 -0.094

6 	  47.79	   9.98	  19.32
	  0.544	 -0.095	  0.833
	 -0.670	  0.552	  0.496
	 -0.513	 -0.825	  0.238

7 	  40.68	  -8.07	  -2.99
	  0.304	 -0.947	  0.103
	  0.945	  0.287	 -0.153
	  0.115	  0.144	  0.983

8 	  40.73	 -10.28	   9.63
	  0.409	 -0.094	  0.907
	  0.333	 -0.911	 -0.243
	  0.851	  0.399	 -0.341

9 	  46.69	 -12.36	  19.74
	  0.488	 -0.035	  0.872
	  0.867	  0.134	 -0.479
	 -0.105	  0.990	  0.094

2 	  32.71	  -8.82	  22.75
	  0.713	  0.700	 -0.040
	 -0.702	  0.711	 -0.039
	  0.002	  0.056	  0.998

3 	  45.53	  -0.91	   1.63
	  0.547	 -0.064	  0.834
	 -0.084	  0.988	  0.130
	 -0.833	 -0.141	  0.535

4 	  40.22	   6.35	  -3.04
	  0.391	  0.913	  0.112
	 -0.811	  0.283	  0.511
	  0.436	 -0.290	  0.852

5 	  41.71	   9.07	   9.67
	  0.408	  0.225	  0.884
	 -0.664	 -0.593	  0.456
	  0.628	 -0.772	 -0.092

6 	  47.79	  10.00	  19.30
	  0.545	 -0.095	  0.833
	 -0.669	  0.552	  0.497
	 -0.512	 -0.825	  0.239

7 	  40.66	  -8.07	  -3.01
	  0.304	 -0.947	  0.103
	  0.945	  0.287	 -0.154
	  0.116	  0.144	  0.983

8 	  40.73	 -10.30	   9.63
	  0.409	 -0.094	  0.907
	  0.333	 -0.911	 -0.243
	  0.851	  0.399	 -0.341

9 	  46.69	 -12.36	  19.76
	  0.488	 -0.035	  0.872
	  0.867	  0.134	 -0.479
	 -0.105	  0.990	  0.094

2 	  32.71	  -8.82	  22.75
	  0.713	  0.700	 -0.038
	 -0.702	  0.711	 -0.038
	  0.002	  0.054	  0.998

3 	  45.51	  -0.91	   1.62
	  0.548	 -0.063	  0.834
	 -0.084	  0.988	  0.129
	 -0.832	 -0.141	  0.536

4 	  40.22	   6.35	  -3.04
	  0.391	  0.913	  0.113
	 -0.811	  0.283	  0.512
	  0.437	 -0.291	  0.851

5 	  41.73	   9.07	   9.65
	  0.415	  0.218	  0.883
	 -0.668	 -0.586	  0.458
	  0.619	 -0.779	 -0.097

6 	  47.81	  10.00	  19.32
	  0.544	 -0.096	  0.833
	 -0.670	  0.552	  0.496
	 -0.513	 -0.825	  0.238

7 	  40.68	  -8.07	  -3.01
	  0.305	 -0.947	  0.102
	  0.945	  0.287	 -0.154
	  0.116	  0.144	  0.983

8 	  40.73	 -10.28	   9.62
	  0.411	 -0.094	  0.907
	  0.332	 -0.911	 -0.243
	  0.850	  0.399	 -0.342

9 	  46.69	 -12.34	  19.76
	  0.488	 -0.034	  0.871
	  0.867	  0.135	 -0.480
	 -0.106	  0.990	  0.094

2 	  32.70	  -8.84	  22.75
	  0.714	  0.699	 -0.037
	 -0.701	  0.712	 -0.037
	  0.002	  0.053	  0.998

3 	  45.54	  -0.91	   1.62
	  0.550	 -0.062	  0.832
	 -0.083	  0.988	  0.127
	 -0.831	 -0.139	  0.539

4 	  40.24	   6.36	  -3.04
	  0.391	  0.914	  0.112
	 -0.811	  0.283	  0.512
	  0.438	 -0.290	  0.851

5 	  41.77	   9.07	   9.65
	  0.414	  0.220	  0.883
	 -0.668	 -0.586	  0.458
	  0.620	 -0.779	 -0.095

6 	  47.81	  10.00	  19.32
	  0.543	 -0.096	  0.834
	 -0.670	  0.553	  0.495
	 -0.514	 -0.824	  0.237

7 	  40.68	  -8.07	  -3.02
	  0.305	 -0.947	  0.102
	  0.945	  0.287	 -0.154
