2 	  32.77	  -6.82	  22.99
	  0.620	  0.783	 -0.032
	 -0.784	  0.620	 -0.021
	  0.003	  0.037	  0.999

3 	  44.33	  -0.69	   2.78
	  0.389	  0.144	  0.910
	 -0.266	  0.963	 -0.040
	 -0.882	 -0.226	  0.413

4 	  38.64	   5.48	  -4.50
	  0.792	  0.596	 -0.130
	 -0.557	  0.793	  0.246
	  0.249	 -0.123	  0.960

5 	  44.72	  11.55	   3.34
	  0.839	  0.255	  0.481
	 -0.472	 -0.101	  0.875
	  0.272	 -0.962	  0.036

6 	  50.64	   2.72	   8.24
	  0.339	 -0.744	  0.576
	  0.939	  0.233	 -0.252
	  0.053	  0.626	  0.778

7 	  38.51	  -7.35	  -3.71
	  0.868	 -0.442	 -0.224
	  0.322	  0.847	 -0.422
	  0.376	  0.294	  0.879

8 	  43.07	 -12.36	   5.47
	  0.812	 -0.282	  0.511
	  0.119	 -0.777	 -0.618
	  0.571	  0.562	 -0.598

9 	  50.64	  -4.01	   8.33
	  0.462	  0.815	  0.349
	 -0.883	  0.460	  0.093
	 -0.084	 -0.352	  0.932

2 	  32.77	  -6.82	  22.99
	  0.620	  0.783	 -0.032
	 -0.784	  0.620	 -0.021
	  0.004	  0.037	  0.999

3 	  44.37	  -0.69	   2.74
	  0.394	  0.145	  0.907
	 -0.265	  0.963	 -0.039
	 -0.880	 -0.225	  0.418

4 	  38.64	   5.48	  -4.50
	  0.792	  0.597	 -0.130
	 -0.558	  0.793	  0.245
	  0.250	 -0.122	  0.960

5 	  44.70	  11.55	   3.36
	  0.837	  0.255	  0.483
	 -0.474	 -0.102	  0.875
	  0.272	 -0.961	  0.036

6 	  50.62	   2.72	   8.26
	  0.339	 -0.743	  0.577
	  0.939	  0.234	 -0.250
	  0.051	  0.627	  0.777

7 	  38.55	  -7.33	  -3.74
	  0.869	 -0.438	 -0.227
	  0.318	  0.849	 -0.420
	  0.377	  0.293	  0.878

8 	  43.10	 -12.36	   5.43
	  0.812	 -0.279	  0.513
	  0.124	 -0.776	 -0.618
	  0.571	  0.565	 -0.595

9 	  50.64	  -3.99	   8.35
	  0.458	  0.816	  0.351
	 -0.885	  0.457	  0.092
	 -0.085	 -0.353	  0.932

2 	  32.78	  -6.80	  22.99
	  0.620	  0.783	 -0.032
	 -0.784	  0.620	 -0.021
	  0.004	  0.037	  0.999

3 	  44.40	  -0.67	   2.72
	  0.396	  0.144	  0.906
	 -0.264	  0.964	 -0.038
	 -0.879	 -0.224	  0.420

4 	  38.65	   5.50	  -4.52
	  0.790	  0.598	 -0.132
	 -0.559	  0.792	  0.245
	  0.251	 -0.120	  0.960

5 	  44.68	  11.58	   3.36
	  0.836	  0.257	  0.484
	 -0.474	 -0.104	  0.874
	  0.275	 -0.961	  0.035

6 	  50.62	   2.78	   8.30
	  0.339	 -0.742	  0.578
	  0.939	  0.235	 -0.248
	  0.048	  0.627	  0.777

7 	  38.55	  -7.33	  -3.76
	  0.870	 -0.437	 -0.229
	  0.316	  0.850	 -0.421
	  0.378	  0.293	  0.878

8 	  43.12	 -12.34	   5.45
	  0.810	 -0.276	  0.516
	  0.129	 -0.776	 -0.617
	  0.571	  0.567	 -0.593

9 	  50.62	  -3.99	   8.38
	  0.455	  0.817	  0.353
	 -0.886	  0.455	  0.089
	 -0.088	 -0.354	  0.931

2 	  32.78	  -6.82	  22.99
	  0.620	  0.783	 -0.032
	 -0.784	  0.620	 -0.021
	  0.004	  0.037	  0.999

3 	  44.42	  -0.65	   2.69
	  0.397	  0.145	  0.906
