2 	  32.70	  -6.63	  23.01
	  0.031	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.28	  -0.28	   2.09
	 -0.176	  0.141	 -0.974
	  0.046	 -0.987	 -0.151
	 -0.983	 -0.071	  0.167

4 	  38.85	   6.43	  -3.46
	  0.514	  0.848	  0.129
	 -0.832	  0.456	  0.315
	  0.209	 -0.269	  0.940

5 	  37.86	   8.91	  10.20
	  0.226	  0.112	  0.968
	 -0.103	 -0.985	  0.138
	  0.969	 -0.130	 -0.212

6 	  43.68	   9.35	  21.01
	  0.139	  0.002	  0.990
	 -0.220	  0.975	  0.029
	 -0.965	 -0.222	  0.136

7 	  39.23	  -8.05	  -3.55
	  0.399	 -0.873	  0.279
	  0.906	  0.328	 -0.268
	  0.142	  0.360	  0.922

8 	  38.04	 -10.23	   9.90
	  0.295	 -0.088	  0.951
	  0.121	 -0.984	 -0.129
	  0.947	  0.154	 -0.280

9 	  42.71	  -9.37	  17.81
	  0.285	  0.072	  0.956
	  0.477	  0.854	 -0.207
	 -0.831	  0.515	  0.209

2 	  32.68	  -6.63	  23.01
	  0.030	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.035	  0.999

3 	  44.28	  -0.26	   2.09
	 -0.176	  0.142	 -0.974
	  0.047	 -0.987	 -0.152
	 -0.983	 -0.072	  0.167

4 	  38.87	   6.45	  -3.46
	  0.520	  0.844	  0.128
	 -0.828	  0.461	  0.319
	  0.210	 -0.273	  0.939

5 	  38.13	   9.05	  10.14
	  0.246	  0.117	  0.962
	 -0.122	 -0.981	  0.150
	  0.961	 -0.155	 -0.227

6 	  43.95	   9.40	  20.94
	  0.149	  0.010	  0.989
	 -0.165	  0.986	  0.014
	 -0.975	 -0.165	  0.148

7 	  39.25	  -8.05	  -3.55
	  0.408	 -0.869	  0.279
	  0.901	  0.335	 -0.275
	  0.145	  0.363	  0.920

8 	  38.29	 -10.39	   9.86
	  0.313	 -0.099	  0.944
	  0.134	 -0.980	 -0.147
	  0.940	  0.173	 -0.294

9 	  43.28	  -9.42	  17.19
	  0.320	  0.068	  0.945
	  0.437	  0.874	 -0.211
	 -0.841	  0.480	  0.250

2 	  32.68	  -6.61	  22.99
	  0.030	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.30	  -0.26	   2.04
	 -0.177	  0.143	 -0.974
	  0.047	 -0.987	 -0.154
	 -0.983	 -0.073	  0.167

4 	  38.90	   6.45	  -3.45
	  0.529	  0.839	  0.128
	 -0.822	  0.469	  0.323
	  0.212	 -0.276	  0.937

5 	  38.43	   9.19	  10.16
	  0.270	  0.130	  0.954
	 -0.120	 -0.978	  0.167
	  0.955	 -0.160	 -0.248

6 	  44.42	   9.60	  20.83
	  0.165	  0.003	  0.986
	 -0.155	  0.988	  0.022
	 -0.974	 -0.156	  0.163

7 	  39.27	  -8.05	  -3.57
	  0.415	 -0.867	  0.276
	  0.897	  0.340	 -0.281
	  0.149	  0.364	  0.919

8 	  38.58	 -10.51	   9.88
	  0.345	 -0.111	  0.932
	  0.120	 -0.979	 -0.161
	  0.931	  0.168	 -0.325

9 	  43.98	  -9.65	  16.98
	  0.354	  0.060	  0.933
	  0.438	  0.870	 -0.223
	 -0.826	  0.488	  0.282

2 	  32.68	  -6.63	  22.99
	  0.031	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.31	  -0.25	   2.04
	 -0.175	  0.145	 -0.974
	  0.048	 -0.987	 -0.156
	 -0.983	 -0.074	  0.166

4 	  38.94	   6.45	  -3.45
	  0.541	  0.832	  0.123
	 -0.813	  0.479	  0.330
	  0.216	 -0.278	  0.936

5 	  38.81	   9.44	  10.12
	  0.300	  0.141	  0.943
	 -0.140	 -0.972	  0.189
	  0.943	 -0.189	 -0.272

6 	  45.07	   9.77	  20.55
	  0.196	  0.008	  0.980
	 -0.126	  0.992	  0.017
	 -0.972	 -0.127	  0.195

7 	  39.27	  -8.05	  -3.57
	  0.420	 -0.865	  0.274
	  0.894	  0.344	 -0.285
	  0.152	  0.365	  0.918

8 	  39.01	 -10.58	   9.88
	  0.386	 -0.125	  0.914
	  0.102	 -0.979	 -0.177
	  0.917	  0.161	 -0.365

9 	  44.75	 -10.02	  16.44
	  0.402	  0.042	  0.914
	  0.447	  0.863	 -0.237
	 -0.799	  0.504	  0.328

2 	  32.68	  -6.63	  22.99
	  0.030	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.30	  -0.25	   2.04
	 -0.174	  0.146	 -0.974
	  0.047	 -0.987	 -0.156
	 -0.984	 -0.073	  0.164

4 	  38.92	   6.43	  -3.43
	  0.551	  0.827	  0.114
	 -0.804	  0.489	  0.337
	  0.223	 -0.278	  0.934

5 	  39.29	   9.60	  10.14
	  0.339	  0.155	  0.928
	 -0.137	 -0.968	  0.211
	  0.930	 -0.199	 -0.307

6 	  45.88	  10.12	  20.18
	  0.237	  0.020	  0.971
	 -0.126	  0.992	  0.010
	 -0.963	 -0.125	  0.237

7 	  39.27	  -8.03	  -3.59
	  0.427	 -0.863	  0.271
	  0.890	  0.349	 -0.292
	  0.157	  0.366	  0.917

8 	  39.50	 -10.63	   9.91
	  0.442	 -0.140	  0.886
	  0.082	 -0.977	 -0.195
	  0.893	  0.159	 -0.420

9 	  45.74	 -10.32	  15.86
	  0.459	  0.035	  0.888
	  0.467	  0.840	 -0.275
	 -0.756	  0.540	  0.369

2 	  32.68	  -6.63	  22.99
	  0.031	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.31	  -0.26	   2.00
	 -0.173	  0.146	 -0.974
	  0.047	 -0.986	 -0.157
	 -0.984	 -0.073	  0.163

4 	  38.95	   6.45	  -3.45
	  0.561	  0.822	  0.099
	 -0.793	  0.499	  0.349
	  0.238	 -0.275	  0.932

5 	  39.80	   9.86	  10.00
	  0.380	  0.166	  0.910
	 -0.147	 -0.960	  0.236
	  0.913	 -0.223	 -0.341

6 	  46.67	  10.25	  19.76
	  0.283	  0.021	  0.959
	 -0.117	  0.993	  0.013
	 -0.952	 -0.116	  0.284

7 	  39.27	  -8.02	  -3.59
	  0.432	 -0.861	  0.269
	  0.888	  0.353	 -0.295
	  0.159	  0.366	  0.917

8 	  39.94	 -10.72	   9.88
	  0.489	 -0.149	  0.859
	  0.066	 -0.976	 -0.207
	  0.870	  0.158	 -0.468

9 	  46.65	 -10.44	  15.13
	  0.516	  0.030	  0.856
	  0.461	  0.832	 -0.308
	 -0.722	  0.553	  0.416

2 	  32.66	  -6.63	  22.99
	  0.031	  0.999	 -0.036
	 -1.000	  0.030	 -0.004
	 -0.003	  0.036	  0.999

3 	  44.31	  -0.26	   2.00
	 -0.170	  0.146	 -0.974
	  0.048	 -0.986	 -0.156
	 -0.984	 -0.073	  0.161

4 	  38.99	   6.45	  -3.48
	  0.573	  0.815	  0.080
	 -0.780	  0.512	  0.360
	  0.253	 -0.270	  0.929

5 	  40.27	  10.00	   9.91
	  0.413	  0.173	  0.894
	 -0.154	 -0.955	  0.255
	  0.897	 -0.243	 -0.368

6 	  47.48	  10.42	  19.28
	  0.332	  0.021	  0.943
	 -0.144	  0.989	  0.028
	 -0.932	 -0.145	  0.332

7 	  39.29	  -8.00	  -3.60
