2 	  32.80	  -6.63	  22.96
	  0.625	  0.780	 -0.028
	 -0.780	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.16	  -0.53	   1.69
	 -0.228	  0.131	 -0.965
	  0.057	 -0.987	 -0.148
	 -0.972	 -0.089	  0.217

4 	  39.38	   6.35	  -4.17
	  0.656	  0.755	  0.017
	 -0.688	  0.588	  0.424
	  0.310	 -0.290	  0.905

5 	  41.71	   9.14	   9.28
	  0.435	 -0.107	  0.894
	 -0.427	 -0.899	  0.100
	  0.792	 -0.425	 -0.437

6 	  48.99	   0.11	  11.20
	  0.291	 -0.953	  0.079
	 -0.561	 -0.103	  0.821
	 -0.775	 -0.284	 -0.564

7 	  39.18	  -8.10	  -3.99
	  0.599	 -0.773	  0.207
	  0.756	  0.462	 -0.463
	  0.262	  0.434	  0.862

8 	  43.66	  -9.28	   8.81
	  0.590	  0.335	  0.734
	  0.698	 -0.669	 -0.256
	  0.405	  0.663	 -0.629

9 	  46.09	  -2.46	   6.45
	  0.190	  0.973	 -0.128
	 -0.862	  0.103	 -0.495
	 -0.469	  0.204	  0.859

2 	  32.80	  -6.63	  22.96
	  0.625	  0.780	 -0.028
	 -0.780	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.17	  -0.53	   1.69
	 -0.227	  0.131	 -0.965
	  0.058	 -0.987	 -0.148
	 -0.972	 -0.090	  0.216

4 	  39.38	   6.35	  -4.17
	  0.656	  0.754	  0.017
	 -0.688	  0.589	  0.423
	  0.309	 -0.290	  0.906

5 	  41.73	   9.14	   9.28
	  0.435	 -0.107	  0.894
	 -0.423	 -0.901	  0.098
	  0.794	 -0.421	 -0.438

6 	  49.04	   0.11	  11.14
	  0.293	 -0.953	  0.079
	 -0.553	 -0.102	  0.827
	 -0.780	 -0.287	 -0.557

7 	  39.23	  -8.14	  -3.99
	  0.598	 -0.774	  0.208
	  0.757	  0.461	 -0.462
	  0.261	  0.434	  0.862

8 	  43.66	  -9.23	   8.89
	  0.588	  0.337	  0.735
	  0.692	 -0.681	 -0.241
	  0.418	  0.650	 -0.634

9 	  46.16	  -2.36	   6.50
	  0.192	  0.972	 -0.136
	 -0.856	  0.098	 -0.508
	 -0.480	  0.214	  0.851

2 	  32.80	  -6.64	  22.96
	  0.625	  0.780	 -0.028
	 -0.781	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.19	  -0.53	   1.69
	 -0.224	  0.132	 -0.966
	  0.061	 -0.987	 -0.149
	 -0.973	 -0.093	  0.213

4 	  39.38	   6.36	  -4.17
	  0.656	  0.755	  0.018
	 -0.689	  0.588	  0.422
	  0.308	 -0.290	  0.906

5 	  41.73	   9.12	   9.28
	  0.436	 -0.108	  0.893
	 -0.419	 -0.903	  0.095
	  0.796	 -0.416	 -0.440

6 	  49.04	   0.12	  11.16
	  0.295	 -0.952	  0.079
	 -0.549	 -0.101	  0.830
	 -0.782	 -0.288	 -0.552

7 	  39.25	  -8.14	  -3.97
	  0.598	 -0.773	  0.209
	  0.757	  0.461	 -0.462
	  0.260	  0.435	  0.862

8 	  43.65	  -9.19	   8.88
	  0.589	  0.336	  0.735
	  0.689	 -0.684	 -0.240
	  0.422	  0.647	 -0.635

9 	  46.18	  -2.30	   6.54
	  0.193	  0.971	 -0.137
	 -0.852	  0.096	 -0.515
	 -0.487	  0.216	  0.846

2 	  32.80	  -6.63	  22.96
	  0.625	  0.780	 -0.028
	 -0.781	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.23	  -0.53	   1.71
	 -0.219	  0.132	 -0.967
	  0.064	 -0.987	 -0.149
	 -0.974	 -0.095	  0.207

4 	  39.39	   6.36	  -4.17
	  0.656	  0.754	  0.019
	 -0.689	  0.589	  0.422
	  0.307	 -0.290	  0.906

5 	  41.71	   9.07	   9.32
	  0.437	 -0.111	  0.892
	 -0.413	 -0.906	  0.089
	  0.799	 -0.408	 -0.442

6 	  49.06	   0.12	  11.14
	  0.299	 -0.951	  0.077
	 -0.540	 -0.102	  0.835
	 -0.786	 -0.292	 -0.545

7 	  39.25	  -8.12	  -3.96
	  0.598	 -0.773	  0.210
	  0.758	  0.461	 -0.461
	  0.259	  0.435	  0.862

8 	  43.58	  -9.14	   8.89
	  0.589	  0.334	  0.735
	  0.683	 -0.692	 -0.233
	  0.431	  0.640	 -0.636

9 	  46.18	  -2.32	   6.56
	  0.199	  0.970	 -0.139
	 -0.848	  0.099	 -0.521
	 -0.492	  0.222	  0.842

2 	  32.80	  -6.63	  22.96
	  0.625	  0.780	 -0.028
	 -0.781	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.23	  -0.51	   1.71
	 -0.216	  0.131	 -0.967
	  0.065	 -0.987	 -0.149
	 -0.974	 -0.095	  0.205

4 	  39.39	   6.38	  -4.15
	  0.656	  0.755	  0.019
	 -0.689	  0.588	  0.422
	  0.307	 -0.290	  0.906

5 	  41.68	   8.98	   9.35
	  0.441	 -0.115	  0.890
	 -0.402	 -0.912	  0.081
	  0.802	 -0.394	 -0.448

6 	  49.17	   0.04	  11.04
	  0.310	 -0.948	  0.069
	 -0.518	 -0.108	  0.848
	 -0.797	 -0.299	 -0.525

7 	  39.25	  -8.12	  -3.94
	  0.598	 -0.773	  0.209
	  0.758	  0.461	 -0.462
	  0.260	  0.435	  0.862

8 	  43.37	  -9.07	   9.02
	  0.588	  0.328	  0.739
	  0.663	 -0.718	 -0.209
	  0.462	  0.613	 -0.640

9 	  46.44	  -2.51	   6.49
	  0.237	  0.958	 -0.162
	 -0.843	  0.120	 -0.524
	 -0.483	  0.260	  0.836

2 	  32.80	  -6.64	  22.96
	  0.625	  0.780	 -0.028
	 -0.780	  0.625	 -0.019
	  0.003	  0.034	  0.999

3 	  44.23	  -0.49	   1.72
	 -0.216	  0.131	 -0.967
	  0.065	 -0.987	 -0.148
	 -0.974	 -0.095	  0.205

4 	  39.38	   6.38	  -4.13
	  0.654	  0.756	  0.021
