2 	  32.71	  -6.82	  23.01
	  0.439	  0.898	 -0.035
	 -0.899	  0.438	 -0.012
	  0.004	  0.036	  0.999

3 	  42.31	  -0.63	   1.78
	  0.321	  0.176	  0.930
	 -0.065	  0.984	 -0.164
	 -0.945	 -0.008	  0.328

4 	  39.29	   6.33	  -6.10
	  0.579	  0.815	 -0.015
	 -0.766	  0.550	  0.332
	  0.279	 -0.181	  0.943

5 	  39.11	  15.59	   1.95
	  0.307	  0.744	  0.593
	 -0.541	 -0.377	  0.752
	  0.783	 -0.552	  0.287

6 	  46.76	  12.52	  11.60
	  0.263	 -0.194	  0.945
	  0.738	  0.671	 -0.068
	 -0.621	  0.715	  0.319

7 	  38.67	  -6.86	  -6.52
	  0.443	 -0.896	 -0.010
	  0.889	  0.441	 -0.123
	  0.115	  0.045	  0.992

8 	  38.74	 -16.05	   1.14
	  0.311	 -0.748	  0.587
	  0.378	 -0.469	 -0.798
	  0.872	  0.470	  0.137

9 	  46.88	 -15.61	  10.44
	  0.378	  0.009	  0.925
	 -0.432	  0.886	  0.168
	 -0.818	 -0.464	  0.339

2 	  32.70	  -6.82	  23.03
	  0.438	  0.898	 -0.035
	 -0.899	  0.438	 -0.013
	  0.004	  0.037	  0.999

3 	  42.31	  -0.63	   1.79
	  0.321	  0.177	  0.930
	 -0.065	  0.984	 -0.165
	 -0.945	 -0.007	  0.327

4 	  39.29	   6.35	  -6.10
	  0.578	  0.815	 -0.015
	 -0.766	  0.549	  0.333
	  0.279	 -0.181	  0.943

5 	  39.11	  15.59	   1.95
	  0.306	  0.744	  0.594
	 -0.540	 -0.378	  0.752
	  0.784	 -0.551	  0.286

6 	  46.74	  12.48	  11.62
	  0.263	 -0.195	  0.945
	  0.738	  0.672	 -0.067
	 -0.622	  0.714	  0.320

7 	  38.67	  -6.86	  -6.52
	  0.443	 -0.896	 -0.010
	  0.889	  0.441	 -0.123
	  0.115	  0.046	  0.992

8 	  38.72	 -16.07	   1.12
	  0.311	 -0.748	  0.587
	  0.377	 -0.469	 -0.798
	  0.872	  0.470	  0.136

9 	  46.88	 -15.57	  10.46
	  0.379	  0.009	  0.925
	 -0.433	  0.885	  0.168
	 -0.818	 -0.464	  0.339

2 	  32.70	  -6.82	  23.03
	  0.439	  0.898	 -0.035
	 -0.899	  0.439	 -0.013
	  0.004	  0.037	  0.999

3 	  42.31	  -0.62	   1.79
	  0.321	  0.176	  0.930
	 -0.065	  0.984	 -0.164
	 -0.945	 -0.008	  0.327

4 	  39.27	   6.35	  -6.10
	  0.578	  0.815	 -0.015
	 -0.766	  0.549	  0.333
	  0.280	 -0.181	  0.943

5 	  39.08	  15.59	   1.97
	  0.306	  0.744	  0.594
	 -0.541	 -0.379	  0.751
	  0.784	 -0.551	  0.286

6 	  46.74	  12.48	  11.62
	  0.263	 -0.196	  0.944
	  0.737	  0.672	 -0.066
	 -0.622	  0.714	  0.321

7 	  38.67	  -6.86	  -6.50
	  0.443	 -0.896	 -0.009
	  0.889	  0.441	 -0.123
