2 	  33.35	  -8.26	  22.75
	  0.570	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.02	   0.76	  -2.58
	  0.294	 -0.136	 -0.946
	 -0.022	  0.989	 -0.149
	  0.955	  0.064	  0.288

4 	  42.91	   6.94	  -5.89
	  0.596	  0.772	  0.219
	 -0.757	  0.449	  0.475
	  0.269	 -0.449	  0.852

5 	  51.52	  11.99	  11.67
	  0.482	 -0.136	  0.865
	  0.312	  0.950	 -0.019
	 -0.825	  0.274	  0.495

6 	  43.51	  12.96	   2.90
	 -0.245	 -0.446	 -0.861
	  0.596	  0.632	 -0.495
	  0.766	 -0.633	  0.112

7 	  43.14	  -6.28	  -5.75
	  0.641	 -0.766	  0.042
	  0.691	  0.551	 -0.468
	  0.336	  0.328	  0.882

8 	  51.03	 -11.16	  10.81
	  0.468	  0.185	  0.863
	 -0.547	  0.829	  0.114
	 -0.702	 -0.523	  0.485

9 	  43.24	 -13.11	   2.58
	 -0.296	  0.546	 -0.784
	 -0.571	  0.557	  0.602
	  0.767	  0.624	  0.147

2 	  33.35	  -8.26	  22.75
	  0.569	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.02	   0.74	  -2.57
	  0.293	 -0.135	 -0.946
	 -0.022	  0.989	 -0.148
	  0.956	  0.064	  0.287

4 	  42.91	   6.93	  -5.91
	  0.598	  0.772	  0.216
	 -0.755	  0.451	  0.475
	  0.270	 -0.447	  0.852

5 	  51.57	  12.01	  11.64
	  0.482	 -0.134	  0.865
	  0.314	  0.949	 -0.023
	 -0.823	  0.278	  0.495

6 	  43.52	  12.96	   2.88
	 -0.248	 -0.445	 -0.861
	  0.595	  0.632	 -0.496
	  0.766	 -0.634	  0.109

7 	  43.15	  -6.28	  -5.77
	  0.643	 -0.764	  0.039
	  0.688	  0.554	 -0.469
	  0.337	  0.329	  0.882

8 	  51.10	 -11.13	  10.79
	  0.469	  0.187	  0.863
	 -0.552	  0.825	  0.117
	 -0.697	 -0.528	  0.486

9 	  43.31	 -13.11	   2.55
	 -0.301	  0.544	 -0.783
	 -0.570	  0.556	  0.604
	  0.766	  0.626	  0.143

2 	  33.35	  -8.24	  22.76
	  0.570	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.02	   0.74	  -2.58
	  0.292	 -0.134	 -0.947
	 -0.022	  0.989	 -0.147
	  0.956	  0.064	  0.286

4 	  42.91	   6.93	  -5.92
	  0.598	  0.771	  0.215
	 -0.754	  0.452	  0.475
	  0.270	 -0.447	  0.852

5 	  51.61	  11.99	  11.60
	  0.485	 -0.135	  0.864
	  0.319	  0.947	 -0.026
	 -0.820	  0.284	  0.498

6 	  43.54	  12.96	   2.87
	 -0.252	 -0.444	 -0.860
	  0.595	  0.631	 -0.498
	  0.765	 -0.635	  0.106

7 	  43.15	  -6.29	  -5.77
	  0.644	 -0.764	  0.040
	  0.687	  0.554	 -0.469
	  0.336	  0.329	  0.882

8 	  51.12	 -11.13	  10.79
	  0.470	  0.186	  0.862
	 -0.552	  0.825	  0.119
	 -0.696	 -0.529	  0.486

9 	  43.29	 -13.13	   2.57
	 -0.302	  0.544	 -0.783
	 -0.567	  0.558	  0.605
	  0.767	  0.625	  0.141

2 	  33.35	  -8.24	  22.75
	  0.569	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.02	   0.74	  -2.57
	  0.291	 -0.135	 -0.947
	 -0.020	  0.989	 -0.147
	  0.956	  0.062	  0.285

4 	  42.91	   6.91	  -5.91
	  0.599	  0.770	  0.219
	 -0.755	  0.452	  0.474
	  0.267	 -0.450	  0.852

5 	  51.63	  12.02	  11.58
	  0.488	 -0.132	  0.862
	  0.318	  0.947	 -0.031
	 -0.816	  0.286	  0.502

6 	  43.54	  12.96	   2.90
	 -0.254	 -0.447	 -0.858
	  0.591	  0.631	 -0.502
	  0.767	 -0.633	  0.105

7 	  43.14	  -6.29	  -5.75
	  0.643	 -0.764	  0.044
	  0.690	  0.553	 -0.467
	  0.333	  0.331	  0.883

8 	  51.12	 -11.13	  10.79
	  0.474	  0.186	  0.860
	 -0.550	  0.826	  0.120
	 -0.695	 -0.528	  0.489

9 	  43.24	 -13.11	   2.64
	 -0.303	  0.544	 -0.782
	 -0.562	  0.562	  0.607
	  0.771	  0.622	  0.136

2 	  33.36	  -8.26	  22.75
	  0.570	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.02	   0.74	  -2.57
	  0.291	 -0.136	 -0.947
	 -0.020	  0.989	 -0.148
	  0.956	  0.062	  0.285

4 	  42.87	   6.93	  -5.87
	  0.596	  0.769	  0.230
	 -0.759	  0.446	  0.474
	  0.262	 -0.457	  0.850

5 	  51.75	  12.16	  11.48
	  0.512	 -0.124	  0.850
	  0.299	  0.953	 -0.038
	 -0.809	  0.270	  0.523

6 	  43.44	  12.96	   2.94
	 -0.262	 -0.456	 -0.851
	  0.562	  0.646	 -0.517
	  0.786	 -0.612	  0.088

7 	  43.10	  -6.29	  -5.70
	  0.641	 -0.766	  0.052
	  0.693	  0.548	 -0.467
	  0.330	  0.335	  0.882

8 	  51.66	 -11.43	  10.09
	  0.570	  0.170	  0.803
	 -0.484	  0.861	  0.157
	 -0.671	 -0.474	  0.570

9 	  43.05	 -13.06	   2.78
	 -0.316	  0.569	 -0.759
	 -0.473	  0.599	  0.645
	  0.823	  0.561	  0.080

2 	  33.36	  -8.24	  22.75
	  0.570	  0.821	 -0.043
	 -0.822	  0.568	 -0.029
	  0.001	  0.052	  0.998

3 	  39.01	   0.74	  -2.57
	  0.293	 -0.140	 -0.946
	 -0.032	  0.987	 -0.156
	  0.955	  0.076	  0.285

4 	  42.82	   6.93	  -5.84
	  0.589	  0.768	  0.251
	 -0.767	  0.433	  0.473
	  0.255	 -0.471	  0.844

5 	  52.84	  12.69	   9.76
	  0.683	 -0.108	  0.722
	  0.237	  0.968	 -0.077
	 -0.694	  0.219	  0.686

6 	  43.51	  13.11	   2.74
	 -0.310	 -0.508	 -0.803
	  0.464	  0.658	 -0.593
	  0.831	 -0.555	  0.032

7 	  43.08	  -6.28	  -5.66
	  0.637	 -0.768	  0.062
	  0.698	  0.541	 -0.470
	  0.328	  0.342	  0.880

8 	  52.82	 -11.64	   7.96
	  0.772	  0.164	  0.614
	 -0.361	  0.908	  0.209
	 -0.527	 -0.381	  0.760

9 	  42.96	 -12.94	   2.95
	 -0.343	  0.607	 -0.717
	 -0.336	  0.634	  0.696
	  0.878	  0.477	 -0.014

2 	  33.35	  -8.24	  22.75
	  0.569	  0.821	 -0.043
	 -0.822	  0.568	 -0.030
	  0.000	  0.053	  0.998

3 	  39.04	   0.74	  -2.58
	  0.298	 -0.139	 -0.944
	 -0.034	  0.987	 -0.156
	  0.954	  0.078	  0.290

4 	  42.80	   6.93	  -5.84
	  0.582	  0.766	  0.271
	 -0.775	  0.422	  0.470
	  0.246	 -0.484	  0.839

5 	  53.58	  12.83	   7.44
	  0.840	 -0.142	  0.523
	  0.209	  0.975	 -0.069
	 -0.502	  0.164	  0.849

6 	  43.37	  13.25	   2.53
	 -0.342	 -0.556	 -0.757
	  0.334	  0.683	 -0.650
	  0.880	 -0.473	 -0.048

7 	  43.12	  -6.28	  -5.62
	  0.631	 -0.772	  0.070
	  0.705	  0.533	 -0.467
	  0.324	  0.344	  0.881

8 	  53.30	 -11.53	   5.75
	  0.912	  0.181	  0.367
	 -0.277	  0.934	  0.225
	 -0.303	 -0.307	  0.902

9 	  42.80	 -12.59	   3.27
	 -0.357	  0.631	 -0.689
	 -0.203	  0.668	  0.715
	  0.912	  0.394	 -0.110

2 	  33.35	  -8.24	  22.75
	  0.569	  0.821	 -0.043
	 -0.822	  0.568	 -0.030
	  0.000	  0.053	  0.998

3 	  39.09	   0.74	  -2.58
	  0.306	 -0.136	 -0.942
	 -0.030	  0.988	 -0.153
	  0.952	  0.075	  0.298

4 	  42.75	   6.91	  -5.78
	  0.566	  0.770	  0.293
	 -0.790	  0.403	  0.462
	  0.238	 -0.493	  0.837

5 	  53.60	  13.04	   5.43
	  0.935	 -0.140	  0.326
	  0.175	  0.981	 -0.080
	 -0.310	  0.130	  0.942

6 	  43.07	  13.25	   2.50
	 -0.356	 -0.593	 -0.722
	  0.200	  0.708	 -0.677
	  0.913	 -0.384	 -0.133

7 	  43.19	  -6.28	  -5.61
