2 	  32.85	  -6.68	  22.76
	  0.722	  0.692	 -0.024
	 -0.693	  0.720	 -0.020
	  0.005	  0.031	  0.999

3 	  43.29	  -0.84	   2.13
	  0.356	  0.063	  0.932
	 -0.351	  0.934	  0.068
	 -0.867	 -0.351	  0.353

4 	  36.63	   6.03	  -3.57
	  0.451	  0.887	  0.099
	 -0.808	  0.359	  0.466
	  0.379	 -0.290	  0.879

5 	  36.42	   9.25	   6.84
	  0.339	  0.206	  0.918
	 -0.571	 -0.731	  0.374
	  0.748	 -0.651	 -0.130

6 	  41.78	  10.79	  17.09
	  0.264	  0.057	  0.963
	 -0.569	  0.815	  0.106
	 -0.781	 -0.574	  0.247

7 	  37.76	  -8.03	  -3.38
	  0.278	 -0.924	  0.261
	  0.954	  0.234	 -0.188
	  0.112	  0.302	  0.947

8 	  37.25	 -10.88	   7.38
	  0.343	 -0.206	  0.916
	  0.697	 -0.599	 -0.395
	  0.630	  0.774	 -0.061

9 	  41.59	 -12.30	  18.28
	  0.242	  0.044	  0.969
	  0.836	  0.497	 -0.229
	 -0.495	  0.865	  0.081

2 	  32.82	  -6.68	  22.76
	  0.722	  0.692	 -0.024
	 -0.693	  0.721	 -0.020
	  0.005	  0.031	  0.999

3 	  43.28	  -0.86	   2.13
	  0.358	  0.062	  0.931
	 -0.349	  0.934	  0.070
	 -0.867	 -0.349	  0.355

4 	  36.62	   6.01	  -3.55
	  0.453	  0.886	  0.096
	 -0.805	  0.360	  0.470
	  0.383	 -0.290	  0.877

5 	  36.40	   9.23	   6.86
	  0.341	  0.206	  0.917
	 -0.570	 -0.731	  0.375
	  0.748	 -0.650	 -0.131

6 	  41.78	  10.79	  17.09
	  0.264	  0.056	  0.963
	 -0.568	  0.816	  0.106
	 -0.781	 -0.573	  0.247

7 	  37.71	  -8.03	  -3.34
	  0.275	 -0.924	  0.265
	  0.954	  0.230	 -0.188
	  0.113	  0.305	  0.945

8 	  37.18	 -10.86	   7.40
	  0.343	 -0.210	  0.916
	  0.694	 -0.600	 -0.397
	  0.633	  0.771	 -0.060

