2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.79	  -1.69	   1.78
	  0.198	 -0.053	  0.979
	  0.135	  0.990	  0.026
	 -0.971	  0.126	  0.202

4 	  40.31	   6.75	  -4.59
	  0.738	  0.666	 -0.105
	 -0.551	  0.684	  0.478
	  0.392	 -0.296	  0.871

5 	  44.86	  10.32	   1.44
	  0.880	  0.343	  0.327
	 -0.229	 -0.297	  0.927
	  0.416	 -0.891	 -0.184

6 	  53.02	   6.12	  -1.99
	  0.400	 -0.826	 -0.398
	  0.888	  0.238	  0.393
	 -0.234	 -0.508	  0.829

7 	  38.29	  -9.69	  -3.09
	  0.371	 -0.860	  0.350
	  0.851	  0.164	 -0.499
	  0.372	  0.483	  0.792

8 	  41.48	 -11.92	   5.13
	  0.696	 -0.151	  0.702
	  0.686	 -0.147	 -0.712
	  0.210	  0.978	  0.001

9 	  51.19	  -9.77	  10.35
	  0.942	  0.331	  0.047
	  0.028	  0.057	 -0.998
	 -0.334	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.948	  0.319	 -0.007
	  0.004	  0.034	  0.999

3 	  43.79	  -1.69	   1.76
	  0.198	 -0.053	  0.979
	  0.133	  0.991	  0.026
	 -0.971	  0.124	  0.203

4 	  40.31	   6.75	  -4.59
	  0.738	  0.667	 -0.105
	 -0.551	  0.684	  0.478
	  0.392	 -0.296	  0.871

5 	  44.86	  10.34	   1.42
	  0.880	  0.344	  0.326
	 -0.229	 -0.296	  0.927
	  0.416	 -0.891	 -0.183

6 	  53.02	   6.12	  -1.99
	  0.401	 -0.826	 -0.396
	  0.888	  0.239	  0.393
	 -0.234	 -0.507	  0.830

7 	  38.29	  -9.69	  -3.09
	  0.371	 -0.860	  0.351
	  0.851	  0.164	 -0.499
	  0.371	  0.483	  0.792

8 	  41.47	 -11.92	   5.13
	  0.696	 -0.151	  0.702
	  0.686	 -0.147	 -0.712
	  0.211	  0.977	  0.001

9 	  51.19	  -9.79	  10.35
	  0.942	  0.330	  0.047
	  0.028	  0.057	 -0.998
	 -0.333	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.79	  -1.69	   1.76
	  0.198	 -0.053	  0.979
	  0.133	  0.991	  0.026
	 -0.971	  0.124	  0.203

4 	  40.31	   6.75	  -4.61
	  0.738	  0.666	 -0.106
	 -0.550	  0.685	  0.477
	  0.391	 -0.295	  0.871

5 	  44.86	  10.35	   1.42
	  0.880	  0.344	  0.326
	 -0.228	 -0.297	  0.927
	  0.417	 -0.890	 -0.183

6 	  53.02	   6.12	  -1.99
	  0.401	 -0.826	 -0.396
	  0.887	  0.239	  0.393
	 -0.234	 -0.506	  0.830

7 	  38.29	  -9.70	  -3.09
	  0.370	 -0.860	  0.350
	  0.851	  0.164	 -0.499
	  0.372	  0.482	  0.793

8 	  41.50	 -11.92	   5.15
	  0.695	 -0.150	  0.702
	  0.687	 -0.147	 -0.712
	  0.210	  0.977	  0.000

9 	  51.19	  -9.79	  10.35
	  0.942	  0.331	  0.047
	  0.028	  0.057	 -0.998
	 -0.334	  0.942	  0.041

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.80	  -1.69	   1.76
	  0.199	 -0.053	  0.978
	  0.133	  0.991	  0.026
	 -0.971	  0.124	  0.204

4 	  40.29	   6.73	  -4.61
	  0.739	  0.665	 -0.107
	 -0.550	  0.686	  0.477
	  0.391	 -0.294	  0.872

5 	  44.88	  10.34	   1.41
	  0.881	  0.344	  0.325
	 -0.228	 -0.295	  0.928
	  0.416	 -0.891	 -0.183

6 	  53.03	   6.12	  -2.00
	  0.400	 -0.827	 -0.395
	  0.888	  0.240	  0.391
	 -0.232	 -0.505	  0.831

7 	  38.29	  -9.70	  -3.09
	  0.370	 -0.860	  0.350
	  0.851	  0.164	 -0.498
	  0.372	  0.482	  0.793

8 	  41.50	 -11.92	   5.15
	  0.695	 -0.150	  0.702
	  0.687	 -0.147	 -0.712
	  0.210	  0.977	  0.000

9 	  51.19	  -9.77	  10.37
	  0.942	  0.331	  0.047
	  0.028	  0.057	 -0.998
	 -0.334	  0.942	  0.041

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.80	  -1.71	   1.74
	  0.201	 -0.052	  0.978
	  0.133	  0.991	  0.026
	 -0.971	  0.125	  0.205

4 	  40.31	   6.75	  -4.61
	  0.739	  0.665	 -0.107
	 -0.549	  0.686	  0.477
	  0.392	 -0.294	  0.871

5 	  44.88	  10.34	   1.41
	  0.881	  0.344	  0.324
	 -0.227	 -0.295	  0.928
	  0.416	 -0.891	 -0.183

6 	  53.03	   6.10	  -2.02
	  0.401	 -0.826	 -0.395
	  0.888	  0.241	  0.391
	 -0.232	 -0.505	  0.831

7 	  38.29	  -9.70	  -3.09
	  0.370	 -0.860	  0.350
	  0.851	  0.164	 -0.498
	  0.372	  0.482	  0.793

8 	  41.50	 -11.94	   5.15
	  0.696	 -0.151	  0.701
	  0.686	 -0.147	 -0.713
	  0.210	  0.977	  0.000

9 	  51.19	  -9.79	  10.37
	  0.942	  0.331	  0.047
	  0.028	  0.057	 -0.998
	 -0.334	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.80	  -1.69	   1.74
	  0.201	 -0.052	  0.978
	  0.133	  0.991	  0.025
	 -0.971	  0.125	  0.206

4 	  40.31	   6.75	  -4.61
	  0.738	  0.666	 -0.107
	 -0.550	  0.685	  0.477
	  0.392	 -0.294	  0.871

5 	  44.88	  10.34	   1.41
	  0.881	  0.344	  0.323
	 -0.226	 -0.296	  0.928
	  0.415	 -0.891	 -0.184

6 	  53.03	   6.12	  -2.04
	  0.400	 -0.826	 -0.397
	  0.889	  0.241	  0.390
	 -0.230	 -0.506	  0.831

7 	  38.29	  -9.70	  -3.09
	  0.371	 -0.860	  0.350
	  0.851	  0.163	 -0.499
	  0.372	  0.482	  0.792

8 	  41.48	 -11.92	   5.15
	  0.696	 -0.150	  0.701
	  0.686	 -0.147	 -0.713
	  0.210	  0.978	  0.000

9 	  51.19	  -9.79	  10.37
	  0.942	  0.331	  0.047
	  0.028	  0.057	 -0.998
	 -0.334	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.80	  -1.71	   1.74
	  0.201	 -0.051	  0.978
	  0.134	  0.991	  0.025
	 -0.970	  0.126	  0.206

4 	  40.29	   6.73	  -4.61
	  0.739	  0.665	 -0.107
	 -0.549	  0.685	  0.478
	  0.392	 -0.295	  0.871

5 	  44.88	  10.32	   1.41
	  0.882	  0.343	  0.323
	 -0.226	 -0.297	  0.928
	  0.415	 -0.891	 -0.185

6 	  53.03	   6.13	  -2.04
	  0.401	 -0.825	 -0.398
	  0.888	  0.240	  0.390
	 -0.231	 -0.507	  0.830

7 	  38.29	  -9.70	  -3.09
	  0.371	 -0.860	  0.350
	  0.851	  0.163	 -0.499
	  0.372	  0.483	  0.792

8 	  41.48	 -11.92	   5.15
	  0.697	 -0.150	  0.701
	  0.686	 -0.147	 -0.713
	  0.209	  0.978	  0.000

9 	  51.19	  -9.79	  10.35
	  0.943	  0.330	  0.046
	  0.027	  0.057	 -0.998
	 -0.333	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.79	  -1.69	   1.74
	  0.200	 -0.051	  0.978
	  0.134	  0.991	  0.025
	 -0.971	  0.126	  0.204

4 	  40.27	   6.73	  -4.61
	  0.738	  0.666	 -0.106
	 -0.550	  0.684	  0.479
	  0.393	 -0.296	  0.871

5 	  44.86	  10.34	   1.41
	  0.881	  0.344	  0.323
	 -0.224	 -0.297	  0.928
	  0.416	 -0.890	 -0.186

6 	  53.02	   6.13	  -2.06
	  0.402	 -0.824	 -0.398
	  0.888	  0.242	  0.390
	 -0.229	 -0.508	  0.830

7 	  38.25	  -9.70	  -3.08
	  0.371	 -0.860	  0.351
	  0.851	  0.163	 -0.499
	  0.372	  0.483	  0.792

8 	  41.48	 -11.92	   5.15
	  0.697	 -0.150	  0.701
	  0.686	 -0.147	 -0.713
	  0.209	  0.978	  0.000

9 	  51.19	  -9.79	  10.35
	  0.943	  0.330	  0.046
	  0.027	  0.057	 -0.998
	 -0.333	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.77	  -1.69	   1.76
	  0.199	 -0.051	  0.979
	  0.134	  0.990	  0.025
	 -0.971	  0.125	  0.203

4 	  40.27	   6.73	  -4.59
	  0.738	  0.667	 -0.105
	 -0.550	  0.683	  0.480
	  0.393	 -0.297	  0.870

5 	  44.84	  10.34	   1.41
	  0.881	  0.345	  0.322
	 -0.224	 -0.298	  0.928
	  0.417	 -0.890	 -0.186

6 	  53.02	   6.17	  -2.04
	  0.402	 -0.824	 -0.400
	  0.888	  0.241	  0.390
	 -0.229	 -0.509	  0.830

7 	  38.25	  -9.70	  -3.08
	  0.371	 -0.860	  0.351
	  0.851	  0.163	 -0.500
	  0.372	  0.483	  0.792

8 	  41.48	 -11.92	   5.13
	  0.697	 -0.150	  0.701
	  0.685	 -0.146	 -0.713
	  0.209	  0.978	  0.001

9 	  51.19	  -9.77	  10.37
	  0.942	  0.331	  0.047
	  0.028	  0.058	 -0.998
	 -0.334	  0.942	  0.042

2 	  33.10	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.75	  -1.69	   1.76
	  0.198	 -0.051	  0.979
	  0.134	  0.990	  0.024
	 -0.971	  0.126	  0.203

4 	  40.27	   6.75	  -4.61
	  0.737	  0.667	 -0.105
	 -0.550	  0.683	  0.480
	  0.393	 -0.297	  0.870

5 	  44.84	  10.34	   1.41
	  0.881	  0.345	  0.323
	 -0.223	 -0.299	  0.927
	  0.417	 -0.889	 -0.187

6 	  53.02	   6.17	  -2.04
	  0.404	 -0.823	 -0.399
	  0.887	  0.243	  0.391
	 -0.229	 -0.510	  0.829

7 	  38.27	  -9.70	  -3.08
	  0.371	 -0.859	  0.351
	  0.850	  0.163	 -0.500
	  0.373	  0.484	  0.791

8 	  41.48	 -11.92	   5.15
	  0.697	 -0.151	  0.700
	  0.685	 -0.147	 -0.713
	  0.210	  0.978	  0.001

9 	  51.19	  -9.79	  10.37
	  0.943	  0.330	  0.047
	  0.028	  0.057	 -0.998
	 -0.333	  0.942	  0.042

2 	  33.12	  -6.50	  22.76
	  0.320	  0.947	 -0.034
	 -0.947	  0.320	 -0.007
	  0.004	  0.034	  0.999

3 	  43.75	  -1.69	   1.76
	  0.198	 -0.051	  0.979
	  0.133	  0.991	  0.025
	 -0.971	  0.125	  0.203

4 	  40.27	   6.75	  -4.61
	  0.737	  0.667	 -0.105
	 -0.550	  0.682	  0.481
	  0.393	 -0.298	  0.870

5 	  44.82	  10.35	   1.42
	  0.881	  0.346	  0.323
	 -0.223	 -0.300	  0.927
	  0.418	 -0.889	 -0.188

6 	  53.00	   6.19	  -2.04
	  0.405	 -0.822	 -0.400
	  0.887	  0.244	  0.391
	 -0.228	 -0.510	  0.829

7 	  38.25	  -9.70	  -3.06
	  0.371	 -0.859	  0.351
	  0.850	  0.163	 -0.500
	  0.373	  0.484	  0.791

8 	  41.48	 -11.92	   5.15
	  0.697	 -0.151	  0.701
	  0.685	 -0.147	 -0.713
	  0.210	  0.978	  0.000

9 	  51.19	  -9.79	  10.35
	  0.943	  0.330	  0.046
	  0.027	  0.057	 -0.998
	 -0.332	  0.942	  0.042

