2 	  32.66	  -6.84	  23.01
	 -0.132	  0.989	 -0.065
	 -0.991	 -0.133	 -0.012
	 -0.020	  0.062	  0.998

3 	  45.56	  -0.44	   2.39
	  0.647	  0.340	  0.682
	 -0.591	  0.789	  0.167
	 -0.481	 -0.512	  0.712

4 	  39.38	   6.24	  -1.71
	  0.663	  0.731	  0.160
	 -0.729	  0.582	  0.360
	  0.170	 -0.356	  0.919

5 	  39.15	   9.42	   9.74
	  0.441	  0.324	  0.837
	 -0.214	 -0.868	  0.448
	  0.872	 -0.377	 -0.313

6 	  46.14	   9.19	  18.60
	  0.167	  0.019	  0.985
	  0.163	  0.985	 -0.047
	 -0.972	  0.168	  0.162

7 	  39.87	  -7.79	  -1.67
	  0.786	 -0.618	  0.000
	  0.607	  0.772	 -0.188
	  0.116	  0.148	  0.982

8 	  39.96	 -10.90	  10.16
	  0.547	 -0.040	  0.836
	  0.400	 -0.865	 -0.303
	  0.735	  0.500	 -0.457

9 	  46.88	 -10.39	  17.51
	  0.348	  0.044	  0.936
	 -0.061	  0.998	 -0.025
	 -0.935	 -0.049	  0.350

2 	  32.66	  -6.84	  23.01
	 -0.132	  0.989	 -0.065
	 -0.991	 -0.133	 -0.012
	 -0.021	  0.062	  0.998

3 	  45.56	  -0.44	   2.39
	  0.647	  0.340	  0.682
	 -0.591	  0.789	  0.167
	 -0.481	 -0.511	  0.712

4 	  39.38	   6.26	  -1.69
	  0.663	  0.731	  0.160
	 -0.729	  0.583	  0.359
	  0.169	 -0.355	  0.919

5 	  39.15	   9.42	   9.74
	  0.440	  0.323	  0.837
	 -0.215	 -0.868	  0.448
	  0.871	 -0.377	 -0.313

6 	  46.14	   9.19	  18.60
	  0.167	  0.020	  0.986
	  0.163	  0.985	 -0.048
	 -0.972	  0.169	  0.161

7 	  39.87	  -7.79	  -1.67
	  0.786	 -0.618	  0.001
	  0.607	  0.771	 -0.188
	  0.116	  0.148	  0.982

8 	  39.96	 -10.92	  10.16
	  0.547	 -0.040	  0.836
	  0.399	 -0.865	 -0.303
	  0.735	  0.500	 -0.458

9 	  46.88	 -10.39	  17.51
	  0.349	  0.044	  0.936
	 -0.063	  0.998	 -0.024
	 -0.935	 -0.051	  0.351

2 	  32.66	  -6.84	  23.01
	 -0.132	  0.989	 -0.065
	 -0.991	 -0.133	 -0.012
	 -0.021	  0.062	  0.998

3 	  45.56	  -0.46	   2.39
	  0.649	  0.340	  0.680
	 -0.589	  0.790	  0.167
	 -0.481	 -0.510	  0.713

4 	  39.39	   6.26	  -1.71
	  0.665	  0.730	  0.159
	 -0.728	  0.584	  0.359
	  0.169	 -0.355	  0.919

5 	  39.16	   9.44	   9.74
	  0.440	  0.322	  0.838
	 -0.218	 -0.867	  0.448
	  0.871	 -0.380	 -0.312

6 	  46.14	   9.21	  18.60
	  0.166	  0.021	  0.986
	  0.167	  0.984	 -0.050
	 -0.972	  0.173	  0.159

7 	  39.87	  -7.79	  -1.67
	  0.785	 -0.619	  0.001
	  0.607	  0.771	 -0.189
	  0.116	  0.149	  0.982

8 	  39.97	 -10.92	  10.16
	  0.548	 -0.039	  0.835
	  0.399	 -0.865	 -0.303
	  0.735	  0.500	 -0.459

9 	  46.90	 -10.37	  17.51
	  0.349	  0.044	  0.936
	 -0.065	  0.997	 -0.023
	 -0.935	 -0.052	  0.351

2 	  32.64	  -6.84	  23.01
	 -0.132	  0.989	 -0.065
	 -0.991	 -0.133	 -0.012
	 -0.021	  0.062	  0.998

3 	  45.56	  -0.46	   2.39
	  0.650	  0.341	  0.679
	 -0.589	  0.791	  0.166
	 -0.480	 -0.508	  0.715

4 	  39.38	   6.26	  -1.69
	  0.665	  0.729	  0.159
	 -0.727	  0.585	  0.358
	  0.168	 -0.354	  0.920

5 	  39.18	   9.42	   9.72
	  0.441	  0.322	  0.838
	 -0.219	 -0.867	  0.448
	  0.870	 -0.381	 -0.312

6 	  46.12	   9.19	  18.58
	  0.167	  0.022	  0.986
	  0.173	  0.983	 -0.051
	 -0.971	  0.179	  0.160

7 	  39.83	  -7.80	  -1.67
	  0.785	 -0.619	  0.001
	  0.608	  0.771	 -0.190
	  0.117	  0.149	  0.982

8 	  39.96	 -10.90	  10.16
	  0.549	 -0.038	  0.835
	  0.400	 -0.865	 -0.302
	  0.734	  0.500	 -0.460

9 	  46.90	 -10.41	  17.49
	  0.350	  0.044	  0.936
	 -0.068	  0.997	 -0.022
	 -0.934	 -0.056	  0.352

2 	  32.66	  -6.84	  23.01
	 -0.132	  0.989	 -0.064
	 -0.991	 -0.133	 -0.012
	 -0.021	  0.062	  0.998

3 	  45.56	  -0.46	   2.39
	  0.651	  0.341	  0.677
	 -0.588	  0.791	  0.167
	 -0.479	 -0.507	  0.716

4 	  39.39	   6.24	  -1.71
	  0.666	  0.728	  0.159
	 -0.726	  0.586	  0.359
	  0.168	 -0.355	  0.920

5 	  39.16	   9.44	   9.72
	  0.440	  0.322	  0.838
	 -0.217	 -0.868	  0.447
	  0.871	 -0.379	 -0.312

6 	  46.12	   9.21	  18.62
	  0.166	  0.022	  0.986
	  0.176	  0.983	 -0.052
	 -0.970	  0.182	  0.159

7 	  39.85	  -7.80	  -1.67
	  0.785	 -0.619	  0.001
	  0.607	  0.771	 -0.191
	  0.117	  0.151	  0.982

8 	  39.96	 -10.90	  10.16
	  0.550	 -0.036	  0.834
	  0.401	 -0.865	 -0.301
	  0.733	  0.500	 -0.462

9 	  46.90	 -10.39	  17.49
	  0.350	  0.044	  0.935
	 -0.071	  0.997	 -0.021
	 -0.934	 -0.059	  0.352

2 	  32.66	  -6.84	  23.01
	 -0.132	  0.989	 -0.065
	 -0.991	 -0.133	 -0.012
	 -0.021	  0.062	  0.998

3 	  45.56	  -0.46	   2.36
	  0.653	  0.341	  0.676
	 -0.588	  0.791	  0.167
	 -0.478	 -0.507	  0.717

4 	  39.39	   6.24	  -1.71
	  0.666	  0.728	  0.157
	 -0.726	  0.586	  0.359
	  0.169	 -0.354	  0.920

5 	  39.18	   9.40	   9.70
	  0.440	  0.322	  0.838
	 -0.217	 -0.868	  0.447
	  0.871	 -0.378	 -0.312

6 	  46.11	   9.16	  18.58
	  0.169	  0.024	  0.985
	  0.183	  0.981	 -0.055
	 -0.968	  0.190	  0.161

7 	  39.81	  -7.82	  -1.67
	  0.786	 -0.619	  0.001
	  0.607	  0.771	 -0.193
	  0.118	  0.152	  0.981

