2 	  32.61	  -6.75	  23.10
	  0.159	  0.986	 -0.036
	 -0.987	  0.159	 -0.009
	 -0.004	  0.037	  0.999

3 	  41.80	   0.04	   2.83
	  0.320	 -0.178	  0.930
	  0.012	  0.983	  0.183
	 -0.947	 -0.047	  0.317

4 	  36.76	  -6.64	  -2.37
	  0.580	 -0.814	 -0.014
	  0.657	  0.478	 -0.583
	  0.481	  0.329	  0.812

5 	  37.07	  -8.98	   8.09
	  0.251	 -0.383	  0.889
	  0.291	 -0.846	 -0.447
	  0.923	  0.371	 -0.101

6 	  41.24	 -11.64	  17.26
	  0.312	 -0.153	  0.938
	  0.949	  0.090	 -0.302
	 -0.038	  0.984	  0.173

7 	  38.00	   6.91	  -1.67
	  0.562	  0.801	  0.205
	 -0.708	  0.338	  0.620
	  0.427	 -0.494	  0.757

8 	  37.39	   8.54	   9.47
	  0.242	  0.255	  0.936
	 -0.561	 -0.751	  0.349
	  0.792	 -0.609	 -0.039

9 	  41.91	  10.21	  17.88
	  0.442	  0.031	  0.896
	 -0.884	  0.181	  0.430
	 -0.149	 -0.983	  0.108

2 	  32.59	  -6.77	  23.10
	  0.160	  0.986	 -0.036
	 -0.987	  0.159	 -0.010
	 -0.004	  0.037	  0.999

3 	  41.78	   0.04	   2.83
	  0.321	 -0.178	  0.930
	  0.012	  0.983	  0.184
	 -0.947	 -0.048	  0.317

4 	  36.77	  -6.64	  -2.36
	  0.580	 -0.814	 -0.014
	  0.657	  0.478	 -0.583
	  0.481	  0.329	  0.812

5 	  37.07	  -8.98	   8.09
	  0.252	 -0.382	  0.889
	  0.291	 -0.846	 -0.446
	  0.923	  0.371	 -0.102

6 	  41.24	 -11.62	  17.24
	  0.312	 -0.153	  0.938
	  0.949	  0.090	 -0.301
	 -0.039	  0.984	  0.173

7 	  37.99	   6.89	  -1.69
	  0.562	  0.801	  0.205
	 -0.708	  0.338	  0.620
	  0.428	 -0.494	  0.757

8 	  37.39	   8.54	   9.47
	  0.241	  0.255	  0.936
	 -0.560	 -0.751	  0.349
	  0.792	 -0.609	 -0.039

9 	  41.89	  10.20	  17.88
	  0.442	  0.031	  0.896
	 -0.885	  0.180	  0.430
	 -0.148	 -0.983	  0.107

2 	  32.59	  -6.77	  23.10
	  0.159	  0.986	 -0.036
	 -0.987	  0.159	 -0.010
	 -0.004	  0.037	  0.999

3 	  41.80	   0.04	   2.83
	  0.321	 -0.178	  0.930
	  0.013	  0.983	  0.184
	 -0.947	 -0.047	  0.317

4 	  36.77	  -6.64	  -2.36
	  0.580	 -0.814	 -0.014
	  0.657	  0.478	 -0.583
	  0.481	  0.329	  0.812

5 	  37.07	  -8.98	   8.09
	  0.251	 -0.383	  0.889
	  0.291	 -0.846	 -0.447
	  0.923	  0.371	 -0.102

6 	  41.24	 -11.64	  17.26
	  0.312	 -0.153	  0.938
	  0.949	  0.090	 -0.301
	 -0.038	  0.984	  0.173

7 	  37.99	   6.89	  -1.69
	  0.562	  0.801	  0.204
	 -0.708	  0.338	  0.620
	  0.428	 -0.494	  0.757

8 	  37.39	   8.54	   9.47
	  0.241	  0.255	  0.936
	 -0.561	 -0.751	  0.349
	  0.792	 -0.609	 -0.039

9 	  41.89	  10.20	  17.88
	  0.442	  0.031	  0.896
	 -0.885	  0.180	  0.430
	 -0.148	 -0.983	  0.107

2 	  32.59	  -6.75	  23.10
	  0.159	  0.986	 -0.036
	 -0.987	  0.159	 -0.010
	 -0.004	  0.037	  0.999

