2 	  33.56	  -8.09	  22.76
	  0.555	  0.830	 -0.047
	 -0.832	  0.554	 -0.033
	 -0.000	  0.057	  0.998

3 	  39.38	  -0.26	  -0.02
	  0.362	  0.022	 -0.932
	 -0.000	  1.000	  0.023
	  0.932	 -0.009	  0.362

4 	  43.86	   5.66	  -2.51
	  0.656	  0.752	 -0.058
	 -0.690	  0.629	  0.359
	  0.308	 -0.196	  0.931

5 	  51.84	   5.99	   8.28
	  0.830	 -0.536	 -0.154
	  0.108	 -0.122	  0.986
	 -0.550	 -0.834	 -0.047

6 	  42.80	   8.31	   9.19
	 -0.571	 -0.034	 -0.820
	  0.281	  0.931	 -0.233
	  0.772	 -0.362	 -0.522

7 	  43.44	  -6.36	  -3.52
	  0.743	 -0.639	 -0.201
	  0.642	  0.764	 -0.057
	  0.190	 -0.086	  0.978

8 	  51.33	  -7.70	   7.95
	  0.889	  0.414	 -0.193
	 -0.119	 -0.203	 -0.972
	 -0.443	  0.886	 -0.135

9 	  42.47	 -10.44	   7.98
	 -0.528	  0.028	 -0.848
	 -0.539	  0.761	  0.360
	  0.658	  0.646	 -0.387

2 	  33.54	  -8.09	  22.75
	  0.556	  0.830	 -0.047
	 -0.832	  0.554	 -0.033
	 -0.000	  0.057	  0.998

3 	  39.39	  -0.28	  -0.02
	  0.363	  0.022	 -0.931
	 -0.001	  1.000	  0.023
	  0.931	 -0.007	  0.363

4 	  43.89	   5.66	  -2.53
	  0.659	  0.749	 -0.060
	 -0.687	  0.632	  0.359
	  0.309	 -0.196	  0.931

5 	  51.87	   5.89	   8.35
	  0.824	 -0.547	 -0.145
	  0.094	 -0.126	  0.987
	 -0.560	 -0.827	 -0.057

6 	  42.86	   8.38	   9.14
	 -0.567	 -0.035	 -0.823
	  0.297	  0.924	 -0.242
	  0.769	 -0.380	 -0.513

7 	  43.56	  -6.40	  -3.57
	  0.746	 -0.637	 -0.196
	  0.638	  0.767	 -0.064
	  0.192	 -0.077	  0.978

8 	  51.33	  -7.68	   7.98
	  0.890	  0.418	 -0.181
	 -0.106	 -0.201	 -0.974
	 -0.445	  0.885	 -0.138

9 	  42.49	 -10.46	   7.95
	 -0.517	  0.028	 -0.856
	 -0.543	  0.761	  0.353
	  0.663	  0.646	 -0.378

2 	  33.54	  -8.09	  22.75
	  0.556	  0.830	 -0.047
	 -0.832	  0.554	 -0.032
	  0.000	  0.057	  0.998

3 	  39.43	  -0.30	  -0.04
	  0.366	  0.022	 -0.930
	 -0.003	  1.000	  0.023
	  0.930	 -0.006	  0.366

4 	  43.93	   5.62	  -2.57
	  0.661	  0.748	 -0.061
	 -0.686	  0.634	  0.357
	  0.308	 -0.195	  0.931

5 	  51.84	   5.92	   8.35
	  0.829	 -0.538	 -0.149
	  0.104	 -0.119	  0.987
	 -0.551	 -0.833	 -0.047

6 	  42.64	   8.14	   9.18
	 -0.565	 -0.072	 -0.822
	  0.226	  0.945	 -0.236
	  0.794	 -0.318	 -0.517

7 	  43.47	  -6.42	  -3.59
	  0.733	 -0.653	 -0.188
	  0.653	  0.754	 -0.072
	  0.189	 -0.070	  0.979

8 	  51.22	  -8.10	   7.86
	  0.924	  0.303	 -0.232
	 -0.166	 -0.233	 -0.958
	 -0.347	  0.923	 -0.168

9 	  42.21	  -9.86	   8.09
	 -0.533	  0.028	 -0.846
	 -0.473	  0.819	  0.324
	  0.703	  0.572	 -0.423

2 	  33.52	  -8.09	  22.75
	  0.556	  0.830	 -0.047
	 -0.832	  0.554	 -0.033
	 -0.000	  0.057	  0.998

3 	  39.39	  -0.23	  -0.05
	  0.364	  0.029	 -0.931
	 -0.013	  0.999	  0.026
	  0.931	  0.002	  0.365

4 	  43.75	   5.68	  -2.65
	  0.641	  0.765	 -0.055
	 -0.705	  0.615	  0.353
	  0.305	 -0.188	  0.934

5 	  51.59	   6.98	   7.75
	  0.905	 -0.360	 -0.225
	  0.221	 -0.057	  0.973
	 -0.367	 -0.930	  0.024

6 	  42.38	   7.58	   9.16
	 -0.569	 -0.129	 -0.812
	  0.089	  0.972	 -0.216
	  0.818	 -0.194	 -0.541

7 	  43.29	  -6.31	  -3.67
	  0.718	 -0.672	 -0.183
	  0.667	  0.739	 -0.096
	  0.200	 -0.054	  0.978

8 	  51.15	  -9.07	   7.08
	  0.938	  0.110	 -0.329
	 -0.296	 -0.251	 -0.922
	 -0.188	  0.960	 -0.206

