2 	  33.61	  -8.12	  22.75
	  0.845	  0.535	 -0.023
	 -0.536	  0.843	 -0.046
	 -0.003	  0.051	  0.998

3 	  35.74	  -1.12	   1.83
	  0.162	 -0.048	 -0.986
	 -0.061	  0.996	 -0.058
	  0.985	  0.069	  0.158

4 	  40.36	   5.17	  -0.62
	  0.737	  0.673	 -0.052
	 -0.581	  0.671	  0.460
	  0.346	 -0.309	  0.885

5 	  52.95	   5.73	  11.37
	  0.760	 -0.487	  0.429
	  0.281	  0.842	  0.460
	 -0.589	 -0.232	  0.775

6 	  43.88	   9.09	   9.63
	 -0.691	 -0.055	 -0.721
	  0.253	  0.916	 -0.311
	  0.678	 -0.396	 -0.619

7 	  40.20	  -7.44	  -0.91
	  0.792	 -0.553	 -0.260
	  0.458	  0.818	 -0.346
	  0.405	  0.155	  0.901

8 	  50.57	  -9.86	   0.84
	  0.502	  0.299	 -0.812
	 -0.615	  0.783	 -0.088
	  0.613	  0.542	  0.573

9 	  44.74	 -10.86	   7.88
	 -0.857	  0.417	 -0.303
	  0.133	  0.746	  0.652
	  0.498	  0.518	 -0.695

2 	  33.61	  -8.10	  22.76
	  0.845	  0.535	 -0.024
	 -0.536	  0.842	 -0.047
	 -0.003	  0.051	  0.998

3 	  35.74	  -1.11	   1.83
	  0.163	 -0.048	 -0.985
	 -0.058	  0.996	 -0.058
	  0.985	  0.066	  0.160

4 	  40.36	   5.17	  -0.63
	  0.737	  0.673	 -0.053
	 -0.581	  0.671	  0.460
	  0.347	 -0.309	  0.885

5 	  52.96	   5.75	  11.36
	  0.760	 -0.487	  0.429
	  0.281	  0.842	  0.460
	 -0.589	 -0.232	  0.775

6 	  43.89	   9.09	   9.63
	 -0.691	 -0.056	 -0.721
	  0.255	  0.915	 -0.313
	  0.678	 -0.398	 -0.618

7 	  40.18	  -7.44	  -0.91
	  0.791	 -0.553	 -0.260
	  0.459	  0.818	 -0.346
	  0.405	  0.155	  0.901

8 	  50.55	  -9.86	   0.86
	  0.502	  0.299	 -0.812
	 -0.615	  0.783	 -0.088
	  0.613	  0.542	  0.573

9 	  44.75	 -10.85	   7.88
	 -0.857	  0.417	 -0.303
	  0.132	  0.747	  0.652
	  0.498	  0.518	 -0.695

2 	  33.59	  -8.12	  22.75
	  0.844	  0.535	 -0.023
	 -0.537	  0.842	 -0.046
	 -0.003	  0.051	  0.998

3 	  35.72	  -1.11	   1.83
	  0.163	 -0.050	 -0.985
	 -0.055	  0.997	 -0.060
	  0.985	  0.064	  0.160

4 	  40.36	   5.17	  -0.65
	  0.737	  0.673	 -0.055
	 -0.580	  0.671	  0.460
	  0.348	 -0.308	  0.885

5 	  52.96	   5.75	  11.36
	  0.760	 -0.487	  0.430
	  0.281	  0.842	  0.459
	 -0.589	 -0.231	  0.775

6 	  43.89	   9.09	   9.62
	 -0.691	 -0.058	 -0.721
	  0.256	  0.913	 -0.317
	  0.678	 -0.401	 -0.616

7 	  40.18	  -7.44	  -0.91
	  0.791	 -0.553	 -0.261
	  0.459	  0.818	 -0.346
	  0.406	  0.154	  0.900

8 	  50.57	  -9.84	   0.86
	  0.502	  0.299	 -0.812
	 -0.615	  0.783	 -0.088
	  0.613	  0.542	  0.573

9 	  44.75	 -10.85	   7.88
	 -0.857	  0.417	 -0.303
	  0.133	  0.746	  0.652
	  0.498	  0.518	 -0.695

2 	  33.61	  -8.10	  22.76
	  0.844	  0.535	 -0.024
	 -0.537	  0.842	 -0.047
	 -0.003	  0.051	  0.998

3 	  35.72	  -1.11	   1.83
	  0.163	 -0.051	 -0.985
	 -0.052	  0.997	 -0.060
	  0.985	  0.061	  0.160

4 	  40.36	   5.17	  -0.67
	  0.737	  0.673	 -0.060
	 -0.578	  0.673	  0.461
	  0.352	 -0.305	  0.885

5 	  52.96	   5.73	  11.36
	  0.759	 -0.488	  0.432
	  0.281	  0.842	  0.459
	 -0.591	 -0.230	  0.774

6 	  43.91	   9.09	   9.58
	 -0.691	 -0.061	 -0.721
	  0.257	  0.911	 -0.322
	  0.677	 -0.406	 -0.613

7 	  40.17	  -7.45	  -0.91
	  0.790	 -0.554	 -0.262
	  0.459	  0.818	 -0.348
	  0.408	  0.155	  0.900

8 	  50.57	  -9.84	   0.84
	  0.502	  0.299	 -0.812
	 -0.616	  0.783	 -0.089
	  0.613	  0.543	  0.573

9 	  44.75	 -10.85	   7.88
	 -0.857	  0.417	 -0.302
	  0.133	  0.746	  0.651
	  0.497	  0.518	 -0.696

2 	  33.59	  -8.10	  22.75
	  0.844	  0.535	 -0.024
	 -0.537	  0.842	 -0.047
	 -0.003	  0.051	  0.998

3 	  35.70	  -1.11	   1.83
	  0.162	 -0.052	 -0.985
	 -0.052	  0.997	 -0.061
	  0.985	  0.061	  0.159

4 	  40.36	   5.17	  -0.69
	  0.738	  0.672	 -0.063
	 -0.577	  0.674	  0.460
	  0.353	 -0.304	  0.885

5 	  52.95	   5.75	  11.34
	  0.759	 -0.487	  0.433
	  0.281	  0.843	  0.458
	 -0.591	 -0.229	  0.774

6 	  43.91	   9.09	   9.56
	 -0.691	 -0.062	 -0.720
	  0.258	  0.910	 -0.325
