2 	  33.19	  -8.30	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.014	  0.050	  0.998

3 	  43.80	   0.28	   1.56
	  0.554	 -0.274	  0.786
	 -0.098	  0.916	  0.388
	 -0.827	 -0.292	  0.481

4 	  40.31	   6.06	  -2.20
	  0.764	  0.609	 -0.214
	 -0.375	  0.687	  0.622
	  0.527	 -0.396	  0.752

5 	  45.62	   8.96	   4.82
	  0.640	  0.481	  0.599
	  0.195	 -0.856	  0.479
	  0.743	 -0.190	 -0.641

6 	  50.66	   9.91	  -1.27
	  0.565	 -0.220	 -0.795
	  0.709	  0.623	  0.329
	  0.427	 -0.749	  0.505

7 	  40.06	  -6.10	  -2.13
	  0.791	 -0.609	 -0.051
	  0.526	  0.720	 -0.451
	  0.312	  0.330	  0.891

8 	  44.30	  -8.37	   7.00
	  0.533	 -0.032	  0.845
	  0.825	 -0.200	 -0.528
	  0.186	  0.979	 -0.081

9 	  50.38	  -5.24	  12.50
	  0.585	  0.321	  0.744
	  0.026	  0.909	 -0.415
	 -0.810	  0.265	  0.522

2 	  33.19	  -8.30	  22.82
	  0.971	  0.238	  0.003
	 -0.239	  0.969	 -0.053
	 -0.014	  0.050	  0.998

3 	  43.80	   0.28	   1.56
	  0.552	 -0.274	  0.787
	 -0.099	  0.916	  0.388
	 -0.828	 -0.293	  0.479

4 	  40.31	   6.05	  -2.20
	  0.764	  0.609	 -0.213
	 -0.375	  0.686	  0.622
	  0.526	 -0.396	  0.752

5 	  45.62	   8.96	   4.82
	  0.640	  0.481	  0.599
	  0.195	 -0.856	  0.479
	  0.743	 -0.190	 -0.642

6 	  50.64	   9.95	  -1.27
	  0.566	 -0.219	 -0.795
	  0.708	  0.624	  0.329
	  0.428	 -0.749	  0.505

7 	  40.06	  -6.10	  -2.14
	  0.792	 -0.608	 -0.052
	  0.525	  0.722	 -0.451
	  0.312	  0.330	  0.891

8 	  44.30	  -8.35	   7.00
	  0.534	 -0.031	  0.844
	  0.825	 -0.196	 -0.529
	  0.182	  0.980	 -0.079

9 	  50.38	  -5.22	  12.52
	  0.585	  0.318	  0.745
	  0.027	  0.910	 -0.413
	 -0.811	  0.263	  0.522

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.054
	 -0.014	  0.050	  0.998

3 	  43.79	   0.28	   1.58
	  0.552	 -0.274	  0.787
	 -0.102	  0.915	  0.389
	 -0.828	 -0.295	  0.477

4 	  40.32	   6.05	  -2.18
	  0.765	  0.608	 -0.213
	 -0.375	  0.687	  0.621
	  0.525	 -0.396	  0.753

5 	  45.62	   8.96	   4.82
	  0.641	  0.481	  0.598
	  0.196	 -0.856	  0.479
	  0.742	 -0.190	 -0.642

6 	  50.64	   9.93	  -1.27
	  0.565	 -0.219	 -0.795
	  0.708	  0.624	  0.329
	  0.428	 -0.749	  0.505

7 	  40.06	  -6.10	  -2.13
	  0.792	 -0.608	 -0.053
	  0.524	  0.722	 -0.451
	  0.313	  0.329	  0.891

8 	  44.31	  -8.33	   6.98
	  0.536	 -0.030	  0.843
	  0.825	 -0.189	 -0.532
	  0.175	  0.981	 -0.077

9 	  50.40	  -5.22	  12.52
	  0.584	  0.316	  0.747
	  0.024	  0.912	 -0.408
	 -0.812	  0.258	  0.523

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.014	  0.050	  0.998

3 	  43.77	   0.28	   1.58
	  0.551	 -0.275	  0.788
	 -0.102	  0.915	  0.390
	 -0.828	 -0.296	  0.476

4 	  40.31	   6.05	  -2.18
	  0.766	  0.607	 -0.212
	 -0.375	  0.688	  0.621
	  0.524	 -0.396	  0.754

5 	  45.62	   8.96	   4.82
	  0.642	  0.481	  0.597
	  0.195	 -0.856	  0.479
	  0.741	 -0.191	 -0.643

6 	  50.64	   9.93	  -1.27
	  0.566	 -0.219	 -0.795
	  0.708	  0.624	  0.329
	  0.428	 -0.749	  0.505

7 	  40.04	  -6.10	  -2.13
	  0.793	 -0.607	 -0.054
	  0.523	  0.723	 -0.450
	  0.313	  0.329	  0.891

8 	  44.33	  -8.33	   6.98
	  0.538	 -0.028	  0.842
	  0.826	 -0.182	 -0.534
	  0.168	  0.983	 -0.075

9 	  50.40	  -5.20	  12.48
	  0.584	  0.314	  0.749
	  0.022	  0.915	 -0.403
	 -0.813	  0.253	  0.525

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.054
	 -0.014	  0.050	  0.998

3 	  43.75	   0.30	   1.60
	  0.550	 -0.275	  0.788
	 -0.104	  0.914	  0.391
	 -0.828	 -0.297	  0.474

4 	  40.31	   6.05	  -2.18
	  0.766	  0.607	 -0.212
	 -0.375	  0.688	  0.620
	  0.524	 -0.396	  0.754

5 	  45.62	   8.96	   4.82
	  0.642	  0.480	  0.597
	  0.196	 -0.856	  0.479
	  0.741	 -0.191	 -0.643

6 	  50.64	   9.93	  -1.25
	  0.566	 -0.219	 -0.795
	  0.708	  0.624	  0.329
	  0.428	 -0.749	  0.505

7 	  40.04	  -6.12	  -2.13
	  0.793	 -0.606	 -0.055
	  0.522	  0.724	 -0.450
	  0.313	  0.329	  0.891

8 	  44.33	  -8.31	   6.96
	  0.538	 -0.027	  0.842
	  0.827	 -0.177	 -0.534
	  0.163	  0.984	 -0.072

9 	  50.40	  -5.20	  12.52
	  0.581	  0.313	  0.751
	  0.020	  0.916	 -0.400
	 -0.814	  0.249	  0.524

2 	  33.21	  -8.28	  22.82
	  0.971	  0.238	  0.001
	 -0.239	  0.969	 -0.054
	 -0.013	  0.050	  0.998

3 	  43.77	   0.28	   1.62
	  0.550	 -0.276	  0.788
	 -0.104	  0.913	  0.393
	 -0.828	 -0.298	  0.474

4 	  40.31	   6.05	  -2.16
	  0.767	  0.606	 -0.211
	 -0.375	  0.688	  0.620
	  0.522	 -0.397	  0.755

5 	  45.62	   8.96	   4.83
	  0.643	  0.480	  0.596
	  0.195	 -0.856	  0.479
	  0.740	 -0.192	 -0.644

6 	  50.64	   9.95	  -1.27
	  0.565	 -0.218	 -0.796
	  0.708	  0.624	  0.329
	  0.429	 -0.749	  0.505

7 	  40.04	  -6.10	  -2.13
	  0.794	 -0.605	 -0.055
	  0.521	  0.725	 -0.450
	  0.313	  0.329	  0.891

8 	  44.37	  -8.33	   6.96
	  0.538	 -0.027	  0.842
	  0.827	 -0.173	 -0.535
	  0.160	  0.984	 -0.072

9 	  50.40	  -5.19	  12.50
	  0.581	  0.311	  0.752
	  0.019	  0.917	 -0.397
	 -0.815	  0.246	  0.525

2 	  33.19	  -8.28	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.014	  0.050	  0.998

3 	  43.77	   0.28	   1.62
	  0.551	 -0.277	  0.787
	 -0.104	  0.913	  0.393
	 -0.828	 -0.299	  0.474

4 	  40.31	   6.06	  -2.16
	  0.766	  0.607	 -0.211
	 -0.375	  0.688	  0.621
	  0.523	 -0.398	  0.754

5 	  45.62	   8.96	   4.82
	  0.643	  0.480	  0.596
	  0.196	 -0.856	  0.479
	  0.740	 -0.191	 -0.644

6 	  50.64	   9.95	  -1.27
	  0.565	 -0.218	 -0.796
	  0.708	  0.624	  0.329
	  0.429	 -0.749	  0.505

7 	  40.06	  -6.10	  -2.14
	  0.795	 -0.603	 -0.057
	  0.520	  0.726	 -0.450
	  0.313	  0.328	  0.891

8 	  44.37	  -8.31	   6.93
	  0.538	 -0.026	  0.842
	  0.828	 -0.172	 -0.534
	  0.159	  0.984	 -0.071

9 	  50.41	  -5.17	  12.50
	  0.578	  0.309	  0.755
	  0.016	  0.920	 -0.392
	 -0.817	  0.240	  0.525

2 	  33.19	  -8.30	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.014	  0.050	  0.998

3 	  43.75	   0.30	   1.60
	  0.552	 -0.276	  0.786
	 -0.105	  0.913	  0.393
	 -0.827	 -0.300	  0.475

4 	  40.29	   6.06	  -2.16
	  0.766	  0.607	 -0.211
	 -0.374	  0.687	  0.622
	  0.524	 -0.399	  0.753

5 	  45.62	   8.98	   4.82
	  0.643	  0.480	  0.596
	  0.196	 -0.856	  0.478
	  0.740	 -0.191	 -0.644

6 	  50.64	   9.95	  -1.27
	  0.565	 -0.218	 -0.796
	  0.708	  0.625	  0.329
	  0.429	 -0.749	  0.504

7 	  40.06	  -6.08	  -2.16
	  0.796	 -0.602	 -0.058
	  0.517	  0.728	 -0.450
	  0.314	  0.328	  0.891

8 	  44.40	  -8.31	   6.91
	  0.537	 -0.025	  0.843
	  0.829	 -0.171	 -0.533
	  0.157	  0.985	 -0.072

9 	  50.41	  -5.17	  12.48
	  0.576	  0.308	  0.757
	  0.014	  0.921	 -0.388
	 -0.818	  0.235	  0.524

2 	  33.19	  -8.30	  22.82
	  0.971	  0.238	  0.002
	 -0.239	  0.969	 -0.053
	 -0.013	  0.049	  0.998

3 	  43.77	   0.30	   1.58
	  0.554	 -0.276	  0.785
	 -0.104	  0.913	  0.394
	 -0.826	 -0.300	  0.477

4 	  40.31	   6.06	  -2.16
	  0.766	  0.607	 -0.210
	 -0.373	  0.686	  0.625
	  0.524	 -0.401	  0.751

5 	  45.62	   8.98	   4.82
	  0.643	  0.480	  0.596
	  0.196	 -0.856	  0.478
	  0.740	 -0.191	 -0.644

6 	  50.64	   9.95	  -1.27
	  0.565	 -0.218	 -0.796
	  0.708	  0.625	  0.330
	  0.429	 -0.749	  0.504

7 	  40.08	  -6.08	  -2.18
	  0.797	 -0.601	 -0.060
	  0.516	  0.728	 -0.451
	  0.315	  0.329	  0.890

8 	  44.40	  -8.31	   6.89
	  0.536	 -0.023	  0.844
	  0.830	 -0.171	 -0.531
	  0.156	  0.985	 -0.073

9 	  50.43	  -5.15	  12.48
	  0.574	  0.307	  0.758
	  0.012	  0.923	 -0.385
	 -0.819	  0.232	  0.524

