2 	  44.81	  -0.37	   4.04
	 -0.227	  0.358	  0.905
	  0.034	  0.932	 -0.360
	 -0.973	 -0.051	 -0.224

3 	  43.59	  -0.51	   1.39
	  0.213	 -0.002	  0.977
	 -0.233	  0.971	  0.051
	 -0.949	 -0.238	  0.206

4 	  39.25	   7.40	  -3.38
	  0.534	  0.817	  0.216
	 -0.769	  0.363	  0.526
	  0.352	 -0.447	  0.822

5 	  43.63	   8.05	   8.17
	 -0.648	 -0.108	 -0.754
	  0.262	  0.898	 -0.352
	  0.716	 -0.424	 -0.554

6 	  53.93	   7.37	  13.31
	  0.823	 -0.036	  0.567
	 -0.182	  0.928	  0.323
	 -0.538	 -0.370	  0.757

7 	  38.00	  -7.65	  -3.13
	  0.209	 -0.945	  0.251
	  0.855	  0.051	 -0.516
	  0.475	  0.322	  0.818

8 	  45.02	 -10.34	   6.71
	  0.794	 -0.029	  0.607
	  0.534	 -0.444	 -0.719
	  0.290	  0.895	 -0.337

9 	  54.54	  -8.38	  12.85
	  0.788	  0.130	  0.601
	  0.037	  0.965	 -0.259
	 -0.615	  0.229	  0.755

2 	  44.75	   0.05	   3.83
	 -0.238	  0.390	  0.890
	 -0.196	  0.878	 -0.437
	 -0.951	 -0.278	 -0.133

3 	  43.59	  -0.47	   1.35
	  0.205	  0.005	  0.978
	 -0.225	  0.974	  0.041
	 -0.953	 -0.228	  0.201

4 	  39.22	   7.42	  -3.36
	  0.533	  0.818	  0.216
	 -0.769	  0.361	  0.527
	  0.354	 -0.447	  0.821

5 	  43.61	   8.07	   8.16
	 -0.649	 -0.108	 -0.753
	  0.261	  0.899	 -0.352
	  0.716	 -0.424	 -0.555

6 	  53.91	   7.38	  13.31
	  0.823	 -0.037	  0.566
	 -0.182	  0.928	  0.325
	 -0.538	 -0.371	  0.757

7 	  38.00	  -7.63	  -3.15
	  0.213	 -0.944	  0.250
	  0.855	  0.055	 -0.516
	  0.473	  0.323	  0.819

8 	  45.02	 -10.32	   6.68
	  0.793	 -0.028	  0.608
	  0.537	 -0.439	 -0.720
	  0.287	  0.898	 -0.333

9 	  54.54	  -8.38	  12.83
	  0.787	  0.128	  0.603
	  0.037	  0.966	 -0.257
	 -0.615	  0.227	  0.755

2 	  44.75	  -0.51	   4.01
	 -0.123	  0.346	  0.930
	  0.191	  0.928	 -0.320
	 -0.974	  0.138	 -0.180

3 	  43.56	  -0.49	   1.39
	  0.218	 -0.006	  0.976
	 -0.231	  0.971	  0.056
	 -0.948	 -0.237	  0.210

4 	  39.18	   7.44	  -3.34
	  0.533	  0.817	  0.219
	 -0.769	  0.359	  0.528
	  0.353	 -0.449	  0.820

5 	  43.59	   8.05	   8.19
	 -0.650	 -0.106	 -0.753
	  0.260	  0.900	 -0.350
	  0.715	 -0.421	 -0.557

6 	  53.88	   7.40	  13.29
	  0.824	 -0.036	  0.564
	 -0.184	  0.927	  0.327
	 -0.535	 -0.374	  0.757

7 	  37.92	  -7.63	  -3.11
	  0.209	 -0.945	  0.251
	  0.854	  0.050	 -0.518
	  0.477	  0.322	  0.817

8 	  44.96	 -10.32	   6.71
	  0.795	 -0.030	  0.605
	  0.531	 -0.448	 -0.719
	  0.292	  0.893	 -0.341

9 	  54.51	  -8.40	  12.83
	  0.790	  0.128	  0.600
	  0.038	  0.965	 -0.259
	 -0.612	  0.230	  0.756

2 	  44.70	  -0.11	   3.88
	 -0.145	  0.466	  0.873
	 -0.050	  0.877	 -0.477
	 -0.988	 -0.113	 -0.104

3 	  43.51	  -0.46	   1.39
	  0.219	  0.000	  0.975
	 -0.225	  0.973	  0.049
	 -0.949	 -0.230	  0.213

4 	  39.13	   7.44	  -3.32
	  0.532	  0.817	  0.220
	 -0.770	  0.358	  0.528
	  0.353	 -0.451	  0.820

5 	  43.56	   8.07	   8.19
	 -0.651	 -0.107	 -0.752
	  0.257	  0.901	 -0.349
	  0.715	 -0.419	 -0.559

6 	  53.89	   7.40	  13.27
	  0.826	 -0.035	  0.562
	 -0.185	  0.926	  0.328
	 -0.533	 -0.375	  0.758

7 	  37.90	  -7.63	  -3.11
	  0.212	 -0.945	  0.250
	  0.853	  0.053	 -0.520
	  0.478	  0.323	  0.817

8 	  44.96	 -10.32	   6.71
	  0.795	 -0.030	  0.605
	  0.531	 -0.447	 -0.720
	  0.292	  0.893	 -0.340

9 	  54.49	  -8.38	  12.81
	  0.790	  0.129	  0.599
	  0.037	  0.965	 -0.259
	 -0.612	  0.229	  0.757

2 	  44.70	  -0.21	   4.08
	 -0.250	  0.494	  0.833
	  0.134	  0.869	 -0.476
	 -0.959	 -0.007	 -0.283

3 	  43.52	  -0.46	   1.37
	  0.215	 -0.001	  0.976
	 -0.231	  0.971	  0.051
	 -0.949	 -0.236	  0.208

4 	  39.15	   7.45	  -3.34
	  0.532	  0.818	  0.218
	 -0.769	  0.357	  0.530
	  0.356	 -0.449	  0.819

5 	  43.56	   8.07	   8.19
	 -0.651	 -0.107	 -0.751
	  0.257	  0.901	 -0.349
	  0.715	 -0.419	 -0.560

6 	  53.88	   7.42	  13.27
	  0.826	 -0.035	  0.562
	 -0.185	  0.926	  0.328
	 -0.533	 -0.375	  0.758

7 	  37.95	  -7.61	  -3.15
	  0.215	 -0.944	  0.249
	  0.852	  0.056	 -0.521
	  0.478	  0.324	  0.816

8 	  44.96	 -10.32	   6.70
	  0.795	 -0.030	  0.605
	  0.531	 -0.448	 -0.719
	  0.293	  0.893	 -0.340

9 	  54.47	  -8.40	  12.83
	  0.789	  0.129	  0.600
	  0.037	  0.965	 -0.259
	 -0.613	  0.229	  0.756

2 	  43.58	  -0.21	  -3.96
	 -0.052	  0.993	 -0.103
	 -0.579	 -0.114	 -0.807
	 -0.814	  0.017	  0.581

3 	  43.70	  -0.37	   1.21
	  0.233	 -0.005	  0.972
	 -0.233	  0.971	  0.059
	 -0.945	 -0.240	  0.224

4 	  39.16	   7.54	  -3.30
	  0.520	  0.824	  0.226
	 -0.771	  0.337	  0.541
	  0.370	 -0.455	  0.810

5 	  43.52	   8.09	   8.26
	 -0.650	 -0.104	 -0.752
	  0.242	  0.910	 -0.335
	  0.721	 -0.399	 -0.567

6 	  53.88	   7.45	  13.27
	  0.830	 -0.039	  0.555
	 -0.186	  0.921	  0.343
	 -0.525	 -0.389	  0.757

7 	  38.04	  -7.56	  -3.20
	  0.219	 -0.946	  0.238
	  0.847	  0.062	 -0.527
	  0.484	  0.316	  0.815

8 	  45.04	 -10.34	   6.63
	  0.791	 -0.040	  0.611
	  0.531	 -0.451	 -0.717
	  0.305	  0.891	 -0.336

9 	  54.53	  -8.44	  12.83
	  0.788	  0.130	  0.602
	  0.037	  0.965	 -0.260
	 -0.615	  0.229	  0.754

2 	  43.56	   0.25	  -3.66
	 -0.413	  0.898	  0.152
	 -0.418	 -0.036	 -0.908
	 -0.810	 -0.438	  0.389

3 	  43.73	  -0.46	   1.14
	  0.226	  0.003	  0.974
	 -0.236	  0.970	  0.050
	 -0.945	 -0.241	  0.219

4 	  39.18	   7.45	  -3.34
	  0.520	  0.824	  0.224
	 -0.770	  0.338	  0.540
	  0.371	 -0.453	  0.810

5 	  43.58	   8.03	   8.21
	 -0.650	 -0.106	 -0.752
	  0.241	  0.911	 -0.336
	  0.721	 -0.398	 -0.567

6 	  53.89	   7.44	  13.27
	  0.830	 -0.036	  0.557
	 -0.187	  0.922	  0.339
	 -0.526	 -0.386	  0.758

7 	  38.07	  -7.63	  -3.23
	  0.218	 -0.946	  0.241
	  0.845	  0.059	 -0.531
	  0.488	  0.319	  0.812

8 	  45.04	 -10.39	   6.63
	  0.790	 -0.040	  0.612
	  0.531	 -0.455	 -0.715
	  0.308	  0.889	 -0.338

9 	  54.56	  -8.47	  12.80
	  0.788	  0.133	  0.600
	  0.036	  0.964	 -0.263
	 -0.614	  0.231	  0.754

2 	  43.88	  -0.72	  -3.73
	  0.108	  0.962	 -0.251
	 -0.425	 -0.184	 -0.886
	 -0.899	  0.201	  0.388

3 	  43.82	  -0.53	   1.05
	  0.229	  0.002	  0.973
	 -0.216	  0.975	  0.047
	 -0.949	 -0.220	  0.224

4 	  39.23	   7.42	  -3.39
	  0.520	  0.825	  0.221
	 -0.769	  0.338	  0.543
	  0.374	 -0.452	  0.810

5 	  43.58	   8.00	   8.19
	 -0.650	 -0.107	 -0.752
	  0.237	  0.912	 -0.334
	  0.723	 -0.394	 -0.567

6 	  53.91	   7.44	  13.25
	  0.829	 -0.034	  0.558
	 -0.188	  0.923	  0.335
	 -0.527	 -0.383	  0.758

7 	  38.09	  -7.65	  -3.22
	  0.216	 -0.946	  0.241
	  0.846	  0.058	 -0.530
	  0.487	  0.318	  0.813

8 	  45.04	 -10.42	   6.64
	  0.789	 -0.042	  0.613
	  0.529	 -0.462	 -0.712
	  0.313	  0.886	 -0.343

9 	  54.54	  -8.51	  12.83
	  0.788	  0.135	  0.600
	  0.037	  0.963	 -0.268
	 -0.614	  0.235	  0.753

