2 	  33.13	  -6.98	  22.85
	  0.703	  0.711	 -0.018
	 -0.712	  0.701	 -0.025
	 -0.004	  0.030	  0.999

3 	  45.37	  -1.07	  -0.14
	  0.515	  0.316	  0.796
	 -0.227	  0.946	 -0.231
	 -0.827	 -0.061	  0.558

4 	  40.43	   4.11	  -3.71
	  0.530	  0.690	 -0.493
	 -0.656	  0.701	  0.278
	  0.539	  0.176	  0.823

5 	  46.85	  11.99	  -2.46
	  0.758	  0.644	 -0.104
	  0.144	 -0.010	  0.989
	  0.636	 -0.765	 -0.099

6 	  51.86	   4.52	  -1.02
	  0.336	 -0.863	  0.376
	  0.921	  0.384	  0.061
	 -0.198	  0.328	  0.924

7 	  41.20	  -6.13	  -3.76
	  0.594	 -0.636	 -0.492
	  0.482	  0.770	 -0.417
	  0.646	  0.011	  0.763

8 	  45.95	 -13.83	  -3.11
	  0.664	 -0.736	 -0.131
	  0.037	  0.207	 -0.978
	  0.747	  0.644	  0.165

9 	  51.57	  -6.71	  -0.95
	  0.401	  0.843	  0.357
	 -0.915	  0.386	  0.112
	 -0.044	 -0.372	  0.927

2 	  33.13	  -6.98	  22.83
	  0.702	  0.711	 -0.018
	 -0.713	  0.701	 -0.025
	 -0.004	  0.030	  0.999

3 	  45.39	  -1.04	  -0.12
	  0.513	  0.320	  0.796
	 -0.230	  0.945	 -0.234
	 -0.827	 -0.062	  0.558

4 	  40.43	   4.11	  -3.73
	  0.530	  0.690	 -0.492
	 -0.657	  0.701	  0.278
	  0.538	  0.176	  0.824

5 	  46.79	  11.99	  -2.44
	  0.753	  0.650	 -0.099
	  0.135	 -0.005	  0.991
	  0.643	 -0.760	 -0.091

6 	  51.79	   4.52	  -0.95
	  0.331	 -0.863	  0.381
	  0.921	  0.383	  0.068
	 -0.206	  0.330	  0.921

7 	  41.17	  -6.15	  -3.74
	  0.594	 -0.638	 -0.491
	  0.487	  0.769	 -0.413
	  0.642	  0.007	  0.766

8 	  45.88	 -13.89	  -3.09
	  0.660	 -0.739	 -0.131
	  0.043	  0.211	 -0.976
	  0.750	  0.639	  0.171

9 	  51.40	  -6.80	  -0.84
	  0.388	  0.845	  0.368
	 -0.921	  0.374	  0.109
	 -0.046	 -0.381	  0.923

2 	  33.13	  -6.98	  22.83
	  0.702	  0.712	 -0.018
	 -0.713	  0.701	 -0.025
	 -0.004	  0.031	  0.999

3 	  45.39	  -1.05	  -0.12
	  0.514	  0.320	  0.796
	 -0.230	  0.945	 -0.233
	 -0.827	 -0.062	  0.558

4 	  40.38	   3.99	  -3.74
	  0.523	  0.691	 -0.499
	 -0.664	  0.696	  0.271
	  0.536	  0.189	  0.822

5 	  46.60	  11.99	  -2.50
	  0.745	  0.659	 -0.102
	  0.130	  0.008	  0.991
	  0.654	 -0.752	 -0.079

6 	  51.63	   4.57	  -0.93
	  0.327	 -0.860	  0.391
	  0.920	  0.383	  0.076
	 -0.217	  0.337	  0.916

7 	  41.17	  -6.17	  -3.74
	  0.593	 -0.639	 -0.490
	  0.490	  0.768	 -0.411
	  0.641	  0.004	  0.767

8 	  45.84	 -13.90	  -3.11
	  0.661	 -0.739	 -0.132
	  0.046	  0.216	 -0.975
	  0.749	  0.638	  0.176

9 	  51.24	  -6.75	  -0.90
	  0.370	  0.854	  0.366
	 -0.928	  0.353	  0.113
	 -0.033	 -0.382	  0.923

2 	  33.13	  -6.98	  22.85
	  0.702	  0.712	 -0.018
	 -0.713	  0.701	 -0.026
	 -0.004	  0.031	  0.999

3 	  45.37	  -1.09	  -0.14
	  0.512	  0.322	  0.795
	 -0.236	  0.943	 -0.232
	 -0.826	 -0.068	  0.559

4 	  40.31	   3.99	  -3.73
	  0.514	  0.695	 -0.503
	 -0.671	  0.690	  0.271
	  0.537	  0.198	  0.820

5 	  46.83	  11.69	  -2.57
	  0.768	  0.626	 -0.133
	  0.209	 -0.048	  0.977
	  0.605	 -0.778	 -0.167

