2 	  32.84	  -8.19	  22.75
	  0.842	  0.538	 -0.023
	 -0.540	  0.840	 -0.044
	 -0.003	  0.049	  0.999

3 	  43.24	  -0.74	   1.85
	  0.313	  0.272	  0.909
	 -0.069	  0.962	 -0.265
	 -0.947	  0.020	  0.319

4 	  39.27	   4.99	  -3.66
	  0.746	  0.623	 -0.236
	 -0.585	  0.781	  0.216
	  0.320	 -0.023	  0.947

5 	  42.75	   9.42	   1.86
	  0.672	  0.507	  0.539
	 -0.508	 -0.216	  0.834
	  0.540	 -0.834	  0.111

6 	  48.09	   2.37	   1.55
	 -0.105	 -0.971	 -0.216
	  0.969	 -0.148	  0.197
	 -0.224	 -0.189	  0.956

7 	  37.79	  -7.01	  -2.81
	  0.693	 -0.697	 -0.186
	  0.601	  0.700	 -0.386
	  0.400	  0.156	  0.903

8 	  43.29	 -11.92	   0.79
	  0.818	 -0.505	  0.272
	  0.336	  0.036	 -0.941
	  0.466	  0.862	  0.199

9 	  48.08	  -3.01	   0.63
	 -0.046	  0.996	  0.075
	 -0.965	 -0.025	 -0.260
	 -0.257	 -0.084	  0.963

2 	  32.84	  -8.17	  22.75
	  0.842	  0.538	 -0.024
	 -0.540	  0.840	 -0.044
	 -0.002	  0.049	  0.998

3 	  43.24	  -0.74	   1.85
	  0.313	  0.269	  0.911
	 -0.070	  0.963	 -0.261
	 -0.947	  0.018	  0.320

4 	  39.27	   5.01	  -3.64
	  0.744	  0.625	 -0.235
	 -0.587	  0.780	  0.217
	  0.319	 -0.024	  0.947

5 	  42.71	   9.44	   1.88
	  0.672	  0.510	  0.536
	 -0.504	 -0.218	  0.836
	  0.545	 -0.831	  0.110

6 	  48.11	   2.41	   1.51
	 -0.102	 -0.971	 -0.217
	  0.970	 -0.145	  0.195
	 -0.221	 -0.191	  0.956

7 	  37.79	  -7.01	  -2.81
	  0.692	 -0.697	 -0.188
	  0.600	  0.700	 -0.388
	  0.402	  0.156	  0.902

8 	  43.26	 -11.97	   0.69
	  0.813	 -0.521	  0.259
	  0.317	  0.023	 -0.948
	  0.489	  0.853	  0.184

9 	  48.22	  -3.20	   0.14
	 -0.014	  0.999	  0.049
	 -0.974	 -0.002	 -0.227
	 -0.226	 -0.051	  0.973

2 	  32.82	  -8.17	  22.73
	  0.842	  0.538	 -0.023
	 -0.540	  0.840	 -0.044
	 -0.003	  0.049	  0.999

3 	  43.28	  -0.70	   1.78
	  0.311	  0.270	  0.911
	 -0.061	  0.962	 -0.265
	 -0.949	  0.027	  0.315

4 	  39.11	   5.01	  -3.64
	  0.729	  0.632	 -0.261
	 -0.591	  0.774	  0.227
	  0.346	 -0.012	  0.938

5 	  42.50	   9.58	   1.72
	  0.678	  0.540	  0.498
	 -0.434	 -0.255	  0.864
	  0.595	 -0.801	  0.060

6 	  48.46	   3.52	  -0.05
	 -0.021	 -0.946	 -0.324
	  0.993	 -0.058	  0.105
	 -0.119	 -0.319	  0.940

7 	  37.85	  -7.01	  -2.79
	  0.697	 -0.693	 -0.182
	  0.588	  0.698	 -0.409
	  0.411	  0.178	  0.894

8 	  42.98	 -12.08	   1.41
	  0.776	 -0.545	  0.317
	  0.304	 -0.117	 -0.945
	  0.552	  0.830	  0.074

9 	  48.53	  -4.52	  -1.74
	  0.097	  0.964	 -0.248
	 -0.987	  0.061	 -0.147
	 -0.127	  0.258	  0.958

2 	  32.82	  -8.17	  22.73
	  0.842	  0.538	 -0.024
	 -0.540	  0.840	 -0.044
	 -0.002	  0.049	  0.998

3 	  43.29	  -0.58	   1.71
	  0.302	  0.270	  0.914
	 -0.050	  0.962	 -0.269
	 -0.952	  0.035	  0.303

4 	  38.95	   5.06	  -3.64
	  0.706	  0.650	 -0.282
	 -0.605	  0.760	  0.239
	  0.371	  0.001	  0.928

5 	  42.50	   9.62	   1.83
	  0.707	  0.527	  0.471
	 -0.327	 -0.350	  0.878
	  0.629	 -0.773	 -0.077

6 	  48.57	   4.73	  -2.09
	 -0.014	 -0.852	 -0.523
	  1.000	 -0.001	 -0.025
	  0.020	 -0.523	  0.852

7 	  37.88	  -6.94	  -2.87
	  0.688	 -0.698	 -0.197
	  0.581	  0.692	 -0.428
	  0.435	  0.180	  0.882

8 	  42.93	 -11.90	   2.07
	  0.770	 -0.529	  0.355
	  0.196	 -0.334	 -0.922
	  0.607	  0.779	 -0.154

9 	  48.64	  -6.49	  -4.17
	  0.145	  0.791	 -0.594
	 -0.989	  0.120	 -0.082
	  0.006	  0.599	  0.801

2 	  32.80	  -8.17	  22.73
	  0.842	  0.538	 -0.023
	 -0.540	  0.840	 -0.044
	 -0.003	  0.049	  0.999

3 	  43.33	  -0.53	   1.62
	  0.298	  0.259	  0.919
	 -0.049	  0.965	 -0.257
	 -0.953	  0.031	  0.300

4 	  38.83	   5.24	  -3.55
	  0.694	  0.655	 -0.298
	 -0.600	  0.755	  0.263
	  0.398	 -0.005	  0.917

5 	  42.57	   9.56	   1.93
	  0.737	  0.495	  0.459
	 -0.269	 -0.410	  0.871
	  0.620	 -0.766	 -0.170

6 	  48.60	   5.77	  -3.02
	 -0.009	 -0.778	 -0.628
	  0.996	  0.050	 -0.076
	  0.090	 -0.626	  0.775

7 	  37.85	  -6.80	  -3.08
	  0.681	 -0.695	 -0.230
	  0.568	  0.700	 -0.432
	  0.462	  0.164	  0.871

8 	  43.03	 -11.51	   2.23
	  0.787	 -0.499	  0.363
	  0.128	 -0.444	 -0.887
	  0.604	  0.744	 -0.287

9 	  48.02	  -8.17	  -5.59
	  0.083	  0.578	 -0.812
