2 	  32.62	  -6.79	  23.01
	  0.001	  0.999	 -0.042
	 -1.000	  0.001	 -0.011
	 -0.011	  0.042	  0.999

3 	  45.18	   0.00	   2.87
	  0.177	  0.131	  0.975
	  0.138	  0.978	 -0.157
	 -0.974	  0.162	  0.155

4 	  40.62	   6.24	  -5.80
	  0.552	  0.807	  0.207
	 -0.831	  0.516	  0.206
	  0.060	 -0.286	  0.956

5 	  39.41	   9.05	   6.84
	  0.321	  0.175	  0.931
	 -0.250	 -0.932	  0.261
	  0.913	 -0.316	 -0.256

6 	  46.51	  10.30	  16.73
	  0.497	 -0.217	  0.840
	 -0.657	  0.538	  0.528
	 -0.567	 -0.815	  0.125

7 	  40.54	  -7.26	  -5.13
	  0.800	 -0.598	 -0.051
	  0.578	  0.790	 -0.202
	  0.161	  0.132	  0.978

8 	  38.81	  -9.95	   7.15
	  0.245	 -0.214	  0.945
	  0.128	 -0.960	 -0.250
	  0.961	  0.182	 -0.208

9 	  46.35	 -11.85	  17.49
	  0.579	  0.219	  0.785
	  0.673	  0.414	 -0.612
	 -0.459	  0.883	  0.092

2 	  32.62	  -6.79	  23.01
	  0.001	  0.999	 -0.042
	 -1.000	  0.001	 -0.011
	 -0.011	  0.042	  0.999

3 	  45.18	  -0.02	   2.85
	  0.179	  0.131	  0.975
	  0.139	  0.978	 -0.157
	 -0.974	  0.163	  0.156

4 	  40.62	   6.24	  -5.78
	  0.552	  0.807	  0.207
	 -0.832	  0.516	  0.206
	  0.059	 -0.287	  0.956

5 	  39.41	   9.05	   6.84
	  0.321	  0.175	  0.930
	 -0.249	 -0.932	  0.261
	  0.913	 -0.316	 -0.256

6 	  46.51	  10.28	  16.75
	  0.497	 -0.217	  0.840
	 -0.657	  0.537	  0.528
	 -0.566	 -0.815	  0.124

7 	  40.54	  -7.26	  -5.13
	  0.800	 -0.598	 -0.052
	  0.578	  0.791	 -0.202
	  0.161	  0.132	  0.978

8 	  38.79	  -9.93	   7.17
	  0.245	 -0.214	  0.945
	  0.128	 -0.959	 -0.250
	  0.961	  0.182	 -0.208

9 	  46.35	 -11.85	  17.49
	  0.579	  0.219	  0.785
	  0.674	  0.413	 -0.612
	 -0.459	  0.884	  0.092

2 	  32.62	  -6.79	  23.01
	  0.001	  0.999	 -0.042
	 -1.000	  0.001	 -0.011
	 -0.011	  0.042	  0.999

3 	  45.16	   0.00	   2.87
	  0.178	  0.130	  0.975
	  0.139	  0.978	 -0.156
	 -0.974	  0.163	  0.156

