2 	  32.59	   5.08	  22.97
	  0.771	 -0.632	 -0.084
	  0.631	  0.775	 -0.033
	  0.086	 -0.028	  0.996

3 	  45.93	  -0.44	   1.92
	  0.394	 -0.152	  0.906
	 -0.027	  0.984	  0.176
	 -0.919	 -0.094	  0.383

4 	  42.03	   6.08	  -2.71
	  0.654	  0.728	  0.203
	 -0.739	  0.559	  0.376
	  0.160	 -0.396	  0.904

5 	  39.23	   8.47	   8.88
	  0.169	  0.154	  0.973
	 -0.382	 -0.900	  0.209
	  0.908	 -0.407	 -0.094

6 	  42.80	  10.41	  18.83
	  0.171	  0.035	  0.984
	 -0.878	  0.458	  0.136
	 -0.447	 -0.888	  0.109

7 	  30.29	  -5.13	  29.07
	 -0.312	  0.143	  0.939
	 -0.836	 -0.511	 -0.200
	  0.451	 -0.848	  0.279

8 	  31.36	  -4.43	  28.34
	 -0.083	  0.379	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.132	  0.143

9 	  30.08	  -4.94	  30.92
	 -0.309	 -0.017	  0.951
	  0.106	 -0.994	  0.016
	  0.945	  0.106	  0.309

2 	  32.57	   5.10	  22.97
	  0.771	 -0.631	 -0.084
	  0.631	  0.775	 -0.033
	  0.086	 -0.028	  0.996

3 	  45.95	  -0.40	   1.90
	  0.395	 -0.153	  0.906
	 -0.029	  0.983	  0.179
	 -0.918	 -0.097	  0.384

4 	  42.03	   6.12	  -2.72
	  0.653	  0.729	  0.203
	 -0.740	  0.558	  0.376
	  0.160	 -0.396	  0.904

5 	  39.23	   8.51	   8.86
	  0.167	  0.152	  0.974
	 -0.380	 -0.902	  0.205
	  0.910	 -0.404	 -0.093

6 	  42.80	  10.42	  18.83
	  0.171	  0.035	  0.984
	 -0.879	  0.457	  0.136
	 -0.445	 -0.889	  0.108

7 	  30.29	  -5.13	  29.09
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.848	  0.279

8 	  31.36	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.177	 -0.916	  0.361
	  0.980	 -0.132	  0.144

9 	  30.08	  -4.94	  30.92
	 -0.309	 -0.017	  0.951
	  0.105	 -0.994	  0.016
	  0.945	  0.105	  0.309

2 	  32.59	   5.10	  22.97
	  0.771	 -0.631	 -0.084
	  0.631	  0.775	 -0.033
	  0.086	 -0.028	  0.996

3 	  45.97	  -0.37	   1.88
	  0.395	 -0.156	  0.905
	 -0.032	  0.982	  0.183
	 -0.918	 -0.101	  0.383

4 	  42.03	   6.12	  -2.71
	  0.653	  0.729	  0.203
	 -0.740	  0.557	  0.377
	  0.161	 -0.397	  0.903

5 	  39.23	   8.49	   8.88
	  0.156	  0.149	  0.976
	 -0.376	 -0.905	  0.198
	  0.913	 -0.398	 -0.086

6 	  42.80	  10.41	  18.84
	  0.170	  0.034	  0.985
	 -0.881	  0.453	  0.136
	 -0.442	 -0.891	  0.107

7 	  30.29	  -5.12	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.200
	  0.451	 -0.847	  0.279

8 	  31.36	  -4.41	  28.35
	 -0.084	  0.380	  0.921
	 -0.176	 -0.916	  0.361
	  0.981	 -0.131	  0.144

9 	  30.09	  -4.94	  30.90
	 -0.309	 -0.017	  0.951
	  0.106	 -0.994	  0.016
	  0.945	  0.106	  0.309

2 	  32.59	   5.08	  22.97
	  0.770	 -0.632	 -0.084
	  0.631	  0.775	 -0.032
	  0.085	 -0.028	  0.996

3 	  46.00	  -0.37	   1.83
	  0.398	 -0.160	  0.903
	 -0.032	  0.981	  0.188
	 -0.917	 -0.104	  0.385

4 	  42.05	   6.15	  -2.71
	  0.652	  0.730	  0.203
	 -0.740	  0.555	  0.379
	  0.164	 -0.397	  0.903

5 	  39.30	   8.51	   8.84
	  0.144	  0.146	  0.978
	 -0.379	 -0.905	  0.191
	  0.914	 -0.398	 -0.076

6 	  42.80	  10.46	  18.88
	  0.167	  0.037	  0.985
	 -0.888	  0.439	  0.134
	 -0.427	 -0.898	  0.106

7 	  30.29	  -5.13	  29.07
	 -0.312	  0.143	  0.939
	 -0.836	 -0.511	 -0.200
	  0.451	 -0.848	  0.279

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.380	  0.921
	 -0.177	 -0.916	  0.361
	  0.981	 -0.132	  0.144

9 	  30.08	  -4.96	  30.90
	 -0.309	 -0.018	  0.951
	  0.105	 -0.994	  0.016
	  0.945	  0.105	  0.309

2 	  32.59	   5.10	  22.97
	  0.771	 -0.631	 -0.084
	  0.631	  0.775	 -0.033
	  0.085	 -0.028	  0.996

3 	  46.09	  -0.35	   1.85
	  0.398	 -0.163	  0.902
	 -0.032	  0.981	  0.191
	 -0.917	 -0.105	  0.385

4 	  42.13	   6.26	  -2.55
	  0.652	  0.720	  0.236
	 -0.741	  0.541	  0.397
	  0.158	 -0.434	  0.886

5 	  39.69	   8.30	   9.11
	  0.157	  0.154	  0.975
	 -0.342	 -0.918	  0.200
	  0.926	 -0.365	 -0.092

6 	  43.49	  10.63	  18.88
	  0.213	  0.065	  0.975
	 -0.924	  0.337	  0.179
	 -0.317	 -0.939	  0.132

7 	  30.29	  -5.13	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.201
	  0.451	 -0.848	  0.279

8 	  31.34	  -4.43	  28.35
	 -0.085	  0.380	  0.921
	 -0.177	 -0.916	  0.361
	  0.980	 -0.132	  0.144

9 	  30.09	  -4.94	  30.90
	 -0.309	 -0.018	  0.951
	  0.106	 -0.994	  0.016
	  0.945	  0.105	  0.308

2 	  32.59	   5.08	  22.97
	  0.771	 -0.632	 -0.084
	  0.631	  0.775	 -0.033
	  0.086	 -0.028	  0.996

3 	  46.11	  -0.33	   1.86
	  0.399	 -0.164	  0.902
	 -0.032	  0.980	  0.193
	 -0.916	 -0.106	  0.386

4 	  42.15	   6.22	  -2.48
	  0.658	  0.711	  0.246
	 -0.737	  0.543	  0.401
	  0.151	 -0.446	  0.882

5 	  40.69	   8.79	   9.35
	  0.277	  0.176	  0.944
	 -0.373	 -0.886	  0.274
	  0.885	 -0.428	 -0.181

6 	  45.54	  11.23	  18.56
	  0.308	  0.084	  0.948
	 -0.878	  0.408	  0.249
	 -0.366	 -0.909	  0.199

7 	  30.29	  -5.12	  29.07
	 -0.313	  0.143	  0.939
	 -0.836	 -0.511	 -0.200
	  0.451	 -0.848	  0.279

8 	  31.34	  -4.43	  28.35
	 -0.084	  0.379	  0.921
	 -0.177	 -0.916	  0.361
