2 	  32.64	  -6.87	  22.97
	 -0.053	  0.996	 -0.068
	 -0.998	 -0.054	 -0.012
	 -0.015	  0.067	  0.997

3 	  43.89	  -1.09	   3.36
	  0.491	  0.335	  0.804
	 -0.516	  0.856	 -0.042
	 -0.702	 -0.394	  0.593

4 	  37.11	   3.90	  -2.41
	  0.566	  0.750	 -0.340
	 -0.691	  0.657	  0.300
	  0.449	  0.064	  0.891

5 	  37.32	   7.73	   9.79
	  0.391	  0.093	  0.916
	 -0.319	 -0.920	  0.229
	  0.863	 -0.381	 -0.330

6 	  42.87	  10.09	  17.88
	  0.539	  0.002	  0.842
	 -0.841	  0.036	  0.539
	 -0.029	 -0.999	  0.021

7 	  38.29	  -7.66	  -2.00
	  0.626	 -0.766	  0.145
	  0.778	  0.603	 -0.175
	  0.046	  0.223	  0.974

8 	  37.05	  -9.53	   9.77
	  0.441	 -0.172	  0.881
	 -0.030	 -0.984	 -0.177
	  0.897	  0.052	 -0.439

9 	  43.49	 -12.20	  17.98
	  0.348	  0.014	  0.937
	  0.798	  0.521	 -0.304
	 -0.493	  0.854	  0.170

2 	  32.64	  -6.87	  22.97
	 -0.054	  0.996	 -0.068
	 -0.998	 -0.055	 -0.012
	 -0.016	  0.067	  0.997

3 	  43.89	  -1.09	   3.36
	  0.491	  0.335	  0.804
	 -0.516	  0.856	 -0.042
	 -0.702	 -0.394	  0.593

4 	  37.11	   3.92	  -2.41
	  0.566	  0.751	 -0.340
	 -0.691	  0.657	  0.300
	  0.449	  0.065	  0.891

5 	  37.28	   7.73	   9.81
	  0.394	  0.095	  0.914
	 -0.313	 -0.921	  0.231
	  0.864	 -0.377	 -0.333

6 	  42.87	  10.11	  17.89
	  0.539	  0.004	  0.842
	 -0.842	  0.033	  0.538
	 -0.026	 -0.999	  0.021

7 	  38.29	  -7.66	  -2.00
	  0.627	 -0.765	  0.145
	  0.777	  0.603	 -0.176
	  0.047	  0.224	  0.973

8 	  37.07	  -9.51	   9.81
	  0.453	 -0.177	  0.874
	 -0.042	 -0.983	 -0.177
	  0.890	  0.044	 -0.453

9 	  43.37	 -12.73	  17.86
	  0.393	 -0.001	  0.919
	  0.870	  0.323	 -0.372
	 -0.297	  0.946	  0.128

2 	  32.64	  -6.87	  22.97
	 -0.054	  0.996	 -0.068
	 -0.998	 -0.055	 -0.012
	 -0.015	  0.067	  0.997

3 	  43.88	  -1.09	   3.34
	  0.492	  0.335	  0.803
	 -0.514	  0.856	 -0.043
	 -0.702	 -0.392	  0.594

4 	  37.11	   3.90	  -2.43
	  0.563	  0.751	 -0.344
	 -0.693	  0.656	  0.299
	  0.450	  0.070	  0.890

5 	  37.34	   7.72	   9.77
	  0.408	  0.110	  0.906
	 -0.328	 -0.909	  0.258
	  0.852	 -0.403	 -0.335

6 	  42.93	  10.12	  17.77
	  0.540	  0.007	  0.842
	 -0.841	  0.040	  0.539
	 -0.030	 -0.999	  0.027

7 	  38.29	  -7.65	  -2.00
	  0.625	 -0.767	  0.146
	  0.779	  0.601	 -0.179
	  0.049	  0.225	  0.973

8 	  37.39	  -9.63	   9.84
	  0.526	 -0.271	  0.806
	 -0.153	 -0.962	 -0.224
	  0.836	 -0.006	 -0.548

9 	  43.84	 -14.10	  16.95
	  0.519	 -0.106	  0.848
	  0.854	  0.054	 -0.516
	  0.008	  0.993	  0.119

2 	  32.64	  -6.87	  22.97
	 -0.054	  0.996	 -0.068
	 -0.998	 -0.055	 -0.012
	 -0.016	  0.067	  0.997

3 	  43.89	  -1.05	   3.32
	  0.493	  0.336	  0.802
	 -0.513	  0.857	 -0.044
	 -0.703	 -0.390	  0.595

4 	  37.09	   3.92	  -2.41
	  0.561	  0.752	 -0.345
	 -0.694	  0.655	  0.299
	  0.451	  0.071	  0.889

5 	  37.44	   7.84	   9.79
	  0.445	  0.123	  0.887
	 -0.334	 -0.896	  0.292
	  0.831	 -0.426	 -0.358

6 	  43.03	  10.27	  17.67
	  0.547	  0.015	  0.837
	 -0.837	  0.039	  0.546
	 -0.024	 -0.999	  0.034

7 	  38.23	  -7.54	  -2.04
	  0.625	 -0.769	  0.134
	  0.778	  0.601	 -0.181
	  0.059	  0.217	  0.974

8 	  37.97	 -10.11	   9.67
	  0.575	 -0.409	  0.708
	 -0.306	 -0.910	 -0.278
	  0.759	 -0.057	 -0.649

9 	  44.10	 -16.08	  15.54
	  0.602	 -0.261	  0.755
	  0.747	 -0.148	 -0.648
	  0.281	  0.954	  0.105

2 	  32.64	  -6.87	  22.97
	 -0.054	  0.996	 -0.068
	 -0.998	 -0.055	 -0.012
	 -0.016	  0.067	  0.997

3 	  43.86	  -1.05	   3.29
	  0.496	  0.336	  0.800
	 -0.512	  0.857	 -0.043
	 -0.701	 -0.389	  0.598

4 	  36.91	   3.85	  -2.48
	  0.548	  0.754	 -0.362
	 -0.698	  0.651	  0.298
	  0.461	  0.089	  0.883

5 	  37.56	   8.14	   9.58
	  0.491	  0.160	  0.856
	 -0.315	 -0.884	  0.346
	  0.812	 -0.439	 -0.383

6 	  43.56	  10.97	  16.98
	  0.590	  0.060	  0.805
	 -0.807	  0.015	  0.591
	  0.023	 -0.998	  0.057

7 	  38.11	  -7.40	  -2.11
	  0.628	 -0.771	  0.104
	  0.774	  0.606	 -0.185
	  0.080	  0.196	  0.977

8 	  38.74	 -10.69	   9.28
	  0.579	 -0.566	  0.587
	 -0.492	 -0.817	 -0.301
	  0.649	 -0.115	 -0.752

9 	  44.44	 -17.93	  13.87
	  0.640	 -0.425	  0.640
	  0.566	 -0.303	 -0.767
	  0.520	  0.853	  0.047

2 	  32.64	  -6.87	  22.97
	 -0.053	  0.996	 -0.068
	 -0.998	 -0.054	 -0.012
	 -0.016	  0.067	  0.997

3 	  43.84	  -0.97	   3.20
	  0.499	  0.339	  0.797
	 -0.516	  0.855	 -0.041
	 -0.696	 -0.391	  0.602

4 	  36.72	   3.81	  -2.57
	  0.525	  0.757	 -0.388
	 -0.708	  0.641	  0.294
	  0.472	  0.120	  0.873

5 	  37.81	   8.56	   9.25
	  0.540	  0.233	  0.809
	 -0.241	 -0.878	  0.414
